,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,JCB-PRM,RobertWalraven-ESG,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JCB-PRM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,86812,54312.0,,51781.6,34059.0,36552.8,21902.3,22850.0,37578.0,-32500.0,,-35030.4,-52753.0,-50259.2,-64909.7,-63962.0,-49234.0,,False,False,False,False,False,False
Alaska,22174,6800.0,,5799.0,,11681.8,4525.7,3132.5,3528.0,-15374.0,,-16375.0,,-10492.2,-17648.3,-19041.5,-18646.0,,False,,True,False,False,False
Arizona,102375,28584.0,,32066.5,13552.0,38151.2,7649.1,20698.7,16272.0,-73791.0,,-70308.5,-88823.0,-64223.8,-94725.9,-81676.3,-86103.0,,True,False,True,False,False,False
Arkansas,68501,46160.0,,48900.1,50464.0,76781.4,11949.7,27842.4,32352.0,-22341.0,,-19600.9,-18037.0,8280.4,-56551.3,-40658.6,-36149.0,,True,True,True,False,False,False
California,379697,176560.0,,168203.4,82908.0,179554.2,81839.2,96309.6,134566.0,-203137.0,,-211493.6,-296789.0,-200142.8,-297857.8,-283387.4,-245131.0,,False,False,True,False,False,False
Colorado,152728,32352.0,,34708.9,21822.0,80379.8,13195.4,15772.5,24370.0,-120376.0,,-118019.1,-130906.0,-72348.2,-139532.6,-136955.5,-128358.0,,True,False,True,False,False,False
Connecticut,54284,13680.0,,13051.6,6998.0,9166.2,1073.1,9404.5,14736.0,-40604.0,,-41232.4,-47286.0,-45117.8,-53210.9,-44879.5,-39548.0,,False,False,False,False,False,True
Delaware,13545,7752.0,,6998.3,3355.0,6310.3,5908.3,4576.6,7215.0,-5793.0,,-6546.7,-10190.0,-7234.7,-7636.7,-8968.4,-6330.0,,False,False,False,False,False,False
District of Columbia,5835,2064.0,,2177.7,1250.0,2587.1,683.8,1348.4,1417.0,-3771.0,,-3657.3,-4585.0,-3247.9,-5151.2,-4486.6,-4418.0,,True,False,True,False,False,False
Florida,270706,127272.0,,124364.8,66447.0,146793.6,45427.5,73739.8,76063.0,-143434.0,,-146341.2,-204259.0,-123912.4,-225278.5,-196966.2,-194643.0,,False,False,True,False,False,False
Georgia,145395,66368.0,,61368.9,31608.0,36110.6,20807.6,37507.8,32517.0,-79027.0,,-84026.1,-113787.0,-109284.4,-124587.4,-107887.2,-112878.0,,False,False,False,False,False,False
Hawaii,5161,5728.0,,5220.6,,4604.0,1112.9,2899.7,2688.0,567.0,,59.6,,-557.0,-4048.1,-2261.3,-2473.0,,True,,True,False,False,False
Idaho,55958,27248.0,,30531.4,16659.0,48295.1,7516.2,10373.1,16022.0,-28710.0,,-25426.6,-39299.0,-7662.9,-48441.8,-45584.9,-39936.0,,True,False,True,False,False,False
Illinois,410154,112072.0,,100743.4,78234.0,164951.4,44525.6,67557.2,97609.0,-298082.0,,-309410.6,-331920.0,-245202.6,-365628.4,-342596.8,-312545.0,,False,False,True,False,False,False
Indiana,204949,60080.0,,69404.8,45217.0,53043.7,39668.0,33115.2,112158.0,-144869.0,,-135544.2,-159732.0,-151905.3,-165281.0,-171833.8,-92791.0,,True,False,False,False,False,True
Iowa,134878,51144.0,,59814.7,37426.0,62687.4,13070.8,32912.8,55726.0,-83734.0,,-75063.3,-97452.0,-72190.6,-121807.2,-101965.2,-79152.0,,True,False,True,False,False,True
Kansas,92827,32576.0,,33983.5,24245.0,27017.4,7307.9,22788.7,14629.0,-60251.0,,-58843.5,-68582.0,-65809.6,-85519.1,-70038.3,-78198.0,,True,False,False,False,False,False
Kentucky,102181,47720.0,,46494.7,34255.0,58828.5,23333.2,25286.8,75298.0,-54461.0,,-55686.3,-67926.0,-43352.5,-78847.8,-76894.2,-26883.0,,False,False,True,False,False,True
Louisiana,61776,27784.0,,24295.0,22518.0,20631.6,18058.3,11643.4,11159.0,-33992.0,,-37481.0,-39258.0,-41144.4,-43717.7,-50132.6,-50617.0,,False,False,False,False,False,False
Maine,5804,1808.0,,1789.2,1199.0,1969.4,929.1,1375.0,1548.0,-3996.0,,-4014.8,-4605.0,-3834.6,-4874.9,-4429.0,-4256.0,,False,False,True,False,False,False
Maryland,67629,30776.0,,30230.3,19131.0,26788.0,15555.0,21243.3,33642.0,-36853.0,,-37398.7,-48498.0,-40841.0,-52074.0,-46385.7,-33987.0,,False,False,False,False,False,True
Massachusetts,88166,34024.0,,52471.0,15525.0,63942.0,21988.9,23094.3,49261.0,-54142.0,,-35695.0,-72641.0,-24224.0,-66177.1,-65071.7,-38905.0,,True,False,True,False,False,True
