,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,JCB-PRM,RobertWalraven-ESG,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JCB-PRM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,914,432.0,,,267.0,,339.7,334.1,84.0,-482.0,,,-647.0,,-574.3,-579.9,-830.0,,,False,,False,False,False
01003,2699,4568.0,,,1095.0,,825.6,2833.6,32.0,1869.0,,,-1604.0,,-1873.4,134.6,-2667.0,,,True,,False,True,False
01005,256,312.0,,,132.0,,18.8,96.4,53.0,56.0,,,-124.0,,-237.2,-159.6,-203.0,,,False,,False,False,False
01007,496,192.0,,,121.0,,173.2,105.2,79.0,-304.0,,,-375.0,,-322.8,-390.8,-417.0,,,False,,False,False,False
01009,1263,352.0,,,413.0,,16.6,214.3,32.0,-911.0,,,-850.0,,-1246.4,-1048.7,-1231.0,,,True,,False,False,False
01011,85,72.0,,,63.0,,34.4,57.8,3.0,-13.0,,,-22.0,,-50.6,-27.2,-82.0,,,False,,False,False,False
01013,245,96.0,,,91.0,,80.0,73.1,9.0,-149.0,,,-154.0,,-165.0,-171.9,-236.0,,,False,,False,False,False
01015,2654,1160.0,,,963.0,,344.6,614.1,104.0,-1494.0,,,-1691.0,,-2309.4,-2039.9,-2550.0,,,False,,False,False,False
01017,572,320.0,,,175.0,,11.7,90.0,39.0,-252.0,,,-397.0,,-560.3,-482.0,-533.0,,,False,,False,False,False
01019,397,248.0,,,202.0,,13.6,175.8,41.0,-149.0,,,-195.0,,-383.4,-221.2,-356.0,,,False,,False,False,False
01021,589,440.0,,,253.0,,66.2,199.4,112.0,-149.0,,,-336.0,,-522.8,-389.6,-477.0,,,False,,False,False,False
01023,58,112.0,,,80.0,,210.9,81.3,95.0,54.0,,,22.0,,152.9,23.3,37.0,,,True,,False,True,True
01025,441,416.0,,,221.0,,155.6,288.3,97.0,-25.0,,,-220.0,,-285.4,-152.7,-344.0,,,False,,False,False,False
01027,313,184.0,,,71.0,,18.4,60.8,41.0,-129.0,,,-242.0,,-294.6,-252.2,-272.0,,,False,,False,False,False
01029,343,352.0,,,110.0,,27.2,132.6,245.0,9.0,,,-233.0,,-315.8,-210.4,-98.0,,,False,,False,False,False
01031,1000,832.0,,,280.0,,433.2,437.2,595.0,-168.0,,,-720.0,,-566.8,-562.8,-405.0,,,False,,False,False,False
01033,1392,608.0,,,656.0,,153.5,550.9,391.0,-784.0,,,-736.0,,-1238.5,-841.1,-1001.0,,,True,,False,False,False
01035,147,40.0,,,45.0,,2.0,23.7,4.0,-107.0,,,-102.0,,-145.1,-123.3,-143.0,,,True,,False,False,False
01037,159,64.0,,,31.0,,36.5,58.4,14.0,-95.0,,,-128.0,,-122.5,-100.6,-145.0,,,False,,False,False,False
01039,724,608.0,,,256.0,,24.6,159.0,92.0,-116.0,,,-468.0,,-699.4,-565.0,-632.0,,,False,,False,False,False
01041,164,72.0,,,65.0,,64.8,119.0,7.0,-92.0,,,-99.0,,-99.2,-45.0,-157.0,,,False,,False,True,False
01043,2453,376.0,,,826.0,,100.8,205.0,47.0,-2077.0,,,-1627.0,,-2352.2,-2248.0,-2406.0,,,True,,False,False,False
01045,832,944.0,,,253.0,,68.9,571.2,736.0,112.0,,,-579.0,,-763.1,-260.8,-96.0,,,False,,False,False,True
01047,467,128.0,,,222.0,,56.6,58.0,16.0,-339.0,,,-245.0,,-410.4,-409.0,-451.0,,,True,,False,False,False
01049,2249,1160.0,,,723.0,,4330.4,846.9,824.0,-1089.0,,,-1526.0,,2081.4,-1402.1,-1425.0,,,False,,False,False,False
01051,1259,1200.0,,,336.0,,102.7,768.5,408.0,-59.0,,,-923.0,,-1156.3,-490.5,-851.0,,,False,,False,False,False
