,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,680,325.0,,349.0,,,,,295.0,,468.5,114.7,,180.0,,,268.3,,279.0,-355.0,,-331.0,,,,,-385.0,,-211.5,-565.3,,-500.0,,,-411.7,,-401.0,,True,,,,,False,,True,False,,False,,,False,,False
01003,2091,1435.0,,2238.0,,,,,1719.0,,741.4,587.5,,1227.9,,,936.4,,0.0,-656.0,,147.0,,,,,-372.0,,-1349.6,-1503.5,,-863.1,,,-1154.6,,-2091.0,,True,,,,,True,,False,False,,False,,,False,,False
01005,143,270.0,,325.0,,,,,148.0,,284.6,65.9,,109.7,,,,,214.0,127.0,,182.0,,,,,5.0,,141.6,-77.1,,-33.3,,,,,71.0,,False,,,,,True,,False,True,,True,,,,,True
01007,340,265.0,,304.0,,,,,147.0,,413.8,51.1,,181.6,,,,,387.0,-75.0,,-36.0,,,,,-193.0,,73.8,-288.9,,-158.4,,,,,47.0,,True,,,,,False,,True,False,,False,,,,,True
01009,975,590.0,,1320.0,,,,,437.0,,742.1,86.7,,387.9,,,306.5,,266.0,-385.0,,345.0,,,,,-538.0,,-232.9,-888.3,,-587.1,,,-668.5,,-709.0,,True,,,,,False,,True,False,,False,,,False,,False
01011,48,70.0,,1.0,,,,,61.0,,56.5,25.0,,20.6,,,,,0.0,22.0,,-47.0,,,,,13.0,,8.5,-23.0,,-27.4,,,,,-48.0,,False,,,,,True,,True,False,,False,,,,,False
01013,156,85.0,,0.0,,,,,119.0,,183.1,35.2,,19.8,,,,,17.0,-71.0,,-156.0,,,,,-37.0,,27.1,-120.8,,-136.2,,,,,-139.0,,False,,,,,True,,True,False,,False,,,,,False
01015,1714,2505.0,,1248.0,,,,,948.0,,1144.6,409.7,,2248.1,,,1551.1,,0.0,791.0,,-466.0,,,,,-766.0,,-569.4,-1304.3,,534.1,,,-162.9,,-1714.0,,True,,,,,True,,True,False,,True,,,True,,False
01017,421,420.0,,928.0,,,,,207.0,,438.9,69.7,,175.2,,,205.2,,1064.0,-1.0,,507.0,,,,,-214.0,,17.9,-351.3,,-245.8,,,-215.8,,643.0,,False,,,,,False,,False,False,,False,,,False,,False
01019,290,100.0,,103.0,,,,,227.0,,288.9,69.1,,32.6,,,,,85.0,-190.0,,-187.0,,,,,-63.0,,-1.1,-220.9,,-257.4,,,,,-205.0,,True,,,,,True,,True,False,,False,,,,,False
