,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,61162,58070.0,31899.1,50162.0,,53230.5,19077.0,,37930.0,43915.9,40894.8,11535.0,80267.7,35403.3,,28379.8,72737.9,45918.0,-3092.0,-29262.9,-11000.0,,-7931.5,-42085.0,,-23232.0,-17246.1,-20267.2,-49627.0,19105.7,-25758.7,,-32782.2,11575.9,-15244.0,False,False,,False,False,,False,False,False,False,False,False,,False,False,False
Alaska,17899,8625.0,1151.2,7355.0,,8241.9,5635.0,,,13300.0,15348.2,2922.7,14086.8,12070.6,,3986.0,18991.5,3065.0,-9274.0,-16747.8,-10544.0,,-9657.1,-12264.0,,,-4599.0,-2550.8,-14976.3,-3812.2,-5828.4,,-13913.0,1092.5,-14834.0,False,False,,False,False,,,True,True,False,True,True,,False,True,False
Arizona,86002,31565.0,43794.1,44852.0,,32460.4,1690.0,,24720.0,39519.3,24642.2,18614.0,41059.3,23868.8,,18511.5,47247.7,29573.0,-54437.0,-42207.9,-41150.0,,-53541.6,-84312.0,,-61282.0,-46482.7,-61359.8,-67388.0,-44942.7,-62133.2,,-67490.5,-38754.3,-56429.0,True,True,,True,False,,False,True,False,False,True,False,,False,True,False
Arkansas,49708,34480.0,25036.9,33972.0,,33715.0,22842.0,,37493.0,36478.9,42001.2,11557.4,38554.9,22587.6,,15567.9,28073.0,27394.0,-15228.0,-24671.1,-15736.0,,-15993.0,-26866.0,,-12215.0,-13229.1,-7706.8,-38150.6,-11153.1,-27120.4,,-34140.1,-21635.0,-22314.0,False,False,,False,False,,True,True,True,False,True,False,,False,False,False
California,304664,150350.0,207678.7,279942.0,,147616.2,29382.0,,95922.0,131831.2,96270.3,81677.0,125890.8,80607.6,,95792.3,219229.2,171986.0,-154314.0,-96985.3,-24722.0,,-157047.8,-275282.0,,-208742.0,-172832.8,-208393.7,-222987.0,-178773.2,-224056.4,,-208871.7,-85434.8,-132678.0,True,True,,False,False,,False,False,False,False,False,False,,False,True,True
Colorado,131883,45155.0,16746.2,75255.0,,46916.0,116673.0,,37650.0,55033.7,45590.6,43001.6,74487.2,41776.3,,23027.0,78407.9,59841.0,-86728.0,-115136.8,-56628.0,,-84967.0,-15210.0,,-94233.0,-76849.3,-86292.4,-88881.4,-57395.8,-90106.7,,-108856.0,-53475.1,-72042.0,False,True,,True,True,,False,True,True,False,True,False,,False,True,True
Connecticut,46529,16110.0,41151.0,22380.0,,16984.0,20611.0,,11693.0,17052.9,10956.0,33933.4,42552.6,5724.3,,10444.6,9748.1,14535.0,-30419.0,-5378.0,-24149.0,,-29545.0,-25918.0,,-34836.0,-29476.1,-35573.0,-12595.6,-3976.4,-40804.7,,-36084.4,-36780.9,-31994.0,True,True,,True,True,,False,True,False,True,True,False,,False,False,False
Delaware,10823,4525.0,5610.5,4535.0,,4523.7,4885.0,,3858.0,5271.7,3176.7,3354.3,6213.9,2697.5,,3608.4,3549.5,4708.0,-6298.0,-5212.5,-6288.0,,-6299.3,-5938.0,,-6965.0,-5551.3,-7646.3,-7468.7,-4609.1,-8125.5,,-7214.6,-7273.5,-6115.0,True,True,,False,True,,False,True,False,False,True,False,,False,False,True
District of Columbia,4602,1860.0,260.2,1409.0,,1803.1,226.0,,1729.0,2142.4,1253.9,1425.6,3188.0,1354.2,,1009.6,2017.0,1825.0,-2742.0,-4341.8,-3193.0,,-2798.9,-4376.0,,-2873.0,-2459.6,-3348.1,-3176.4,-1414.0,-3247.8,,-3592.4,-2585.0,-2777.0,False,False,,False,False,,False,True,False,False,True,False,,False,True,False
Florida,209046,118850.0,85288.6,128857.0,,102938.0,23512.0,,119918.0,120229.8,84015.8,96328.6,196204.7,67350.0,,56466.7,118182.0,116969.0,-90196.0,-123757.4,-80189.0,,-106108.0,-185534.0,,-89128.0,-88816.2,-125030.2,-112717.4,-12841.3,-141696.0,,-152579.3,-90864.0,-92077.0,False,True,,False,False,,True,True,False,False,True,False,,False,False,False
Georgia,117959,51105.0,49333.9,59848.0,,51865.8,17265.0,,44976.0,48900.4,48814.0,30547.1,63331.3,35039.4,,30596.3,49837.6,47434.0,-66854.0,-68625.1,-58111.0,,-66093.2,-100694.0,,-72983.0,-69058.6,-69145.0,-87411.9,-54627.7,-82919.6,,-87362.7,-68121.4,-70525.0,False,True,,True,False,,False,False,False,False,True,False,,False,False,False
