,mean_rank
LNQ-ens1,6.8
Karlen-pypm,7.1
USC-SI_kJalpha_RF,7.1
DDS-NBDS,7.3
LANL-GrowthRate,7.9
CU-select,8.7
JHU_UNC_GAS-StatMechPool,9.9
JHU_CSSE-DECOM,10.1
UCSB-ACTS,10.5
MSRA-DeepST,11.2
JCB-PRM,13.5
COVIDhub-ensemble,13.7
JHUAPL-Bucky,13.9
UMich-RidgeTfReg,14.0
Google_Harvard-CPF,14.1
USC-SI_kJalpha,14.7
COVIDhub-baseline,15.4
CEID-Walk,15.6
Covid19Sim-Simulator,15.6
RobertWalraven-ESG,15.9
BPagano-RtDriven,16.3
IowaStateLW-STEM,16.9
TTU-squider,18.6
JHU_IDD-CovidSP,21.4
UCLA-SuEIR,22.0
CovidAnalytics-DELPHI,22.9
