,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,37402,27255.0,,30456.1,29963.0,8829.1,37186.0,22867.6,28811.4,37123.0,46316.0,,14802.3,35289.8,,25633.4,33841.1,-10147.0,,-6945.9,-7439.0,-28572.9,-216.0,-14534.4,-8590.6,-279.0,8914.0,,-22599.7,-2112.2,,-11768.6,-3560.9,,True,True,False,True,False,True,True,True,,False,True,,False,True
Alaska,1751,834.0,,1084.2,620.0,436.4,,925.9,1402.6,1679.5,1534.0,,269.8,1513.5,,1697.0,4332.4,-917.0,,-666.8,-1131.0,-1314.6,,-825.1,-348.4,-71.5,-217.0,,-1481.2,-237.5,,-54.0,2581.4,,True,False,False,,True,True,True,True,,False,True,,True,False
Arizona,57072,76089.0,,128244.4,93784.0,26174.6,83090.0,33424.9,40178.5,78231.9,95889.0,,156362.2,68901.9,,59597.8,68090.2,19017.0,,71172.4,36712.0,-30897.4,26018.0,-23647.1,-16893.5,21159.9,38817.0,,99290.2,11829.9,,2525.8,11018.2,,False,False,False,False,False,True,False,False,,False,True,,True,True
Arkansas,15309,13965.0,,13486.6,13314.0,5206.3,16819.0,15035.3,11289.7,17168.5,17517.0,,12558.5,12062.8,,11489.2,11562.3,-1344.0,,-1822.4,-1995.0,-10102.7,1510.0,-273.7,-4019.3,1859.5,2208.0,,-2750.5,-3246.2,,-3819.8,-3746.7,,False,False,False,False,True,False,False,False,,False,False,,False,False
California,187852,197598.0,,223312.3,170858.0,67904.3,191416.0,148531.0,97343.0,203293.7,325429.0,,299950.3,203269.5,,178964.9,63101.6,9746.0,,35460.3,-16994.0,-119947.7,3564.0,-39321.0,-90509.0,15441.7,137577.0,,112098.3,15417.5,,-8887.1,-124750.4,,False,False,False,True,False,False,False,False,,False,False,,True,False
Colorado,10676,8172.0,,7303.6,2658.0,3037.6,6960.0,6326.4,6250.0,10837.7,14490.0,,3776.2,7270.6,,2846.5,7544.3,-2504.0,,-3372.4,-8018.0,-7638.4,-3716.0,-4349.6,-4426.0,161.7,3814.0,,-6899.8,-3405.4,,-7829.5,-3131.7,,False,False,False,False,False,False,True,False,,False,False,,False,False
Connecticut,2523,1710.0,,866.7,233.0,484.8,17277.0,5880.3,648.5,1107.0,1381.0,,1741.1,1410.8,,182.5,950.8,-813.0,,-1656.3,-2290.0,-2038.2,14754.0,3357.3,-1874.5,-1416.0,-1142.0,,-781.9,-1112.2,,-2340.5,-1572.2,,False,False,False,False,False,False,False,False,,True,False,,False,False
Delaware,2161,2241.0,,2743.8,842.0,731.3,1961.0,3416.9,977.5,2001.6,3350.0,,1447.4,2947.5,,355.1,4026.6,80.0,,582.8,-1319.0,-1429.7,-200.0,1255.9,-1183.5,-159.4,1189.0,,-713.6,786.5,,-1805.9,1865.6,,False,False,False,False,False,False,False,False,,False,False,,False,False
District of Columbia,1404,1062.0,,380.4,282.0,348.1,1555.0,1188.4,741.0,,1525.0,,724.7,831.1,,204.8,381.3,-342.0,,-1023.6,-1122.0,-1055.9,151.0,-215.6,-663.0,,121.0,,-679.3,-572.9,,-1199.2,-1022.7,,False,False,False,True,True,False,,True,,False,False,,False,False
Florida,225517,193377.0,,390581.1,174035.0,72154.5,273644.0,78054.9,351602.2,270853.6,371549.0,,72710.1,286555.9,,218397.3,193250.6,-32140.0,,165064.1,-51482.0,-153362.5,48127.0,-147462.1,126085.2,45336.6,146032.0,,-152806.9,61038.9,,-7119.7,-32266.4,,False,False,False,False,False,False,False,False,,False,False,,True,False
Georgia,75611,63246.0,,90662.3,50225.0,27811.7,71181.0,35349.4,44217.1,75874.4,113380.0,,71733.7,63423.5,,53554.8,123340.1,-12365.0,,15051.3,-25386.0,-47799.3,-4430.0,-40261.6,-31393.9,263.4,37769.0,,-3877.3,-12187.5,,-22056.2,47729.1,,False,False,False,True,False,False,True,False,,True,True,,False,False
Hawaii,997,603.0,,825.8,113.0,257.7,,1041.3,511.6,804.9,904.0,,242.6,642.0,,212.7,849.4,-394.0,,-171.2,-884.0,-739.3,,44.3,-485.4,-192.1,-93.0,,-754.4,-355.0,,-784.3,-147.6,,True,False,False,,True,False,True,True,,False,True,,False,True
Idaho,10604,9408.0,,15300.0,5735.0,4036.9,16022.0,5309.8,9118.6,11065.8,17712.0,,6329.4,12403.5,,6337.6,11347.2,-1196.0,,4696.0,-4869.0,-6567.1,5418.0,-5294.2,-1485.4,461.8,7108.0,,-4274.6,1799.5,,-4266.4,743.2,,False,False,False,False,False,False,True,False,,False,False,,False,True
Illinois,27660,22446.0,,13710.5,1600.0,8803.7,21220.0,39629.2,14702.7,25660.2,37228.0,,21623.5,29939.2,,2812.9,23171.5,-5214.0,,-13949.5,-26060.0,-18856.3,-6440.0,11969.2,-12957.3,-1999.8,9568.0,,-6036.5,2279.2,,-24847.1,-4488.5,,False,False,False,False,False,False,True,False,,False,True,,False,True
Indiana,16043,10941.0,,11074.2,4431.0,4162.5,11148.0,19251.5,9264.5,14722.4,16921.0,,9199.0,14281.5,,4770.8,12828.4,-5102.0,,-4968.8,-11612.0,-11880.5,-4895.0,3208.5,-6778.5,-1320.6,878.0,,-6844.0,-1761.5,,-11272.2,-3214.6,,True,False,False,True,True,False,True,True,,False,True,,False,True
Iowa,10635,10791.0,,11967.2,2991.0,4303.1,14963.0,10537.2,10947.2,15711.0,18443.0,,9222.4,15086.5,,5609.5,14517.8,156.0,,1332.2,-7644.0,-6331.9,4328.0,-97.8,312.2,5076.0,7808.0,,-1412.6,4451.5,,-5025.5,3882.8,,False,False,False,False,True,False,False,False,,False,False,,False,False
Kansas,8905,8328.0,,12360.8,2411.0,3198.1,13231.0,7786.0,6144.7,10346.3,16554.0,,3188.5,10585.8,,3969.6,19184.9,-577.0,,3455.8,-6494.0,-5706.9,4326.0,-1119.0,-2760.3,1441.3,7649.0,,-5716.5,1680.8,,-4935.4,10279.9,,False,False,False,False,False,False,False,False,,False,False,,False,False
Kentucky,11602,8235.0,,7286.2,5199.0,2273.5,8331.0,9777.4,5470.0,10490.6,14072.0,,3894.3,7418.7,,4177.8,4082.7,-3367.0,,-4315.8,-6403.0,-9328.5,-3271.0,-1824.6,-6132.0,-1111.4,2470.0,,-7707.7,-4183.3,,-7424.2,-7519.3,,False,False,False,True,True,False,True,True,,False,False,,False,False
Louisiana,39477,40542.0,,44617.7,19010.0,16153.9,65407.0,24092.9,25092.2,44042.6,55699.0,,20000.5,39658.0,,30383.2,26669.0,1065.0,,5140.7,-20467.0,-23323.1,25930.0,-15384.1,-14384.8,4565.6,16222.0,,-19476.5,181.0,,-9093.8,-12808.0,,False,False,False,False,False,False,False,False,,False,True,,False,False
Maine,418,369.0,,415.6,368.0,114.8,351.0,1121.9,239.8,507.3,286.0,,604.1,241.9,,372.2,947.8,-49.0,,-2.4,-50.0,-303.2,-67.0,703.9,-178.2,89.3,-132.0,,186.1,-176.1,,-45.8,529.8,,True,False,False,False,False,False,False,False,,False,False,,True,False
Maryland,16898,9378.0,,5262.2,2260.0,3333.5,8240.0,12410.3,8017.8,13698.4,13101.0,,11021.6,16975.5,,3059.2,12746.4,-7520.0,,-11635.8,-14638.0,-13564.5,-8658.0,-4487.7,-8880.2,-3199.6,-3797.0,,-5876.4,77.5,,-13838.8,-4151.6,,False,False,False,False,True,False,True,True,,True,True,,False,True
Massachusetts,5415,4680.0,,3008.6,805.0,1615.2,4084.0,9729.5,3308.1,4169.8,5780.0,,3408.7,4126.4,,549.2,5342.5,-735.0,,-2406.4,-4610.0,-3799.8,-1331.0,4314.5,-2106.9,-1245.2,365.0,,-2006.3,-1288.6,,-4865.8,-72.5,,False,False,False,False,False,False,False,True,,False,False,,False,True
Michigan,14962,11367.0,,11148.3,4155.0,4634.6,16202.0,25506.9,7832.2,13613.1,19447.0,,7249.7,16466.8,,2107.4,18845.9,-3595.0,,-3813.7,-10807.0,-10327.4,1240.0,10544.9,-7129.8,-1348.9,4485.0,,-7712.3,1504.8,,-12854.6,3883.9,,False,False,False,True,False,False,True,False,,False,True,,False,False
Minnesota,13617,11841.0,,8284.8,4008.0,3940.1,14420.0,14715.1,10471.7,16509.0,18542.0,,3552.8,12225.8,,2904.3,5139.3,-1776.0,,-5332.2,-9609.0,-9676.9,803.0,1098.1,-3145.3,2892.0,4925.0,,-10064.2,-1391.2,,-10712.7,-8477.7,,False,False,False,True,True,False,False,False,,False,True,,False,False
Mississippi,24462,14235.0,,20218.8,11349.0,5617.0,18281.0,13189.0,13856.2,19831.0,24060.0,,2653.5,16605.2,,11819.0,24516.0,-10227.0,,-4243.2,-13113.0,-18845.0,-6181.0,-11273.0,-10605.8,-4631.0,-402.0,,-21808.5,-7856.8,,-12643.0,54.0,,True,False,False,True,False,False,True,True,,False,True,,False,True
Missouri,24026,12069.0,,14435.3,8293.0,4699.6,14159.0,13452.9,6940.3,14230.6,22071.0,,11064.7,14937.2,,8494.0,11427.5,-11957.0,,-9590.7,-15733.0,-19326.4,-9867.0,-10573.1,-17085.7,-9795.4,-1955.0,,-12961.3,-9088.8,,-15532.0,-12598.5,,True,False,False,True,True,False,True,True,,False,True,,False,False
Montana,2404,1530.0,,2646.0,755.0,936.3,1438.0,1501.4,1953.5,2370.6,2985.0,,932.3,2234.6,,3794.7,3550.0,-874.0,,242.0,-1649.0,-1467.7,-966.0,-902.6,-450.5,-33.4,581.0,,-1471.7,-169.4,,1390.7,1146.0,,True,False,False,False,False,True,True,True,,False,True,,False,False
Nebraska,5393,3513.0,,2556.4,825.0,1166.9,8766.0,6236.6,2730.7,4535.4,4348.0,,2448.2,3251.2,,641.2,3116.2,-1880.0,,-2836.6,-4568.0,-4226.1,3373.0,843.6,-2662.3,-857.6,-1045.0,,-2944.8,-2141.8,,-4751.8,-2276.8,,False,False,False,False,True,False,True,True,,False,False,,False,False
Nevada,22236,15789.0,,27000.1,14264.0,5688.9,29790.0,11440.9,14920.2,20039.8,28282.0,,7836.2,16181.5,,21922.4,30570.6,-6447.0,,4764.1,-7972.0,-16547.1,7554.0,-10795.1,-7315.8,-2196.2,6046.0,,-14399.8,-6054.5,,-313.6,8334.6,,True,False,False,False,False,False,True,True,,False,True,,True,False
New Hampshire,590,456.0,,185.5,157.0,154.6,401.0,1544.2,333.4,636.3,341.0,,474.0,432.9,,227.5,291.9,-134.0,,-404.5,-433.0,-435.4,-189.0,954.2,-256.6,46.3,-249.0,,-116.0,-157.1,,-362.5,-298.1,,False,False,False,False,False,False,True,False,,True,False,,False,False
New Jersey,7101,5778.0,,4537.7,554.0,2013.3,9960.0,17483.2,3757.3,5216.6,6097.0,,4341.2,4978.7,,167.0,8935.3,-1323.0,,-2563.3,-6547.0,-5087.7,2859.0,10382.2,-3343.7,-1884.4,-1004.0,,-2759.8,-2122.3,,-6934.0,1834.3,,False,False,False,False,False,False,False,True,,False,False,,False,False
