,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,178,268.0,266.0,242.0,409.0,,,,,,248.0,329.2,202.3,255.9,,440.0,,,,,,,,,90.0,88.0,64.0,231.0,,,,,,70.0,151.2,24.3,77.9,,262.0,,,,,,,,,True,True,False,,,,,,True,False,True,True,,False,,,,,,,,
01003,1299,1178.0,877.9,1714.0,2143.0,,,,,,1186.0,708.5,2086.5,1589.5,,1592.0,,,1609.4,2150.0,,,,,-121.0,-421.1,415.0,844.0,,,,,,-113.0,-590.5,787.5,290.5,,293.0,,,310.4,851.0,,,,,False,False,False,,,,,,True,False,False,False,,False,,,False,False,,,,
01005,89,142.0,,134.0,213.0,,,,,,117.0,130.0,117.1,143.7,,269.0,,,,,,,,,53.0,,45.0,124.0,,,,,,28.0,41.0,28.1,54.7,,180.0,,,,,,,,,,True,False,,,,,,True,True,True,False,,False,,,,,,,,
01007,100,78.0,,77.0,96.0,,,,,,81.0,103.6,63.9,90.3,,147.0,,,,,,,,,-22.0,,-23.0,-4.0,,,,,,-19.0,3.6,-36.1,-9.7,,47.0,,,,,,,,,,False,True,,,,,,True,True,False,True,,False,,,,,,,,
01009,283,250.0,208.6,279.0,411.0,,,,,,267.0,168.0,318.0,268.5,,322.0,,,,,,,,,-33.0,-74.4,-4.0,128.0,,,,,,-16.0,-115.0,35.0,-14.5,,39.0,,,,,,,,,False,True,False,,,,,,True,False,False,True,,False,,,,,,,,
01011,44,30.0,,23.0,1.0,,,,,,55.0,27.9,11.2,29.5,,155.0,,,,,,,,,-14.0,,-21.0,-43.0,,,,,,11.0,-16.1,-32.8,-14.5,,111.0,,,,,,,,,,False,False,,,,,,True,False,False,False,,False,,,,,,,,
01013,72,40.0,,42.0,42.0,,,,,,110.0,40.1,29.8,55.5,,,,,,,,,,,-32.0,,-30.0,-30.0,,,,,,38.0,-31.9,-42.2,-16.5,,,,,,,,,,,,True,True,,,,,,False,True,False,True,,,,,,,,,,
01015,714,468.0,182.8,564.0,524.0,,,,,,544.0,197.7,649.4,574.4,,602.0,,,,,,,,,-246.0,-531.2,-150.0,-190.0,,,,,,-170.0,-516.3,-64.6,-139.6,,-112.0,,,,,,,,,False,True,True,,,,,,True,False,True,True,,True,,,,,,,,
01017,77,112.0,,94.0,125.0,,,,,,132.0,81.3,65.0,105.6,,321.0,,,,,,,,,35.0,,17.0,48.0,,,,,,55.0,4.3,-12.0,28.6,,244.0,,,,,,,,,,True,False,,,,,,False,True,True,True,,False,,,,,,,,
01019,64,70.0,,77.0,127.0,,,,,,71.0,70.9,63.4,95.3,,108.0,,,,,,,,,6.0,,13.0,63.0,,,,,,7.0,6.9,-0.6,31.3,,44.0,,,,,,,,,,False,False,,,,,,False,False,True,False,,False,,,,,,,,
01021,246,208.0,,302.0,374.0,,,,,,217.0,180.1,372.9,325.6,,324.0,,,,,,,,,-38.0,,56.0,128.0,,,,,,-29.0,-65.9,126.9,79.6,,78.0,,,,,,,,,,False,False,,,,,,True,False,False,False,,False,,,,,,,,
01023,36,46.0,,36.0,0.0,,,,,,51.0,25.0,18.4,42.6,,106.0,,,,,,,,,10.0,,0.0,-36.0,,,,,,15.0,-11.0,-17.6,6.6,,70.0,,,,,,,,,,True,False,,,,,,False,False,False,True,,False,,,,,,,,
01025,103,128.0,,127.0,162.0,,,,,,147.0,105.3,122.3,130.9,,222.0,,,,,,,,,25.0,,24.0,59.0,,,,,,44.0,2.3,19.3,27.9,,119.0,,,,,,,,,,True,False,,,,,,False,True,True,False,,False,,,,,,,,
01027,92,46.0,,54.0,0.0,,,,,,25.0,35.7,47.3,70.7,,78.0,,,,,,,,,-46.0,,-38.0,-92.0,,,,,,-67.0,-56.3,-44.7,-21.3,,-14.0,,,,,,,,,,True,False,,,,,,False,False,True,True,,True,,,,,,,,
01029,40,60.0,,51.0,51.0,,,,,,26.0,25.9,28.6,66.8,,82.0,,,,,,,,,20.0,,11.0,11.0,,,,,,-14.0,-14.1,-11.4,26.8,,42.0,,,,,,,,,,True,True,,,,,,True,True,True,False,,False,,,,,,,,
01031,176,190.0,103.9,201.0,423.0,,,,,,297.0,176.6,191.3,221.4,,327.0,,,,,,,,,14.0,-72.1,25.0,247.0,,,,,,121.0,0.6,15.3,45.4,,151.0,,,,,,,,,False,False,False,,,,,,False,True,False,False,,False,,,,,,,,
01033,348,414.0,266.0,425.0,758.0,,,,,,250.0,265.3,421.3,438.7,,591.0,,,,,,,,,66.0,-82.0,77.0,410.0,,,,,,-98.0,-82.7,73.3,90.7,,243.0,,,,,,,,,False,False,False,,,,,,False,False,False,False,,False,,,,,,,,
01035,84,98.0,,80.0,14.0,,,,,,63.0,109.2,56.3,86.9,33.8,167.0,,,,,,,,,14.0,,-4.0,-70.0,,,,,,-21.0,25.2,-27.7,2.9,-50.2,83.0,,,,,,,,,,True,False,,,,,,False,False,False,True,False,False,,,,,,,,
01037,21,8.0,,14.0,0.0,,,,,,12.0,13.8,22.4,12.0,,28.0,,,,,,,,,-13.0,,-7.0,-21.0,,,,,,-9.0,-7.2,1.4,-9.0,,7.0,,,,,,,,,,True,False,,,,,,True,True,True,True,,True,,,,,,,,
01039,164,212.0,,228.0,254.0,,,,,,242.0,316.6,237.6,231.9,123.3,337.0,,,,,,,,,48.0,,64.0,90.0,,,,,,78.0,152.6,73.6,67.9,-40.7,173.0,,,,,,,,,,False,False,,,,,,False,False,False,False,True,False,,,,,,,,
01041,128,48.0,,39.0,38.0,,,,,,50.0,23.3,22.4,45.1,13.2,84.0,,,,,,,,,-80.0,,-89.0,-90.0,,,,,,-78.0,-104.7,-105.6,-82.9,-114.8,-44.0,,,,,,,,,,False,False,,,,,,True,False,False,False,False,True,,,,,,,,
01043,316,406.0,295.8,363.0,470.0,,,,,,534.0,439.9,256.3,400.0,348.1,468.0,,,392.8,,,,,,90.0,-20.2,47.0,154.0,,,,,,218.0,123.9,-59.7,84.0,32.1,152.0,,,76.8,,,,,,True,True,False,,,,,,False,False,True,True,True,False,,,True,,,,,
01045,260,224.0,,235.0,437.0,,,,,,248.0,254.4,248.3,232.9,162.8,350.0,,,,,,,,,-36.0,,-25.0,177.0,,,,,,-12.0,-5.6,-11.7,-27.1,-97.2,90.0,,,,,,,,,,True,False,,,,,,True,True,True,True,False,False,,,,,,,,
01047,167,210.0,,200.0,171.0,,,,,,243.0,238.8,158.4,233.5,86.7,518.0,,,,,,,,,43.0,,33.0,4.0,,,,,,76.0,71.8,-8.6,66.5,-80.3,351.0,,,,,,,,,,True,True,,,,,,False,False,True,False,False,False,,,,,,,,
01049,379,660.0,531.1,568.0,828.0,,,,,,610.0,189.8,449.5,578.8,385.7,937.0,,,611.1,,,,,,281.0,152.1,189.0,449.0,,,,,,231.0,-189.2,70.5,199.8,6.7,558.0,,,232.1,,,,,,True,True,False,,,,,,True,True,True,True,True,False,,,True,,,,,
01051,340,386.0,486.5,398.0,553.0,,,,,,399.0,410.3,363.3,388.3,210.6,670.0,,,470.1,,,,,,46.0,146.5,58.0,213.0,,,,,,59.0,70.3,23.3,48.3,-129.4,330.0,,,130.1,,,,,,False,False,False,,,,,,False,False,True,False,False,False,,,False,,,,,
01053,358,228.0,,216.0,211.0,,,,,,294.0,295.7,193.3,225.0,111.4,355.0,,,,,,,,,-130.0,,-142.0,-147.0,,,,,,-64.0,-62.3,-164.7,-133.0,-246.6,-3.0,,,,,,,,,,False,False,,,,,,True,True,False,False,False,True,,,,,,,,
01055,620,626.0,527.7,589.0,615.0,,,,,,675.0,415.5,580.1,647.2,475.9,797.0,,,520.7,,,,,,6.0,-92.3,-31.0,-5.0,,,,,,55.0,-204.5,-39.9,27.2,-144.1,177.0,,,-99.3,,,,,,False,False,True,,,,,,False,False,False,False,False,False,,,False,,,,,
01057,50,70.0,,61.0,49.0,,,,,,41.0,56.9,62.2,49.7,37.2,92.0,,,,,,,,,20.0,,11.0,-1.0,,,,,,-9.0,6.9,12.2,-0.3,-12.8,42.0,,,,,,,,,,True,True,,,,,,True,True,True,True,True,False,,,,,,,,
01059,154,158.0,,142.0,151.0,,,,,,264.0,112.8,104.3,164.4,43.4,446.0,,,,,,,,,4.0,,-12.0,-3.0,,,,,,110.0,-41.2,-49.7,10.4,-110.6,292.0,,,,,,,,,,False,True,,,,,,False,False,False,False,False,False,,,,,,,,
01061,82,76.0,,84.0,205.0,,,,,,139.0,80.5,76.2,99.6,48.3,115.0,,,,,,,,,-6.0,,2.0,123.0,,,,,,57.0,-1.5,-5.8,17.6,-33.7,33.0,,,,,,,,,,True,False,,,,,,False,True,True,False,False,False,,,,,,,,
01063,22,44.0,,37.0,18.0,,,,,,24.0,30.4,24.9,41.6,1.8,103.0,,,,,,,,,22.0,,15.0,-4.0,,,,,,2.0,8.4,2.9,19.6,-20.2,81.0,,,,,,,,,,True,True,,,,,,True,True,True,True,True,False,,,,,,,,
01065,55,90.0,,68.0,126.0,,,,,,76.0,45.9,35.5,80.0,45.3,182.0,,,,,,,,,35.0,,13.0,71.0,,,,,,21.0,-9.1,-19.5,25.0,-9.7,127.0,,,,,,,,,,True,False,,,,,,True,True,True,True,True,False,,,,,,,,
01067,57,56.0,,62.0,76.0,,,,,,50.0,41.4,48.1,81.7,24.2,109.0,,,,,,,,,-1.0,,5.0,19.0,,,,,,-7.0,-15.6,-8.9,24.7,-32.8,52.0,,,,,,,,,,False,False,,,,,,False,False,False,False,False,False,,,,,,,,
01069,502,376.0,305.7,497.0,654.0,,,,,,604.0,334.5,532.5,580.4,291.9,548.0,,,504.7,,,,,,-126.0,-196.3,-5.0,152.0,,,,,,102.0,-167.5,30.5,78.4,-210.1,46.0,,,2.7,,,,,,False,True,False,,,,,,True,False,True,True,False,True,,,True,,,,,
01071,237,256.0,238.1,238.0,368.0,,,,,,260.0,198.4,208.9,246.7,216.7,380.0,,,,,,,,,19.0,1.1,1.0,131.0,,,,,,23.0,-38.6,-28.1,9.7,-20.3,143.0,,,,,,,,,True,True,False,,,,,,False,False,False,True,False,False,,,,,,,,
