,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,463,364.0,,253.0,,,,491.0,436.1,364.8,,,434.8,,,,-99.0,,-210.0,,,,28.0,-26.9,-98.2,,,-28.2,,,,,False,,,,True,True,True,,,True,,,
01003,2333,1228.0,,10860.0,,,,749.0,508.9,1733.9,,,2279.9,,,,-1105.0,,8527.0,,,,-1584.0,-1824.1,-599.1,,,-53.1,,,,,False,,,,False,False,True,,,True,,,
01005,255,132.0,,313.0,,,,86.0,206.3,60.0,,,,,,,-123.0,,58.0,,,,-169.0,-48.7,-195.0,,,,,,,,True,,,,False,True,False,,,,,,
01007,177,116.0,,304.0,,,,90.0,90.5,71.4,,,,,,,-61.0,,127.0,,,,-87.0,-86.5,-105.6,,,,,,,,False,,,,False,False,False,,,,,,
01009,580,180.0,,358.0,,,,234.0,183.3,131.6,,,,,,,-400.0,,-222.0,,,,-346.0,-396.7,-448.4,,,,,,,,True,,,,True,True,False,,,,,,
01011,78,56.0,,161.0,,,,63.0,71.6,8.1,,,,,,,-22.0,,83.0,,,,-15.0,-6.4,-69.9,,,,,,,,False,,,,True,True,False,,,,,,
01013,132,108.0,,467.0,,,,517.0,152.5,51.3,,,,,,,-24.0,,335.0,,,,385.0,20.5,-80.7,,,,,,,,False,,,,False,True,False,,,,,,
01015,1178,380.0,,2995.0,,,,522.0,311.8,483.1,,,,,,,-798.0,,1817.0,,,,-656.0,-866.2,-694.9,,,,,,,,False,,,,True,False,True,,,,,,
01017,235,308.0,,429.0,,,,187.0,105.7,182.5,,,,,,,73.0,,194.0,,,,-48.0,-129.3,-52.5,,,,,,,,False,,,,True,False,True,,,,,,
01019,153,76.0,,234.0,,,,46.0,88.2,38.3,,,,,,,-77.0,,81.0,,,,-107.0,-64.8,-114.7,,,,,,,,False,,,,False,True,False,,,,,,
