,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,88,90.0,119.8,87.0,102.0,,,,,,,146.0,114.0,,64.4,87.4,,127.0,,,73.7,,,,,,2.0,31.8,-1.0,14.0,,,,,,,58.0,26.0,,-23.6,-0.6,,39.0,,,-14.3,,,,,,False,True,False,,,,,,,False,False,,False,True,,False,,,False,,,,,
01003,475,824.0,581.0,743.0,1016.0,,,,,,,655.0,740.0,,848.9,632.6,,990.0,,,867.6,848.0,,,,,349.0,106.0,268.0,541.0,,,,,,,180.0,265.0,,373.9,157.6,,515.0,,,392.6,373.0,,,,,True,True,False,,,,,,,True,True,,False,True,,False,,,False,False,,,,
01005,38,51.0,,48.0,65.0,,,,,,,61.0,53.9,,33.8,51.7,,76.0,,,44.0,,,,,,13.0,,10.0,27.0,,,,,,,23.0,15.9,,-4.2,13.7,,38.0,,,6.0,,,,,,,True,False,,,,,,,False,False,,True,False,,False,,,True,,,,,
01007,48,52.0,,45.0,53.0,,,,,,,43.0,58.0,,36.5,46.8,,65.0,,,55.4,,,,,,4.0,,-3.0,5.0,,,,,,,-5.0,10.0,,-11.5,-1.2,,17.0,,,7.4,,,,,,,True,False,,,,,,,False,False,,False,True,,False,,,False,,,,,
01009,135,148.0,114.6,119.0,185.0,,,,,,,116.0,209.2,,120.4,116.4,,163.0,,,151.6,,,,,,13.0,-20.4,-16.0,50.0,,,,,,,-19.0,74.2,,-14.6,-18.6,,28.0,,,16.6,,,,,,False,False,False,,,,,,,False,False,,False,False,,False,,,False,,,,,
01011,28,16.0,,9.0,0.0,,,,,,,29.0,11.1,,5.3,11.6,,38.0,,,14.6,,,,,,-12.0,,-19.0,-28.0,,,,,,,1.0,-16.9,,-22.7,-16.4,,10.0,,,-13.4,,,,,,,False,False,,,,,,,True,False,,False,False,,True,,,False,,,,,
01013,33,39.0,,28.0,23.0,,,,,,,82.0,17.3,,18.8,32.6,,76.0,,,36.7,,,,,,6.0,,-5.0,-10.0,,,,,,,49.0,-15.7,,-14.2,-0.4,,43.0,,,3.7,,,,,,,True,False,,,,,,,False,False,,False,True,,False,,,True,,,,,
01015,409,305.0,217.2,260.0,322.0,,,,,,,253.0,321.1,,330.8,303.9,,366.0,,,259.1,,,,,,-104.0,-191.8,-149.0,-87.0,,,,,,,-156.0,-87.9,,-78.2,-105.1,,-43.0,,,-149.9,,,,,,False,False,True,,,,,,,False,True,,True,False,,True,,,False,,,,,
01017,40,37.0,,41.0,35.0,,,,,,,78.0,67.9,,32.3,47.4,,84.0,,,34.8,,,,,,-3.0,,1.0,-5.0,,,,,,,38.0,27.9,,-7.7,7.4,,44.0,,,-5.2,,,,,,,True,False,,,,,,,False,False,,False,False,,False,,,False,,,,,
01019,30,34.0,,33.0,40.0,,,,,,,33.0,58.0,,15.1,27.2,,35.0,,,34.1,,,,,,4.0,,3.0,10.0,,,,,,,3.0,28.0,,-14.9,-2.8,,5.0,,,4.1,,,,,,,True,False,,,,,,,True,False,,False,True,,False,,,False,,,,,
