,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,46487,31116.0,,34736.5,35096.7,37657.0,33755.0,24131.0,24234.9,3977.8,40933.7,,27641.8,43768.5,-15371.0,,-11750.5,-11390.3,-8830.0,-12732.0,-22356.0,-22252.1,-42509.2,-5553.3,,-18845.2,-2718.5,,True,True,True,True,False,False,False,True,,False,True
Alaska,2517,1024.0,,927.0,1757.4,461.0,,1164.4,998.8,60.5,935.6,,1424.2,4812.8,-1493.0,,-1590.0,-759.6,-2056.0,,-1352.6,-1518.2,-2456.5,-1581.4,,-1092.8,2295.8,,False,True,False,,True,False,False,False,,True,False
Arizona,82435,97772.0,,165691.8,135960.4,135782.0,108006.0,47866.3,86470.8,6595.9,77267.5,,87533.2,96073.4,15337.0,,83256.8,53525.4,53347.0,25571.0,-34568.7,4035.8,-75839.1,-5167.5,,5098.2,13638.4,,False,False,False,False,False,True,False,True,,True,True
Arkansas,19964,15596.0,,19654.2,23865.3,19786.0,21241.0,7885.6,13474.7,1363.4,20399.5,,14868.6,15879.3,-4368.0,,-309.8,3901.3,-178.0,1277.0,-12078.4,-6489.3,-18600.6,435.5,,-5095.4,-4084.7,,True,True,True,True,False,False,False,True,,False,True
California,253718,168812.0,,248610.9,311396.3,186601.0,240669.0,204125.0,297760.5,29668.8,234793.2,,146717.2,97415.2,-84906.0,,-5107.1,57678.3,-67117.0,-13049.0,-49593.0,44042.5,-224049.2,-18924.8,,-107000.8,-156302.8,,True,True,True,True,True,True,False,True,,False,False
Colorado,13400,7372.0,,6753.0,6716.4,2943.0,9855.0,13306.0,4683.3,758.1,6204.7,,2394.8,9714.5,-6028.0,,-6647.0,-6683.6,-10457.0,-3545.0,-94.0,-8716.7,-12641.9,-7195.3,,-11005.2,-3685.5,,False,False,False,True,True,False,False,False,,False,True
Connecticut,3093,2044.0,,636.2,1814.1,528.0,1265.0,10401.0,643.9,382.6,1412.4,,328.7,1413.5,-1049.0,,-2456.8,-1278.9,-2565.0,-1828.0,7308.0,-2449.1,-2710.4,-1680.6,,-2764.3,-1679.5,,False,False,False,False,False,False,False,False,,False,False
Delaware,2908,3620.0,,2248.5,3371.7,1157.0,1878.0,8374.5,2356.3,211.8,2177.5,,369.7,5133.0,712.0,,-659.5,463.7,-1751.0,-1030.0,5466.5,-551.7,-2696.2,-730.5,,-2538.3,2225.0,,True,True,False,False,False,True,False,False,,False,False
District of Columbia,1758,924.0,,422.1,605.1,361.0,1565.0,4428.2,501.5,136.2,672.8,,270.4,571.5,-834.0,,-1335.9,-1152.9,-1397.0,-193.0,2670.2,-1256.5,-1621.8,-1085.2,,-1487.6,-1186.5,,False,False,False,True,False,False,False,False,,False,False
Florida,289976,230028.0,,445648.4,749763.0,238543.0,282988.0,95241.5,300815.2,26066.8,208154.6,,333873.0,267524.1,-59948.0,,155672.4,459787.0,-51433.0,-6988.0,-194734.5,10839.2,-263909.2,-81821.4,,43897.0,-22451.9,,False,False,True,True,False,True,False,False,,True,True
Georgia,96693,73336.0,,83779.9,209954.2,55703.0,59025.0,33814.1,51744.1,5563.8,69918.9,,51623.8,150835.1,-23357.0,,-12913.1,113261.2,-40990.0,-37668.0,-62878.9,-44948.9,-91129.2,-26774.1,,-45069.2,54142.1,,True,False,False,False,False,False,False,False,,False,False
Hawaii,1198,508.0,,764.7,916.5,96.0,,551.8,454.4,46.5,609.3,,15.1,1012.5,-690.0,,-433.3,-281.5,-1102.0,,-646.2,-743.6,-1151.5,-588.7,,-1182.9,-185.5,,True,True,False,,True,False,False,True,,False,True
Idaho,13740,8192.0,,14517.1,9534.6,5703.0,21598.0,4300.3,9903.6,999.3,12564.5,,21547.6,14257.2,-5548.0,,777.1,-4205.4,-8037.0,7858.0,-9439.7,-3836.4,-12740.7,-1175.5,,7807.6,517.2,,True,True,False,False,False,True,False,True,,False,True
Illinois,35142,22140.0,,9277.3,17817.9,3022.0,33948.0,62071.7,13591.7,2384.6,17085.6,,3480.8,29766.2,-13002.0,,-25864.7,-17324.1,-32120.0,-1194.0,26929.7,-21550.3,-32757.4,-18056.4,,-31661.2,-5375.8,,False,False,False,True,False,False,False,False,,False,True
Indiana,19690,11428.0,,10476.6,9779.1,5281.0,7876.0,23647.4,11179.3,1069.4,10921.8,,4512.9,16345.5,-8262.0,,-9213.4,-9910.9,-14409.0,-11814.0,3957.4,-8510.7,-18620.6,-8768.2,,-15177.1,-3344.5,,False,False,False,False,True,False,False,False,,False,True
Iowa,14232,11952.0,,11789.0,10717.7,3922.0,6876.0,7810.0,9333.8,1197.0,13252.4,,4607.2,18302.7,-2280.0,,-2443.0,-3514.3,-10310.0,-7356.0,-6422.0,-4898.2,-13035.0,-979.6,,-9624.8,4070.7,,False,False,False,False,False,False,False,True,,False,False
Kansas,11681,9176.0,,10600.3,10832.2,2633.0,10609.0,9517.1,6064.2,288.8,7998.5,,2440.1,22675.1,-2505.0,,-1080.7,-848.8,-9048.0,-1072.0,-2163.9,-5616.8,-11392.2,-3682.5,,-9240.9,10994.1,,True,True,False,True,True,False,False,False,,False,False
Kentucky,14347,4836.0,,5532.2,5418.6,4836.0,6242.0,16919.3,2100.4,543.5,5817.7,,4075.5,5530.2,-9511.0,,-8814.8,-8928.4,-9511.0,-8105.0,2572.3,-12246.6,-13803.5,-8529.3,,-10271.5,-8816.8,,True,True,False,True,True,False,False,True,,False,True
Louisiana,52991,34080.0,,35642.6,33230.5,17188.0,51117.0,28958.6,31987.4,1870.7,42725.2,,8111.4,36632.4,-18911.0,,-17348.4,-19760.5,-35803.0,-1874.0,-24032.4,-21003.6,-51120.3,-10265.8,,-44879.6,-16358.6,,True,False,False,True,False,False,False,True,,False,True
Maine,541,972.0,,633.4,935.9,574.0,822.0,2388.6,592.6,122.4,1046.6,,599.4,1230.9,431.0,,92.4,394.9,33.0,281.0,1847.6,51.6,-418.6,505.6,,58.4,689.9,,True,True,True,True,False,True,True,False,,True,False
Maryland,20024,11564.0,,5905.0,8357.9,3271.0,7242.0,27954.3,6810.6,1224.2,8168.7,,4193.5,16246.0,-8460.0,,-14119.0,-11666.1,-16753.0,-12782.0,7930.3,-13213.4,-18799.8,-11855.3,,-15830.5,-3778.0,,False,False,False,False,True,False,False,False,,False,True
Massachusetts,6911,5580.0,,2824.6,3505.3,1121.0,4367.0,18174.9,3571.5,618.6,3329.6,,783.1,6987.4,-1331.0,,-4086.4,-3405.7,-5790.0,-2544.0,11263.9,-3339.5,-6292.4,-3581.4,,-6127.9,76.4,,False,False,False,False,False,False,False,False,,False,True
Michigan,18751,11608.0,,8383.2,10767.5,5030.0,13067.0,40695.9,7114.3,674.1,10974.2,,2385.2,22841.7,-7143.0,,-10367.8,-7983.5,-13721.0,-5684.0,21944.9,-11636.7,-18076.9,-7776.8,,-16365.8,4090.7,,False,False,False,True,False,False,False,False,,False,True
Minnesota,17564,10364.0,,7525.1,8521.7,5296.0,13402.0,27725.9,6431.2,893.0,10413.5,,2484.7,7426.8,-7200.0,,-10038.9,-9042.3,-12268.0,-4162.0,10161.9,-11132.8,-16671.0,-7150.5,,-15079.3,-10137.2,,False,False,False,True,False,False,False,True,,False,False
Mississippi,29207,20572.0,,21141.5,19531.9,16416.0,22462.0,11107.5,11192.2,1899.4,27100.4,,12315.3,31842.2,-8635.0,,-8065.5,-9675.1,-12791.0,-6745.0,-18099.5,-18014.8,-27307.6,-2106.6,,-16891.7,2635.2,,True,False,False,True,False,False,False,True,,False,True
Missouri,28049,12044.0,,16197.9,33435.2,9129.0,14055.0,14615.8,9068.1,630.8,14325.9,,7574.3,14897.6,-16005.0,,-11851.1,5386.2,-18920.0,-13994.0,-13433.2,-18980.9,-27418.2,-13723.1,,-20474.7,-13151.4,,True,True,False,True,True,False,False,True,,False,True
Montana,2914,1260.0,,2219.5,3287.9,546.0,459.0,1550.3,1308.7,99.2,1315.6,,2847.2,4060.3,-1654.0,,-694.5,373.9,-2368.0,-2455.0,-1363.7,-1605.3,-2814.8,-1598.4,,-66.8,1146.3,,True,True,False,False,True,True,False,True,,True,True
Nebraska,6564,4208.0,,3027.2,3328.6,1426.0,3837.0,6747.4,2577.3,497.2,2253.5,,786.4,4245.2,-2356.0,,-3536.8,-3235.4,-5138.0,-2727.0,183.4,-3986.7,-6066.8,-4310.5,,-5777.6,-2318.8,,False,False,False,False,True,False,False,False,,False,True
