,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,312,279.0,508.1,283.0,,,,,453.0,470.5,170.6,301.4,,550.0,,,,,,,,-33.0,196.1,-29.0,,,,,141.0,158.5,-141.4,-10.6,,238.0,,,,,,,,False,True,,,,,False,False,False,True,,False,,,,,,,
01003,1888,1083.0,770.5,1546.0,,,,,1070.0,716.3,1585.6,1499.6,,1499.0,,,1706.5,2883.0,,,,-805.0,-1117.5,-342.0,,,,,-818.0,-1171.7,-302.4,-388.4,,-389.0,,,-181.5,995.0,,,,False,True,,,,,False,False,True,True,,True,,,True,False,,,
01005,160,141.0,,274.0,,,,,124.0,166.8,92.2,,,318.0,,,,,,,,-19.0,,114.0,,,,,-36.0,6.8,-67.8,,,158.0,,,,,,,,,False,,,,,False,True,False,,,False,,,,,,,
01007,139,102.0,,153.0,,,,,73.0,105.6,66.8,,,186.0,,,,,,,,-37.0,,14.0,,,,,-66.0,-33.4,-72.2,,,47.0,,,,,,,,,True,,,,,False,True,False,,,False,,,,,,,
01009,408,198.0,196.3,293.0,,,,,202.0,178.3,318.8,338.8,,307.0,,,,,,,,-210.0,-211.7,-115.0,,,,,-206.0,-229.7,-89.2,-69.2,,-101.0,,,,,,,,False,True,,,,,True,False,True,True,,True,,,,,,,
01011,59,27.0,,22.0,,,,,85.0,45.2,7.5,,,,,,,,,,,-32.0,,-37.0,,,,,26.0,-13.8,-51.5,,,,,,,,,,,,False,,,,,True,True,False,,,,,,,,,,
01013,92,81.0,,111.0,,,,,256.0,72.8,15.1,,,,,,,,,,,-11.0,,19.0,,,,,164.0,-19.2,-76.9,,,,,,,,,,,,False,,,,,False,False,False,,,,,,,,,,
01015,948,474.0,158.5,1885.0,,,,,628.0,418.2,540.6,641.3,,570.0,,,,,,,,-474.0,-789.5,937.0,,,,,-320.0,-529.8,-407.4,-306.7,,-378.0,,,,,,,,False,False,,,,,True,False,True,True,,True,,,,,,,
01017,133,150.0,,198.0,,,,,232.0,59.4,63.2,,,,,,,,,,,17.0,,65.0,,,,,99.0,-73.6,-69.8,,,,,,,,,,,,False,,,,,False,False,False,,,,,,,,,,
01019,99,114.0,,204.0,,,,,60.0,101.4,47.2,,,117.0,,,,,,,,15.0,,105.0,,,,,-39.0,2.4,-51.8,,,18.0,,,,,,,,,False,,,,,False,True,False,,,False,,,,,,,
01021,350,252.0,,632.0,,,,,199.0,161.5,308.3,,,353.0,,,,,,,,-98.0,,282.0,,,,,-151.0,-188.5,-41.7,,,3.0,,,,,,,,,False,,,,,False,False,True,,,True,,,,,,,
01023,59,51.0,,49.0,,,,,77.0,38.2,27.6,,,163.0,,,,,,,,-8.0,,-10.0,,,,,18.0,-20.8,-31.4,,,104.0,,,,,,,,,False,,,,,False,False,False,,,False,,,,,,,
01025,167,117.0,,168.0,,,,,225.0,120.2,91.6,,,257.0,,,,,,,,-50.0,,1.0,,,,,58.0,-46.8,-75.4,,,90.0,,,,,,,,,True,,,,,False,True,False,,,False,,,,,,,
01027,115,63.0,,0.0,,,,,21.0,37.9,17.4,,,86.0,,,,,,,,-52.0,,-115.0,,,,,-94.0,-77.1,-97.6,,,-29.0,,,,,,,,,False,,,,,False,False,False,,,True,,,,,,,
01029,70,18.0,,16.0,,,,,16.0,21.2,7.7,,,35.0,,,,,,,,-52.0,,-54.0,,,,,-54.0,-48.8,-62.3,,,-35.0,,,,,,,,,False,,,,,False,True,False,,,True,,,,,,,
01031,271,153.0,127.1,239.0,,,,,410.0,259.4,109.8,156.5,,339.0,,,,,,,,-118.0,-143.9,-32.0,,,,,139.0,-11.6,-161.2,-114.5,,68.0,,,,,,,,False,True,,,,,False,True,False,True,,True,,,,,,,
01033,555,312.0,193.6,575.0,,,,,397.0,271.0,298.6,346.6,,485.0,,,,,,,,-243.0,-361.4,20.0,,,,,-158.0,-284.0,-256.4,-208.4,,-70.0,,,,,,,,False,True,,,,,True,False,False,True,,True,,,,,,,
01035,133,78.0,,1.0,,,,,96.0,136.8,14.2,,41.8,176.0,,,,,,,,-55.0,,-132.0,,,,,-37.0,3.8,-118.8,,-91.2,43.0,,,,,,,,,False,,,,,True,True,False,,False,True,,,,,,,
01037,26,21.0,,0.0,,,,,9.0,22.9,15.1,,,51.0,,,,,,,,-5.0,,-26.0,,,,,-17.0,-3.1,-10.9,,,25.0,,,,,,,,,False,,,,,False,True,False,,,False,,,,,,,
01039,270,180.0,,246.0,,,,,375.0,422.2,103.5,,196.5,332.0,,,,,,,,-90.0,,-24.0,,,,,105.0,152.2,-166.5,,-73.5,62.0,,,,,,,,,True,,,,,False,False,False,,True,True,,,,,,,
01041,152,6.0,,7.0,,,,,81.0,21.4,3.8,,17.8,,,,,,,,,-146.0,,-145.0,,,,,-71.0,-130.6,-148.2,,-134.2,,,,,,,,,,True,,,,,True,True,False,,True,,,,,,,,
01043,519,396.0,432.9,992.0,,,,,506.0,511.4,395.0,599.5,304.9,618.0,,,,,,,,-123.0,-86.1,473.0,,,,,-13.0,-7.6,-124.0,80.5,-214.1,99.0,,,,,,,,True,False,,,,,True,True,False,True,False,True,,,,,,,
01045,372,327.0,,813.0,,,,,363.0,346.1,400.3,,202.6,437.0,,,,,,,,-45.0,,441.0,,,,,-9.0,-25.9,28.3,,-169.4,65.0,,,,,,,,,False,,,,,True,True,True,,False,False,,,,,,,
01047,272,351.0,,315.0,,,,,458.0,269.0,200.7,,123.6,798.0,,,,,,,,79.0,,43.0,,,,,186.0,-3.0,-71.3,,-148.4,526.0,,,,,,,,,True,,,,,False,True,True,,False,False,,,,,,,
01049,709,702.0,391.9,1775.0,,,,,653.0,338.5,1028.2,821.9,464.0,1023.0,,,,,,,,-7.0,-317.1,1066.0,,,,,-56.0,-370.5,319.2,112.9,-245.0,314.0,,,,,,,,False,False,,,,,False,False,False,False,False,False,,,,,,,
01051,533,378.0,794.9,452.0,,,,,611.0,457.2,330.8,451.1,273.3,812.0,,,393.2,,,,,-155.0,261.9,-81.0,,,,,78.0,-75.8,-202.2,-81.9,-259.7,279.0,,,-139.8,,,,,False,True,,,,,True,True,False,True,False,False,,,True,,,,
01053,472,429.0,,605.0,,,,,465.0,325.5,178.7,,156.9,463.0,,,,,,,,-43.0,,133.0,,,,,-7.0,-146.5,-293.3,,-315.1,-9.0,,,,,,,,,False,,,,,True,False,False,,False,True,,,,,,,
01055,933,672.0,645.7,1053.0,,,,,1070.0,494.6,932.6,1066.3,567.4,1052.0,,,814.6,,,,,-261.0,-287.3,120.0,,,,,137.0,-438.4,-0.4,133.3,-365.6,119.0,,,-118.4,,,,,False,True,,,,,True,False,True,True,False,True,,,True,,,,
01057,85,42.0,,0.0,,,,,33.0,62.5,24.8,,,75.0,,,,,,,,-43.0,,-85.0,,,,,-52.0,-22.5,-60.2,,,-10.0,,,,,,,,,False,,,,,False,True,False,,,True,,,,,,,
01059,233,129.0,,117.0,,,,,566.0,239.3,62.7,,65.9,,,,,,,,,-104.0,,-116.0,,,,,333.0,6.3,-170.3,,-167.1,,,,,,,,,,False,,,,,False,True,False,,False,,,,,,,,
01061,120,51.0,,121.0,,,,,183.0,79.4,16.4,,,83.0,,,,,,,,-69.0,,1.0,,,,,63.0,-40.6,-103.6,,,-37.0,,,,,,,,,True,,,,,True,True,False,,,True,,,,,,,
01063,44,36.0,,53.0,,,,,28.0,39.3,11.0,,2.1,,,,,,,,,-8.0,,9.0,,,,,-16.0,-4.7,-33.0,,-41.9,,,,,,,,,,False,,,,,False,True,False,,False,,,,,,,,
01065,100,114.0,,176.0,,,,,127.0,76.4,64.5,,52.5,278.0,,,,,,,,14.0,,76.0,,,,,27.0,-23.6,-35.5,,-47.5,178.0,,,,,,,,,False,,,,,False,False,False,,False,False,,,,,,,
01067,85,63.0,,77.0,,,,,54.0,55.4,22.7,,27.5,126.0,,,,,,,,-22.0,,-8.0,,,,,-31.0,-29.6,-62.3,,-57.5,41.0,,,,,,,,,True,,,,,False,False,False,,False,False,,,,,,,
01069,690,318.0,352.9,621.0,,,,,801.0,504.9,308.1,446.5,299.6,522.0,,,,,,,,-372.0,-337.1,-69.0,,,,,111.0,-185.1,-381.9,-243.5,-390.4,-168.0,,,,,,,,True,True,,,,,True,True,False,True,False,True,,,,,,,
01071,365,450.0,238.3,1063.0,,,,,306.0,247.3,742.1,519.0,294.6,600.0,,,,,,,,85.0,-126.7,698.0,,,,,-59.0,-117.7,377.1,154.0,-70.4,235.0,,,,,,,,False,False,,,,,True,False,False,False,True,False,,,,,,,
01073,5032,4467.0,4179.9,4345.0,,,,,6924.0,3746.2,6031.2,6115.3,4143.7,6177.0,,,9288.8,6408.0,,,,-565.0,-852.1,-687.0,,,,,1892.0,-1285.8,999.2,1083.3,-888.3,1145.0,,,4256.8,1376.0,,,,False,False,,,,,False,False,False,False,False,False,,,False,False,,,
01075,105,36.0,,0.0,,,,,27.0,65.2,23.7,,,72.0,,,,,,,,-69.0,,-105.0,,,,,-78.0,-39.8,-81.3,,,-33.0,,,,,,,,,False,,,,,False,True,False,,,True,,,,,,,
01077,460,237.0,333.0,306.0,,,,,540.0,477.9,243.8,283.5,362.9,487.0,,,,,,,,-223.0,-127.0,-154.0,,,,,80.0,17.9,-216.2,-176.5,-97.1,27.0,,,,,,,,True,True,,,,,True,True,True,True,True,True,,,,,,,
01079,173,54.0,,103.0,,,,,61.0,134.5,82.5,,62.4,113.0,,,,,,,,-119.0,,-70.0,,,,,-112.0,-38.5,-90.5,,-110.6,-60.0,,,,,,,,,True,,,,,True,True,True,,True,True,,,,,,,
01081,883,639.0,651.4,509.0,,,,,1057.0,421.4,604.3,749.0,759.9,1265.0,,,490.6,591.0,,,,-244.0,-231.6,-374.0,,,,,174.0,-461.6,-278.7,-134.0,-123.1,382.0,,,-392.4,-292.0,,,,True,False,,,,,True,False,False,True,True,False,,,False,False,,,
01083,533,423.0,448.7,821.0,,,,,588.0,407.9,471.0,427.7,462.7,638.0,,,,,,,,-110.0,-84.3,288.0,,,,,55.0,-125.1,-62.0,-105.3,-70.3,105.0,,,,,,,,True,False,,,,,True,False,True,True,True,True,,,,,,,
01085,66,42.0,,23.0,,,,,66.0,46.9,2.3,,3.0,,,,,,,,,-24.0,,-43.0,,,,,0.0,-19.1,-63.7,,-63.0,,,,,,,,,,False,,,,,True,True,False,,False,,,,,,,,
01087,89,90.0,,97.0,,,,,40.0,110.0,18.3,,63.5,163.0,,,,,,,,1.0,,8.0,,,,,-49.0,21.0,-70.7,,-25.5,74.0,,,,,,,,,False,,,,,False,False,False,,False,False,,,,,,,
01089,2698,2280.0,1855.7,5668.0,,,,,2286.0,1362.7,4923.4,3011.2,2320.0,2909.0,,,3682.9,6003.0,,,,-418.0,-842.3,2970.0,,,,,-412.0,-1335.3,2225.4,313.2,-378.0,211.0,,,984.9,3305.0,,,,False,False,,,,,True,False,False,True,True,True,,,False,False,,,
01091,154,150.0,,226.0,,,,,208.0,86.7,70.1,,60.5,288.0,,,,,,,,-4.0,,72.0,,,,,54.0,-67.3,-83.9,,-93.5,134.0,,,,,,,,,False,,,,,False,False,False,,False,False,,,,,,,
