,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,24118,26574.0,27652.0,,27656.7,25083.0,23293.2,28035.0,17235.2,39060.9,24519.6,30441.6,39600.0,,28122.9,29889.9,29466.9,28149.0,22384.6,2456.0,3534.0,,3538.7,965.0,-824.8,3917.0,-6882.8,14942.9,401.6,6323.6,15482.0,,4004.9,5771.9,5348.9,4031.0,-1733.4,False,,False,True,True,False,False,False,True,False,False,,False,False,False,False,True
Alaska,1687,822.0,936.0,,1105.5,649.0,67.9,,940.1,1708.5,885.7,1041.6,1180.0,,621.2,994.8,,1094.4,3474.2,-865.0,-751.0,,-581.5,-1038.0,-1619.1,,-746.9,21.5,-801.3,-645.4,-507.0,,-1065.8,-692.2,,-592.6,1787.2,True,,True,False,False,,True,True,True,True,True,,False,True,,True,False
Arizona,35737,42670.0,38659.0,,71403.5,52166.0,54401.4,44687.0,23332.9,44780.5,29499.4,44927.5,42222.0,,35323.8,38826.3,43991.6,33972.9,40592.7,6933.0,2922.0,,35666.5,16429.0,18664.4,8950.0,-12404.1,9043.5,-6237.6,9190.5,6485.0,,-413.2,3089.3,8254.6,-1764.1,4855.7,True,,False,False,False,False,False,False,True,False,True,,True,True,False,True,True
Arkansas,10640,9338.0,9481.0,,10006.3,9430.0,5448.3,10600.0,9477.4,15909.7,8700.8,11242.1,11060.0,,,8649.5,12326.9,9121.6,7229.2,-1302.0,-1159.0,,-633.7,-1210.0,-5191.7,-40.0,-1162.6,5269.7,-1939.2,602.1,420.0,,,-1990.5,1686.9,-1518.4,-3410.8,True,,True,True,False,True,True,False,False,True,True,,,False,False,False,False
California,125868,123968.0,116005.0,,167296.0,126458.0,271937.9,138281.0,103370.9,234881.1,79671.0,135334.4,164151.0,,130639.1,128417.7,147588.5,75860.1,35666.3,-1900.0,-9863.0,,41428.0,590.0,146069.9,12413.0,-22497.1,109013.1,-46197.0,9466.4,38283.0,,4771.1,2549.7,21720.5,-50007.9,-90201.7,False,,False,True,False,False,False,False,False,False,False,,False,False,False,False,False
Colorado,7479,6394.0,6778.0,,7248.8,2422.0,6021.8,6322.0,4867.6,16181.1,5378.0,7615.4,10290.0,,9915.1,7726.0,3719.2,7909.9,5138.5,-1085.0,-701.0,,-230.2,-5057.0,-1457.2,-1157.0,-2611.4,8702.1,-2101.0,136.4,2811.0,,2436.1,247.0,-3759.8,430.9,-2340.5,True,,True,False,False,False,False,False,False,True,False,,False,True,False,True,False
Connecticut,1917,1212.0,1049.0,,727.7,109.0,1887.6,1024.0,3257.0,935.8,734.5,866.2,1322.0,,872.3,1385.2,,1025.9,581.0,-705.0,-868.0,,-1189.3,-1808.0,-29.4,-893.0,1340.0,-981.2,-1182.5,-1050.8,-595.0,,-1044.7,-531.8,,-891.1,-1336.0,False,,False,False,True,False,False,False,False,False,True,,False,True,,False,False
Delaware,1475,1372.0,1447.0,,1802.3,459.0,612.8,882.0,1855.6,2068.6,1207.5,1609.9,1557.0,,1093.5,1600.2,838.8,1388.1,2717.6,-103.0,-28.0,,327.3,-1016.0,-862.2,-593.0,380.6,593.6,-267.5,134.9,82.0,,-381.5,125.2,-636.2,-86.9,1242.6,True,,False,False,False,False,False,False,False,False,True,,False,False,False,True,False
District of Columbia,1011,786.0,835.0,,467.9,381.0,2238.5,963.0,875.8,2055.8,713.9,988.5,1141.0,,500.6,852.5,,1053.1,223.1,-225.0,-176.0,,-543.1,-630.0,1227.5,-48.0,-135.2,1044.8,-297.1,-22.5,130.0,,-510.4,-158.5,,42.1,-787.9,True,,False,False,False,True,True,False,False,True,True,,False,True,,True,False
Florida,142459,166116.0,170359.0,,286983.6,140112.0,179136.3,247215.0,58469.9,234461.9,177313.6,179728.0,222691.0,,144503.0,164141.1,224627.2,148875.7,114885.9,23657.0,27900.0,,144524.6,-2347.0,36677.3,104756.0,-83989.1,92002.9,34854.6,37269.0,80232.0,,2044.0,21682.1,82168.2,6416.7,-27573.1,False,,False,True,False,False,False,False,False,False,False,,True,True,False,True,False
Georgia,50132,50958.0,56933.0,,76928.4,39525.0,38684.2,43732.0,24444.2,109129.8,44565.2,58761.7,76588.0,,64264.1,73497.4,64012.7,41102.9,86476.4,826.0,6801.0,,26796.4,-10607.0,-11447.8,-6400.0,-25687.8,58997.8,-5566.8,8629.7,26456.0,,14132.1,23365.4,13880.7,-9029.1,36344.4,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
