,count,mean,median,std,min,25%,75%,max
COVIDhub-ensemble,3141,10407.8,49.0,114568.5,0.0,4.0,441.0,2910436.0
LNQ-ens1,3141,10510.8,40.4,151063.0,0.0,3.4,339.6,5386505.7
LANL-GrowthRate,2950,14965.0,77.0,209679.9,0.0,5.7,739.2,7812019.9
COVIDhub-baseline,3141,17840.4,49.0,217841.7,0.0,4.0,529.0,7128900.0
UCLA-SuEIR,2895,22614.4,59.6,330890.1,0.0,5.6,560.1,10777480.1
OliverWyman-Navigator,2705,24751.5,64.0,309195.6,0.0,7.1,729.0,13184161.0
USC-SI_kJalpha,2769,27841.0,54.8,771648.2,0.0,4.0,484.0,41641209.0
CU-select,3072,29482.5,81.0,486976.8,0.0,9.0,841.0,20061441.0
JHU_IDD-CovidSP,3139,50048.4,90.2,1064784.5,0.0,7.6,1001.7,54197964.2
IowaStateLW-STEM,3103,59495.6,100.0,1174499.5,0.0,4.0,1089.0,55249489.0
