,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,12111,12896.0,13056.0,,16745.8,15062.0,9416.7,14134.1,21051.3,13716.0,12848.6,18199.8,9156.8,11215.3,15170.0,,11093.1,15009.7,13752.2,9952.5,11905.0,785.0,945.0,,4634.8,2951.0,-2694.3,2023.1,8940.3,1605.0,737.6,6088.8,-2954.2,-895.7,3059.0,,-1017.9,2898.7,1641.2,-2158.5,-206.0,False,,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,True
Alaska,955,543.0,663.0,,706.7,462.0,407.7,523.9,14.4,,881.9,530.8,915.0,757.9,767.0,,462.5,698.3,,1141.5,808.0,-412.0,-292.0,,-248.3,-493.0,-547.3,-431.1,-940.6,,-73.1,-424.2,-40.0,-197.1,-188.0,,-492.5,-256.7,,186.5,-147.0,True,,True,False,False,False,False,,True,False,True,True,True,,False,True,,True,True
Arizona,16961,18776.0,18097.0,,28610.4,20240.0,16803.0,20805.2,36164.5,18602.0,13232.0,19690.3,14421.8,17587.8,17783.0,,16205.6,21325.2,21382.1,17591.1,15443.0,1815.0,1136.0,,11649.4,3279.0,-158.0,3844.2,19203.5,1641.0,-3729.0,2729.3,-2539.2,626.8,822.0,,-755.4,4364.2,4421.1,630.1,-1518.0,True,,False,False,True,False,False,True,False,False,False,True,True,,True,False,False,True,True
Arkansas,5192,5448.0,5274.0,,5329.3,5274.0,3725.8,5706.4,5205.3,5350.0,5522.9,7008.3,4743.5,5058.1,5639.0,,,5876.0,5837.5,5332.6,5203.0,256.0,82.0,,137.3,82.0,-1466.2,514.4,13.3,158.0,330.9,1816.3,-448.5,-133.9,447.0,,,684.0,645.5,140.6,11.0,True,,True,True,False,False,True,True,False,False,False,True,False,,,False,False,True,True
California,60161,65707.0,64488.0,,91865.4,69764.0,43498.7,63420.2,115735.0,71448.0,67264.4,96548.2,40209.9,58663.1,68609.0,,53740.3,74027.3,71881.9,49917.5,57668.0,5546.0,4327.0,,31704.4,9603.0,-16662.3,3259.2,55574.0,11287.0,7103.4,36387.2,-19951.1,-1497.9,8448.0,,-6420.7,13866.3,11720.9,-10243.5,-2493.0,True,,False,False,False,True,False,False,False,False,False,True,False,,False,False,False,False,True
Colorado,3478,4001.0,4305.0,,4663.4,1876.0,2591.7,4440.7,8113.9,3597.0,3989.3,6019.3,4099.0,4511.0,5317.0,,3818.4,5385.3,,5456.7,4057.0,523.0,827.0,,1185.4,-1602.0,-886.3,962.7,4635.9,119.0,511.3,2541.3,621.0,1033.0,1839.0,,340.4,1907.3,,1978.7,579.0,False,,False,False,False,False,False,True,True,False,False,False,False,,True,False,,False,False
Connecticut,1034,883.0,635.0,,431.9,55.0,353.2,954.1,3640.2,828.0,1108.3,474.5,696.6,573.3,1020.0,,425.5,994.3,,804.1,736.0,-151.0,-399.0,,-602.1,-979.0,-680.8,-79.9,2606.2,-206.0,74.3,-559.5,-337.4,-460.7,-14.0,,-608.5,-39.7,,-229.9,-298.0,False,,False,False,False,True,False,False,True,False,False,False,True,,False,True,,False,False
Delaware,702,746.0,720.0,,1070.0,232.0,806.4,1186.4,410.2,536.0,796.5,846.8,708.8,782.5,855.0,,509.6,762.9,,756.1,759.0,44.0,18.0,,368.0,-470.0,104.4,484.4,-291.8,-166.0,94.5,144.8,6.8,80.5,153.0,,-192.4,60.9,,54.1,57.0,True,,False,False,False,False,False,False,False,False,True,False,False,,False,False,,False,False
District of Columbia,488,523.0,415.0,,401.8,213.0,376.1,512.3,1083.9,346.0,411.5,777.3,428.2,530.5,624.0,,343.8,657.9,,575.2,531.0,35.0,-73.0,,-86.2,-275.0,-111.9,24.3,595.9,-142.0,-76.5,289.3,-59.8,42.5,136.0,,-144.2,169.9,,87.2,43.0,False,,False,False,False,True,False,False,False,False,False,False,False,,False,False,,False,False
Florida,65517,76942.0,73170.0,,139019.3,73038.0,57678.4,77893.5,96400.8,73302.0,53160.4,98649.7,66057.3,68539.1,84821.0,,71776.6,85551.0,83602.5,75736.5,66385.0,11425.0,7653.0,,73502.3,7521.0,-7838.6,12376.5,30883.8,7785.0,-12356.6,33132.7,540.3,3022.1,19304.0,,6259.6,20034.0,18085.5,10219.5,868.0,True,,False,True,True,False,False,True,False,False,True,True,False,,True,False,False,True,True
