,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,677,637.0,,,,,791.0,,202.8,,331.0,524.5,,,-40.0,,,,,114.0,,-474.2,,-346.0,-152.5,,,,,,,False,,False,,False,False,,
01003,2131,3010.0,,,,,1320.0,,2578.7,,833.9,2027.5,,,879.0,,,,,-811.0,,447.7,,-1297.1,-103.5,,,,,,,True,,True,,False,True,,
01005,241,364.0,,,,,418.0,,76.9,,53.1,117.5,,,123.0,,,,,177.0,,-164.1,,-187.9,-123.5,,,,,,,False,,False,,False,False,,
01007,328,182.0,,,,,427.0,,50.9,,88.8,99.8,,,-146.0,,,,,99.0,,-277.1,,-239.2,-228.2,,,,,,,True,,False,,False,False,,
01009,895,483.0,,,,,1037.0,,142.4,,69.5,213.6,,,-412.0,,,,,142.0,,-752.6,,-825.5,-681.4,,,,,,,True,,False,,False,False,,
01011,70,133.0,,,,,255.0,,23.0,,31.9,99.4,,,63.0,,,,,185.0,,-47.0,,-38.1,29.4,,,,,,,False,,True,,True,True,,
01013,168,28.0,,,,,259.0,,3.2,,36.4,44.6,,,-140.0,,,,,91.0,,-164.8,,-131.6,-123.4,,,,,,,True,,False,,True,True,,
01015,1985,1365.0,,,,,1662.0,,589.5,,538.4,732.6,,,-620.0,,,,,-323.0,,-1395.5,,-1446.6,-1252.4,,,,,,,True,,False,,False,False,,
01017,399,287.0,,,,,330.0,,54.3,,44.0,91.7,,,-112.0,,,,,-69.0,,-344.7,,-355.0,-307.3,,,,,,,True,,False,,False,False,,
01019,302,371.0,,,,,359.0,,108.3,,33.5,198.4,,,69.0,,,,,57.0,,-193.7,,-268.5,-103.6,,,,,,,True,,False,,False,False,,
01021,489,798.0,,,,,998.0,,321.9,,220.6,362.3,,,309.0,,,,,509.0,,-167.1,,-268.4,-126.7,,,,,,,False,,True,,True,True,,
01023,61,21.0,,,,,138.0,,7.3,,34.0,24.8,,,-40.0,,,,,77.0,,-53.7,,-27.0,-36.2,,,,,,,False,,False,,True,True,,
01025,411,294.0,,,,,436.0,,91.8,,9.2,253.9,,,-117.0,,,,,25.0,,-319.2,,-401.8,-157.1,,,,,,,True,,False,,False,False,,
01027,266,343.0,,,,,167.0,,83.3,,47.0,195.8,,,77.0,,,,,-99.0,,-182.7,,-219.0,-70.2,,,,,,,False,,False,,False,True,,
01029,266,420.0,,,,,250.0,,200.2,,47.2,220.2,,,154.0,,,,,-16.0,,-65.8,,-218.8,-45.8,,,,,,,True,,True,,False,True,,
01031,805,546.0,,,,,887.0,,262.2,,490.4,452.7,,,-259.0,,,,,82.0,,-542.8,,-314.6,-352.3,,,,,,,True,,False,,False,False,,
01033,1048,371.0,,,,,805.0,,167.5,,280.6,189.9,,,-677.0,,,,,-243.0,,-880.5,,-767.4,-858.1,,,,,,,True,,False,,False,False,,
01035,107,84.0,,,,,119.0,,4.9,0.0,16.2,33.6,,,-23.0,,,,,12.0,,-102.1,-107.0,-90.8,-73.4,,,,,,,True,,False,False,False,False,,
01037,89,70.0,,,,,129.0,,6.2,4.5,10.5,33.1,,,-19.0,,,,,40.0,,-82.8,-84.5,-78.5,-55.9,,,,,,,False,,False,False,False,False,,
01039,633,693.0,,,,,653.0,,170.0,0.5,64.9,175.0,,,60.0,,,,,20.0,,-463.0,-632.5,-568.1,-458.0,,,,,,,True,,False,False,False,False,,
01041,131,105.0,,,,,224.0,,25.6,0.0,85.2,187.8,,,-26.0,,,,,93.0,,-105.4,-131.0,-45.8,56.8,,,,,,,False,,False,False,False,False,,
01043,1773,483.0,,,,,1879.0,,48.2,191.0,151.4,224.8,,,-1290.0,,,,,106.0,,-1724.8,-1582.0,-1621.6,-1548.2,,,,,,,True,,False,False,False,False,,
01045,779,413.0,,,,,640.0,,164.4,1.0,185.0,200.1,,,-366.0,,,,,-139.0,,-614.6,-778.0,-594.0,-578.9,,,,,,,True,,False,False,False,False,,
