,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,32012,34842.0,19755.8,32949.9,26885.0,28605.0,,29523.6,12539.0,31304.8,31041.5,,24298.0,27427.8,23793.4,31890.0,7645.3,27740.5,40586.3,24952.0,40286.6,34536.0,,22294.1,11996.1,21707.6,22365.1,33227.3,45994.3,33499.0,2830.0,-12256.2,937.9,-5127.0,-3407.0,,-2488.4,-19473.0,-707.2,-970.5,,-7714.0,-4584.2,-8218.6,-122.0,-24366.7,-4271.5,8574.3,-7060.0,8274.6,2524.0,,-9717.9,-20015.9,-10304.4,-9646.9,1215.3,13982.3,1487.0,False,True,False,False,,True,False,True,True,,False,False,False,True,False,False,False,False,False,True,,False,False,False,False,True,False,True
Alaska,9608,5175.0,788.2,5068.2,5114.0,4255.0,,4679.1,3261.0,6707.8,6315.6,,,6328.4,7727.2,5545.0,1885.4,6853.5,7018.0,8001.2,8088.5,7386.0,,4596.6,1551.0,3129.1,5384.9,7955.3,12536.6,2804.0,-4433.0,-8819.8,-4539.8,-4494.0,-5353.0,,-4928.9,-6347.0,-2900.2,-3292.4,,,-3279.6,-1880.8,-4063.0,-7722.6,-2754.5,-2590.0,-1606.8,-1519.5,-2222.0,,-5011.4,-8057.0,-6478.9,-4223.1,-1652.7,2928.6,-6804.0,False,False,False,False,,False,False,True,True,,,True,True,True,False,True,True,True,True,True,,False,False,False,True,True,True,False
Arizona,36281,18939.0,24722.8,18990.6,19035.0,24332.0,,19013.8,1309.0,33754.7,19086.1,,16664.0,20254.6,15535.6,21975.0,8496.6,18663.5,21862.1,17277.9,29469.8,23289.0,,17942.9,14889.1,13385.8,19614.3,27308.9,27516.0,19092.0,-17342.0,-11558.2,-17290.4,-17246.0,-11949.0,,-17267.2,-34972.0,-2526.3,-17194.9,,-19617.0,-16026.4,-20745.4,-14306.0,-27784.4,-17617.5,-14418.9,-19003.1,-6811.2,-12992.0,,-18338.1,-21391.9,-22895.2,-16666.7,-8972.1,-8765.0,-17189.0,True,True,True,True,,True,False,True,True,,False,True,False,True,False,False,True,False,True,True,,False,False,False,True,True,True,True
Arkansas,26848,20688.0,15589.4,20715.4,20552.0,19801.0,,19881.5,14432.0,26509.8,19176.4,,22237.0,23139.0,23031.9,23148.0,7598.8,20761.5,22202.1,16040.9,23929.1,26957.0,,15459.6,2634.2,12114.2,24594.7,19731.1,19751.1,18912.0,-6160.0,-11258.6,-6132.6,-6296.0,-7047.0,,-6966.5,-12416.0,-338.2,-7671.6,,-4611.0,-3709.0,-3816.1,-3700.0,-19249.2,-6086.5,-4645.9,-10807.1,-2918.9,109.0,,-11388.4,-24213.8,-14733.8,-2253.3,-7116.9,-7096.9,-7936.0,False,True,False,False,,False,False,True,False,,True,True,True,True,False,True,True,False,True,True,,False,False,False,True,False,False,False
California,122435,90210.0,108425.2,87454.5,74889.0,149400.0,,82174.0,21544.0,92399.6,81642.4,,65772.0,78415.0,59467.2,85639.0,52283.3,76080.5,74361.9,57876.7,112922.9,90666.0,,51561.7,4009.4,67188.9,59206.2,98796.2,120099.0,98110.0,-32225.0,-14009.8,-34980.5,-47546.0,26965.0,,-40261.0,-100891.0,-30035.4,-40792.6,,-56663.0,-44020.0,-62967.8,-36796.0,-70151.7,-46354.5,-48073.1,-64558.3,-9512.1,-31769.0,,-70873.3,-118425.6,-55246.1,-63228.8,-23638.8,-2336.0,-24325.0,True,False,False,True,,False,False,True,False,,False,False,False,False,False,False,False,False,True,True,,False,False,False,False,True,True,True
Colorado,65834,27093.0,11098.4,26822.7,27554.0,40917.0,,26332.3,48464.0,45565.4,34061.4,,23932.0,28296.0,28352.3,26139.0,21542.2,28515.5,36217.5,29030.4,40082.4,38353.0,,30583.4,10645.0,17334.2,25526.8,44291.3,47329.1,33855.0,-38741.0,-54735.6,-39011.3,-38280.0,-24917.0,,-39501.7,-17370.0,-20268.6,-31772.6,,-41902.0,-37538.0,-37481.7,-39695.0,-44291.8,-37318.5,-29616.5,-36803.6,-25751.6,-27481.0,,-35250.6,-55189.0,-48499.8,-40307.2,-21542.7,-18504.9,-31979.0,False,False,True,True,,False,True,True,True,,False,True,True,False,False,True,True,True,True,True,,True,False,False,False,True,True,True
Connecticut,22593,9666.0,21578.2,9912.8,9896.0,12690.0,,9565.3,11688.0,25334.9,7294.2,,7814.0,9404.3,7195.5,12504.0,15367.9,9776.0,18650.8,4055.6,10792.4,12221.0,,8495.9,8976.8,7057.9,9963.4,6824.0,6459.1,9075.0,-12927.0,-1014.8,-12680.2,-12697.0,-9903.0,,-13027.7,-10905.0,2741.9,-15298.8,,-14779.0,-13188.7,-15397.5,-10089.0,-7225.1,-12817.0,-3942.2,-18537.4,-11800.6,-10372.0,,-14097.1,-13616.2,-15535.1,-12629.6,-15769.0,-16133.9,-13518.0,True,True,True,True,,False,True,True,False,,False,False,False,True,True,True,True,False,True,True,,False,False,False,True,False,False,False
Delaware,4548,2715.0,3167.2,2686.4,2718.0,2748.0,,2721.1,3038.0,5094.1,3106.7,,2413.0,2939.3,2055.1,3065.0,2121.4,2991.0,3500.3,1945.9,2613.5,3340.0,,2546.0,2295.5,2294.5,3800.8,2376.1,2396.9,2992.0,-1833.0,-1380.8,-1861.6,-1830.0,-1800.0,,-1826.9,-1510.0,546.1,-1441.3,,-2135.0,-1608.7,-2492.9,-1483.0,-2426.6,-1557.0,-1047.7,-2602.1,-1934.5,-1208.0,,-2002.0,-2252.5,-2253.5,-747.2,-2171.9,-2151.1,-1556.0,True,False,True,True,,True,True,True,True,,False,True,False,True,False,True,True,False,False,True,,False,False,False,True,False,False,True
District of Columbia,2108,1116.0,201.0,1195.8,1073.0,858.0,,1083.0,195.0,1557.7,1540.8,,1096.0,1258.1,812.6,1216.0,888.9,1186.5,1702.5,976.7,1430.4,1273.0,,852.3,457.0,734.7,1564.0,,1219.1,1146.0,-992.0,-1907.0,-912.2,-1035.0,-1250.0,,-1025.0,-1913.0,-550.3,-567.2,,-1012.0,-849.9,-1295.4,-892.0,-1219.1,-921.5,-405.5,-1131.3,-677.6,-835.0,,-1255.7,-1651.0,-1373.3,-544.0,,-888.9,-962.0,False,True,False,False,,False,False,True,True,,False,True,False,True,False,True,True,False,True,True,,False,False,False,True,,True,True
Florida,98845,71310.0,53015.9,70444.7,68752.0,76048.0,,63610.7,16641.0,83759.6,66687.4,,78206.0,70395.3,52347.7,75523.0,50664.5,61283.5,99482.7,48471.9,84327.5,84038.0,,65467.4,26402.3,43075.6,86877.4,100342.0,73184.3,75357.0,-27535.0,-45829.1,-28400.3,-30093.0,-22797.0,,-35234.3,-82204.0,-15085.4,-32157.6,,-20639.0,-28449.7,-46497.3,-23322.0,-48180.5,-37561.5,637.7,-50373.1,-14517.5,-14807.0,,-33377.6,-72442.7,-55769.4,-11967.6,1497.0,-25660.7,-23488.0,False,False,False,True,,False,False,True,False,,True,False,False,True,False,False,True,False,True,True,,False,False,False,True,True,True,True
