,count,mean,median,std,min,25%,75%,max
COVIDhub-baseline,51,34933.2,23081.0,34261.2,290.0,11580.5,51892.0,178088.0
JCB-PRM,51,36776.7,23992.8,37549.0,833.3,9028.6,56027.1,167052.7
IowaStateLW-STEM,49,39508.5,28520.0,39001.7,559.0,11018.0,56136.5,197628.0
Covid19Sim-Simulator,51,43678.4,28241.4,40332.1,527.3,16057.4,62219.2,202483.3
USACE-ERDC_SEIR,51,44228.0,29193.7,44190.3,173.7,12712.6,62651.6,199982.2
USC-SI_kJalpha,51,48023.9,34812.0,46139.0,970.0,18740.5,73934.0,209542.0
UCLA-SuEIR,51,48671.3,30861.4,39529.9,783.3,23200.3,74488.6,180850.3
LANL-GrowthRate,51,55160.8,37985.6,52428.4,1014.5,25020.0,77525.1,252039.3
RobertWalraven-ESG,48,59975.2,38118.4,58267.5,1029.2,24978.0,81358.5,299991.3
CovidAnalytics-DELPHI,51,61197.2,40889.0,58963.7,1034.0,26835.0,85335.0,271496.0
