,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,380,195.0,,206.2,,198.0,210.0,,,,,171.9,,194.0,,268.9,,77.7,208.0,,117.8,237.3,,229.0,,,,172.2,,,,182.0,,-185.0,,-173.8,,-182.0,-170.0,,,,,-208.1,,-186.0,,-111.1,,-302.3,-172.0,,-262.2,-142.7,,-151.0,,,,-207.8,,,,-198.0,,,True,,True,True,,,,,False,,False,,True,,False,True,,False,True,,True,,,,False,,,,False,
01003,954,861.0,,864.2,,734.0,1206.0,,,,,719.1,,1110.0,,456.8,,370.7,652.5,,761.7,661.8,,1215.0,,,,653.7,505.0,,,0.0,,-93.0,,-89.8,,-220.0,252.0,,,,,-234.9,,156.0,,-497.2,,-583.3,-301.5,,-192.3,-292.2,,261.0,,,,-300.3,-449.0,,,-954.0,,,True,,False,False,,,,,False,,False,,False,,False,False,,False,False,,False,,,,False,False,,,False,
01005,93,162.0,,151.0,,146.0,180.0,,,,,141.3,,96.0,,155.5,,44.0,,,74.7,146.6,,252.0,,,,,,,,133.0,,69.0,,58.0,,53.0,87.0,,,,,48.3,,3.0,,62.5,,-49.0,,,-18.3,53.6,,159.0,,,,,,,,40.0,,,True,,True,False,,,,,True,,True,,True,,True,,,True,True,,False,,,,,,,,True,
01007,139,159.0,,155.1,,154.0,170.0,,,,,86.9,,96.0,,217.6,,34.6,,,118.1,171.5,,251.0,,,,,,,,214.0,130.8,20.0,,16.1,,15.0,31.0,,,,,-52.1,,-43.0,,78.6,,-104.4,,,-20.9,32.5,,112.0,,,,,,,,75.0,-8.2,,True,,True,False,,,,,False,,False,,False,,False,,,False,False,,False,,,,,,,,False,True
01009,571,354.0,,349.4,,336.0,706.0,,,,,229.1,,277.0,,419.9,,59.4,312.5,,240.3,367.3,,486.0,,,,230.4,,,,239.0,,-217.0,,-221.6,,-235.0,135.0,,,,,-341.9,,-294.0,,-151.1,,-511.6,-258.5,,-330.7,-203.7,,-85.0,,,,-340.6,,,,-332.0,,,False,,False,True,,,,,False,,False,,True,,False,False,,False,True,,True,,,,False,,,,False,
01011,27,42.0,,39.7,,35.0,0.0,,,,,52.9,,40.0,,31.9,,16.5,,,14.2,42.4,,41.0,,,,,,,,0.0,,15.0,,12.7,,8.0,-27.0,,,,,25.9,,13.0,,4.9,,-10.5,,,-12.8,15.4,,14.0,,,,,,,,-27.0,,,True,,True,False,,,,,False,,True,,True,,True,,,True,False,,True,,,,,,,,False,
01013,66,51.0,,56.3,,53.0,0.0,,,,,49.6,,79.0,,94.6,,23.0,,,15.6,69.0,,95.0,,,,,,,,16.0,,-15.0,,-9.7,,-13.0,-66.0,,,,,-16.4,,13.0,,28.6,,-43.0,,,-50.4,3.0,,29.0,,,,,,,,-50.0,,,True,,True,False,,,,,False,,True,,False,,False,,,False,True,,False,,,,,,,,False,
01015,883,1503.0,,1427.1,,857.0,748.0,,,,,2043.4,,592.0,,682.1,,274.4,814.0,,1450.3,892.1,,2079.0,,,,1086.5,,,,0.0,,620.0,,544.1,,-26.0,-135.0,,,,,1160.4,,-291.0,,-200.9,,-608.6,-69.0,,567.3,9.1,,1196.0,,,,203.5,,,,-883.0,,,True,,True,True,,,,,False,,True,,True,,True,True,,True,True,,False,,,,True,,,,False,
01017,209,252.0,,261.1,,193.0,487.0,,,,,109.1,,133.0,,258.7,,45.9,150.0,,110.8,171.1,,308.0,,,,157.3,,,,427.0,,43.0,,52.1,,-16.0,278.0,,,,,-99.9,,-76.0,,49.7,,-163.1,-59.0,,-98.2,-37.9,,99.0,,,,-51.7,,,,218.0,,,False,,True,False,,,,,False,,False,,False,,False,False,,False,True,,False,,,,False,,,,False,
01019,166,60.0,,51.8,,63.0,67.0,,,,,52.3,,140.0,,149.7,,46.7,,,23.9,96.0,,92.0,,,,,,,,66.0,,-106.0,,-114.2,,-103.0,-99.0,,,,,-113.7,,-26.0,,-16.3,,-119.3,,,-142.1,-70.0,,-74.0,,,,,,,,-100.0,,,False,,True,True,,,,,False,,True,,True,,False,,,False,True,,True,,,,,,,,True,
