,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,534,400.0,284.0,,,,,198.0,,278.2,94.0,,270.2,,,325.9,,328.0,-134.0,-250.0,,,,,-336.0,,-255.8,-440.0,,-263.8,,,-208.1,,-206.0,False,,,,,False,,False,False,,False,,,False,,False
01003,1420,710.0,957.0,,,,,889.0,,554.4,927.2,,322.0,,,492.2,,0.0,-710.0,-463.0,,,,,-531.0,,-865.6,-492.8,,-1098.0,,,-927.8,,-1420.0,True,,,,,True,,False,True,,False,,,False,,False
01005,183,105.0,98.0,,,,,87.0,,110.0,57.3,,28.1,,,,,98.0,-78.0,-85.0,,,,,-96.0,,-73.0,-125.7,,-154.9,,,,,-85.0,False,,,,,False,,True,False,,False,,,,,False
01007,244,240.0,129.0,,,,,88.0,,183.0,54.4,,165.3,,,,,403.0,-4.0,-115.0,,,,,-156.0,,-61.0,-189.6,,-78.7,,,,,159.0,False,,,,,False,,False,False,,False,,,,,False
01009,798,245.0,121.0,,,,,307.0,,171.3,117.7,,178.4,,,199.4,,103.0,-553.0,-677.0,,,,,-491.0,,-626.7,-680.3,,-619.6,,,-598.6,,-695.0,False,,,,,True,,False,False,,False,,,False,,False
01011,51,50.0,1.0,,,,,34.0,,37.3,17.2,,11.5,,,,,0.0,-1.0,-50.0,,,,,-17.0,,-13.7,-33.8,,-39.5,,,,,-51.0,False,,,,,False,,False,False,,False,,,,,False
01013,121,140.0,0.0,,,,,69.0,,81.3,23.5,,66.2,,,,,147.0,19.0,-121.0,,,,,-52.0,,-39.7,-97.5,,-54.8,,,,,26.0,False,,,,,False,,False,False,,False,,,,,False
01015,1641,815.0,814.0,,,,,600.0,,647.0,475.5,,414.4,,,744.4,,14.0,-826.0,-827.0,,,,,-1041.0,,-994.0,-1165.5,,-1226.6,,,-896.6,,-1627.0,False,,,,,False,,False,False,,False,,,False,,False
01017,321,190.0,414.0,,,,,100.0,,170.7,81.3,,84.0,,,87.8,,348.0,-131.0,93.0,,,,,-221.0,,-150.3,-239.7,,-237.0,,,-233.2,,27.0,True,,,,,False,,False,False,,False,,,False,,True
01019,241,135.0,139.0,,,,,133.0,,123.0,70.0,,73.0,,,,,98.0,-106.0,-102.0,,,,,-108.0,,-118.0,-171.0,,-168.0,,,,,-143.0,True,,,,,False,,False,False,,False,,,,,False
