,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Hawaii,708,748.0,32.3,726.1,661.0,851.0,,619.2,295.0,629.9,912.4,691.4,,,,639.1,664.2,822.0,624.5,528.3,692.0,903.8,1162.7,821.0,,918.0,504.6,638.9,520.5,724.8,795.7,711.0,808.5,40.0,-675.7,18.1,-47.0,143.0,,-88.8,-413.0,-78.1,204.4,-16.6,,,,-68.9,-43.8,114.0,-83.5,-179.7,-16.0,195.8,454.7,113.0,,210.0,-203.4,-69.1,-187.5,16.8,87.7,3.0,100.5,False,True,False,False,,False,False,False,False,True,,,,False,False,False,False,False,True,False,False,False,,False,False,False,False,True,False,True,False
Idaho,9005,7704.0,6026.4,7922.1,7969.0,7255.0,,6627.5,3318.0,13448.2,8941.6,8082.8,,8576.0,8984.0,7681.7,8248.1,8256.0,7562.0,9817.4,7259.0,8702.5,9172.8,8609.0,,9405.3,7789.4,6607.5,7968.9,9354.8,7901.9,6606.0,8504.2,-1301.0,-2978.6,-1082.9,-1036.0,-1750.0,,-2377.5,-5687.0,4443.2,-63.4,-922.2,,-429.0,-21.0,-1323.3,-756.9,-749.0,-1443.0,812.4,-1746.0,-302.5,167.8,-396.0,,400.3,-1215.6,-2397.5,-1036.1,349.8,-1103.1,-2399.0,-500.8,False,True,True,False,,False,False,False,True,True,,True,True,False,True,True,False,True,False,True,True,True,,True,True,False,True,True,True,False,True
Illinois,85007,61431.0,79339.4,61041.4,61041.0,84373.0,,56146.6,39170.0,68608.0,77764.7,68051.0,,66487.0,56148.0,59324.4,53980.5,53077.0,59109.5,76758.4,79565.5,84615.4,60601.3,70124.0,,80899.2,25130.2,55478.0,47596.1,74224.3,90037.8,61538.0,44383.1,-23576.0,-5667.6,-23965.6,-23966.0,-634.0,,-28860.4,-45837.0,-16399.0,-7242.3,-16956.0,,-18520.0,-28859.0,-25682.6,-31026.5,-31930.0,-25897.5,-8248.6,-5441.5,-391.6,-24405.7,-14883.0,,-4107.8,-59876.8,-29529.0,-37410.9,-10782.7,5030.8,-23469.0,-40623.9,True,False,False,True,,False,False,True,True,True,,True,False,False,False,False,False,True,True,True,False,True,,True,False,False,False,True,True,True,False
Indiana,39165,26364.0,29494.0,26384.4,29405.0,30774.0,,23535.1,41569.0,30620.8,33321.1,28271.2,,28059.0,23201.0,27707.9,29649.9,28247.0,25801.5,31950.4,34245.5,36906.6,33304.4,31084.0,,33946.6,9609.7,25796.3,21573.0,32997.3,35384.6,28947.0,29135.6,-12801.0,-9671.0,-12780.6,-9760.0,-8391.0,,-15629.9,2404.0,-8544.2,-5843.9,-10893.8,,-11106.0,-15964.0,-11457.1,-9515.1,-10918.0,-13363.5,-7214.6,-4919.5,-2258.4,-5860.6,-8081.0,,-5218.4,-29555.3,-13368.7,-17592.0,-6167.7,-3780.4,-10218.0,-10029.4,True,True,True,True,,False,True,True,True,True,,True,False,True,True,True,False,True,True,True,True,True,,True,False,False,False,True,True,True,True
Iowa,33301,21744.0,25636.0,21588.0,22292.0,22847.0,,18859.7,12943.0,19390.8,27090.5,21708.9,,23626.0,20442.0,21399.6,26452.3,22636.0,19407.0,28349.1,30108.5,31951.9,27628.3,25048.0,,34236.4,12577.2,19272.4,14190.0,25435.7,31145.6,26513.0,23890.6,-11557.0,-7665.0,-11713.0,-11009.0,-10454.0,,-14441.3,-20358.0,-13910.2,-6210.5,-11592.1,,-9675.0,-12859.0,-11901.4,-6848.7,-10665.0,-13894.0,-4951.9,-3192.5,-1349.1,-5672.7,-8253.0,,935.4,-20723.8,-14028.6,-19111.0,-7865.3,-2155.4,-6788.0,-9410.4,True,False,True,True,,False,False,False,True,False,,True,False,False,True,True,False,True,True,True,True,True,,True,False,False,False,True,True,True,True
Kansas,17751,11932.0,12408.7,11805.5,11806.0,10956.0,,9999.4,8679.0,10375.6,14640.4,7622.4,,11932.0,10534.0,10342.0,13349.6,13153.0,10285.0,14585.8,15189.0,13738.8,13821.0,13085.0,,16850.5,5639.4,10664.0,8227.8,15387.1,17070.9,11196.0,11904.1,-5819.0,-5342.3,-5945.5,-5945.0,-6795.0,,-7751.6,-9072.0,-7375.4,-3110.6,-10128.6,,-5819.0,-7217.0,-7409.0,-4401.4,-4598.0,-7466.0,-3165.2,-2562.0,-4012.2,-3930.0,-4666.0,,-900.5,-12111.6,-7087.0,-9523.2,-2363.9,-680.1,-6555.0,-5846.9,True,False,False,False,,False,False,False,True,False,,False,False,False,True,True,False,True,True,True,True,True,,True,False,False,False,True,True,False,False
Kentucky,16476,12442.0,11944.8,12293.4,13186.0,13186.0,,11930.0,7479.0,22353.6,13941.9,14273.8,,13632.0,13091.0,14676.1,14913.1,13330.0,13231.0,13863.2,14590.5,13415.9,13786.7,15480.0,,14631.1,5734.5,12433.3,13256.6,15884.0,15026.5,13063.0,14166.9,-4034.0,-4531.2,-4182.6,-3290.0,-3290.0,,-4546.0,-8997.0,5877.6,-2534.1,-2202.2,,-2844.0,-3385.0,-1799.9,-1562.9,-3146.0,-3245.0,-2612.8,-1885.5,-3060.1,-2689.3,-996.0,,-1844.9,-10741.5,-4042.7,-3219.4,-592.0,-1449.5,-3413.0,-2309.1,False,False,True,True,,False,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,False,True,True,True,True,True
Louisiana,10266,4425.0,4264.0,4394.0,4251.0,4242.0,,4005.6,1380.0,7452.6,4644.1,3700.0,,3450.0,4542.0,4051.7,4161.2,4677.0,4615.5,3989.5,4077.0,5058.5,5652.9,4073.0,,3711.3,1668.1,4377.7,4218.0,6358.2,4856.4,3712.0,4595.9,-5841.0,-6002.0,-5872.0,-6015.0,-6024.0,,-6260.4,-8886.0,-2813.4,-5621.9,-6566.0,,-6816.0,-5724.0,-6214.3,-6104.8,-5589.0,-5650.5,-6276.5,-6189.0,-5207.5,-4613.1,-6193.0,,-6554.7,-8597.9,-5888.3,-6048.0,-3907.8,-5409.6,-6554.0,-5670.1,False,False,False,False,,False,False,True,True,False,,False,True,False,False,True,True,False,False,True,True,False,,False,False,False,False,True,True,False,True
Maine,1191,938.0,3112.0,953.4,953.0,1335.0,,636.5,701.0,595.8,1372.3,912.0,,874.0,1061.0,888.2,1069.5,1021.0,749.0,1793.0,1296.0,1156.5,1277.6,1061.0,,1465.8,379.5,866.7,512.7,1151.5,1548.3,1201.0,861.6,-253.0,1921.0,-237.6,-238.0,144.0,,-554.5,-490.0,-595.2,181.3,-279.0,,-317.0,-130.0,-302.8,-121.5,-170.0,-442.0,602.0,105.0,-34.5,86.6,-130.0,,274.8,-811.5,-324.3,-678.3,-39.5,357.3,10.0,-329.4,False,True,True,True,,False,False,False,True,False,,False,True,False,True,True,False,False,True,True,True,True,,False,False,False,False,True,False,True,False
Maryland,11175,7634.0,7373.5,7699.1,7354.0,9031.0,,6833.9,3450.0,8151.1,9547.6,8134.5,,7883.0,7092.0,6953.8,6249.4,8441.0,6603.5,7573.8,8546.0,9833.0,9291.4,9138.0,,10799.4,2589.0,7099.2,6627.6,9674.8,7395.2,8008.0,8387.3,-3541.0,-3801.5,-3475.9,-3821.0,-2144.0,,-4341.1,-7725.0,-3023.9,-1627.4,-3040.5,,-3292.0,-4083.0,-4221.2,-4925.6,-2734.0,-4571.5,-3601.2,-2629.0,-1342.0,-1883.6,-2037.0,,-375.6,-8586.0,-4075.8,-4547.4,-1500.2,-3779.8,-3167.0,-2787.7,False,True,False,True,,False,False,True,True,True,,True,False,False,False,True,False,False,True,True,True,True,,True,False,False,False,True,False,True,True
