,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Massachusetts,16566,11000.0,10185.8,11028.9,11542.0,11576.0,,9866.6,6150.0,15286.2,14533.7,9538.3,,10391.0,11714.0,10881.2,8574.2,11922.0,10068.5,13424.9,15500.0,15421.8,14264.5,13664.0,,15141.1,11326.6,10107.8,10653.1,12855.4,7782.6,11319.0,12001.5,-5566.0,-6380.2,-5537.1,-5024.0,-4990.0,,-6699.4,-10416.0,-1279.8,-2032.3,-7027.7,,-6175.0,-4852.0,-5684.8,-7991.8,-4644.0,-6497.5,-3141.1,-1066.0,-1144.2,-2301.5,-2902.0,,-1424.9,-5239.4,-6458.2,-5912.9,-3710.6,-8783.4,-5247.0,-4564.5,False,True,True,True,,False,False,True,True,False,,False,True,False,False,True,False,True,True,True,True,True,,True,True,False,False,True,False,True,True
Michigan,46719,31667.0,36927.3,31786.2,32899.0,36799.0,,29506.3,40281.0,24139.6,36740.1,35444.9,,33453.0,32516.0,32898.8,33070.6,31964.0,29390.0,41821.9,38167.5,33727.7,31564.5,37008.0,,48741.0,12105.6,30033.6,24480.5,38097.6,42763.4,34663.0,35788.2,-15052.0,-9791.7,-14932.8,-13820.0,-9920.0,,-17212.7,-6438.0,-22579.4,-9978.9,-11274.1,,-13266.0,-14203.0,-13820.2,-13648.4,-14755.0,-17329.0,-4897.1,-8551.5,-12991.3,-15154.5,-9711.0,,2022.0,-34613.4,-16685.4,-22238.5,-8621.4,-3955.6,-12056.0,-10930.8,True,True,True,True,,False,True,False,True,True,,True,True,True,True,True,False,True,True,True,False,True,,True,False,False,False,True,True,True,True
Minnesota,41074,26482.0,35810.4,26253.2,27283.0,33013.0,,22602.4,20303.0,27384.8,31719.2,26418.9,,28334.0,27283.0,24886.3,30299.0,28864.0,24325.0,28725.9,41862.0,42860.5,35117.1,30327.0,,38142.1,10472.6,23147.1,18107.4,30062.0,41514.0,26082.0,28413.4,-14592.0,-5263.6,-14820.8,-13791.0,-8061.0,,-18471.6,-20771.0,-13689.2,-9354.8,-14655.1,,-12740.0,-13791.0,-16187.7,-10775.0,-12210.0,-16749.0,-12348.1,788.0,1786.5,-5956.9,-10747.0,,-2931.9,-30601.4,-17926.9,-22966.6,-11012.0,440.0,-14992.0,-12660.6,True,False,True,True,,False,False,True,True,False,,True,True,False,True,True,False,True,True,True,True,True,,True,False,False,False,True,True,False,True
Mississippi,7455,5725.0,5956.2,5658.3,5725.0,5218.0,,5057.9,2540.0,6401.6,6275.6,6101.1,,6100.0,5796.0,5436.2,5536.6,6140.0,5399.5,6505.6,5189.0,7114.3,7379.9,6574.0,,7899.8,4552.6,5549.8,6668.6,7088.9,5713.6,5614.0,6874.7,-1730.0,-1498.8,-1796.7,-1730.0,-2237.0,,-2397.1,-4915.0,-1053.4,-1179.4,-1353.9,,-1355.0,-1659.0,-2018.8,-1918.4,-1315.0,-2055.5,-949.4,-2266.0,-340.7,-75.1,-881.0,,444.8,-2902.4,-1905.2,-786.4,-366.1,-1741.4,-1841.0,-580.3,True,False,False,False,,False,False,True,True,True,,True,True,False,False,True,False,True,False,True,True,True,,True,False,False,True,True,False,False,True
Missouri,34821,22949.0,17097.6,22155.6,22949.0,24257.0,,20692.4,11346.0,25876.2,27494.2,25276.6,,25376.0,24277.0,21233.6,23063.2,23839.0,21096.0,22784.3,30140.5,32197.7,28291.2,27122.0,,28141.8,17981.8,20861.7,18123.7,27001.2,20399.4,19962.0,25367.2,-11872.0,-17723.4,-12665.4,-11872.0,-10564.0,,-14128.6,-23475.0,-8944.8,-7326.8,-9544.4,,-9445.0,-10544.0,-13587.4,-11757.8,-10982.0,-13725.0,-12036.7,-4680.5,-2623.3,-6529.8,-7699.0,,-6679.2,-16839.2,-13959.3,-16697.3,-7819.8,-14421.6,-14859.0,-9453.8,False,False,False,True,,False,False,True,True,True,,True,True,False,True,True,False,False,True,True,True,True,,True,False,False,False,True,False,False,True
Montana,6938,6147.0,5312.5,6208.0,6547.0,5117.0,,6071.8,4976.0,9219.9,6885.0,6371.9,,6289.0,5766.0,7649.5,9144.1,6844.0,7107.5,7509.2,6265.0,6547.0,7443.0,7106.0,,7143.9,10031.9,4987.7,7258.1,7502.1,7094.0,5627.0,7073.3,-791.0,-1625.5,-730.0,-391.0,-1821.0,,-866.2,-1962.0,2281.9,-53.0,-566.1,,-649.0,-1172.0,711.5,2206.1,-94.0,169.5,571.2,-673.0,-391.0,505.0,168.0,,205.9,3093.9,-1950.3,320.1,564.1,156.0,-1311.0,135.3,False,True,True,False,,False,False,False,True,True,,True,False,True,False,True,True,True,True,True,True,True,,True,False,False,True,True,True,False,True
Nebraska,14439,11663.0,8084.0,12031.0,11897.0,11897.0,,10017.8,10023.0,12496.1,14909.0,11027.8,,12332.0,13574.0,11233.8,13681.9,12717.0,10930.0,14369.9,14307.0,15682.4,14842.3,13218.0,,15522.6,10673.9,11934.6,9039.8,14479.6,14591.1,9928.0,11096.0,-2776.0,-6355.0,-2408.0,-2542.0,-2542.0,,-4421.2,-4416.0,-1942.9,470.0,-3411.2,,-2107.0,-865.0,-3205.2,-757.1,-1722.0,-3509.0,-69.1,-132.0,1243.4,403.3,-1221.0,,1083.6,-3765.1,-2504.4,-5399.2,40.6,152.1,-4511.0,-3343.0,False,True,True,True,,False,False,True,True,False,,True,True,False,True,True,False,True,True,True,True,True,,True,False,True,False,True,True,False,False
Nevada,10260,7985.0,13273.4,8191.9,8131.0,8331.0,,6836.4,2104.0,8704.7,9400.7,9254.6,,8467.0,8019.0,7542.9,6311.6,9473.0,7411.0,8617.7,9283.5,10909.2,10628.7,8782.0,,10725.0,1941.3,6784.3,7480.2,9219.5,8804.2,8217.0,8604.0,-2275.0,3013.4,-2068.1,-2129.0,-1929.0,,-3423.6,-8156.0,-1555.3,-859.3,-1005.4,,-1793.0,-2241.0,-2717.1,-3948.4,-787.0,-2849.0,-1642.3,-976.5,649.2,368.7,-1478.0,,465.0,-8318.7,-3475.7,-2779.8,-1040.5,-1455.8,-2043.0,-1656.0,False,True,True,True,,False,False,True,True,True,,True,True,False,False,True,False,True,True,True,True,True,,True,False,False,False,True,True,True,True
New Hampshire,2080,1157.0,1083.7,1175.9,1176.0,1374.0,,1039.6,904.0,1430.3,1492.5,1367.4,,1179.0,1444.0,1146.3,1669.1,1201.0,1053.5,1389.5,1372.0,1741.4,1688.1,1384.0,,1654.9,1333.8,1187.1,1047.5,1551.8,1227.2,1320.0,1205.3,-923.0,-996.3,-904.1,-904.0,-706.0,,-1040.4,-1176.0,-649.7,-587.5,-712.6,,-901.0,-636.0,-933.7,-410.9,-879.0,-1026.5,-690.5,-708.0,-338.6,-391.9,-696.0,,-425.1,-746.2,-892.9,-1032.5,-528.2,-852.8,-760.0,-874.7,False,True,True,True,,False,False,True,True,True,,True,True,False,True,True,False,True,True,True,True,True,,True,True,True,False,True,True,True,True
New Jersey,22154,14696.0,12518.3,14774.2,14696.0,16901.0,,12894.5,14257.0,19813.5,17489.6,18266.7,,9619.0,12530.0,14342.4,11103.6,16226.0,13252.5,17088.8,18136.5,19431.3,17314.7,17519.0,,18452.5,10202.9,14234.1,12761.5,18465.4,8786.4,14728.0,17385.6,-7458.0,-9635.7,-7379.8,-7458.0,-5253.0,,-9259.5,-7897.0,-2340.5,-4664.4,-3887.3,,-12535.0,-9624.0,-7811.6,-11050.4,-5928.0,-8901.5,-5065.2,-4017.5,-2722.7,-4839.3,-4635.0,,-3701.5,-11951.1,-7919.9,-9392.5,-3688.6,-13367.6,-7426.0,-4768.4,False,True,False,True,,False,False,True,True,True,,False,False,False,False,True,False,True,True,True,True,True,,True,False,False,False,True,False,True,True
New Mexico,9500,7181.0,8186.5,7214.4,7748.0,6856.0,,6297.3,2046.0,9267.0,8428.5,8752.4,,7429.0,7445.0,7747.8,7790.1,7742.0,7342.5,10106.4,8930.0,9144.2,9263.1,8467.0,,8704.5,21249.6,6774.4,6969.1,7875.0,7778.4,6712.0,8290.4,-2319.0,-1313.5,-2285.6,-1752.0,-2644.0,,-3202.7,-7454.0,-233.0,-1071.5,-747.6,,-2071.0,-2055.0,-1752.2,-1709.9,-1758.0,-2157.5,606.4,-570.0,-355.8,-236.9,-1033.0,,-795.5,11749.6,-2725.6,-2530.9,-1625.0,-1721.6,-2788.0,-1209.6,True,True,True,False,,False,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,False,False,True,True,False,True
New York,30943,18065.0,27213.0,17853.8,18661.0,20953.0,,18660.9,10883.0,25919.0,21252.5,22418.0,,12536.0,19205.0,16309.2,14756.1,19066.0,16529.0,19903.4,22387.5,26375.6,23703.2,21415.0,,24664.4,17090.6,16442.9,16886.4,23410.5,10640.9,18787.0,19711.9,-12878.0,-3730.0,-13089.2,-12282.0,-9990.0,,-12282.1,-20060.0,-5024.0,-9690.5,-8525.0,,-18407.0,-11738.0,-14633.8,-16186.9,-11877.0,-14414.0,-11039.6,-8555.5,-4567.4,-7239.8,-9528.0,,-6278.6,-13852.4,-14500.1,-14056.6,-7532.5,-20302.1,-12156.0,-11231.1,True,False,True,True,,True,False,True,True,True,,False,True,False,False,True,False,True,True,True,True,True,,True,False,False,False,True,False,True,True
North Carolina,17873,16610.0,17901.2,16501.9,17792.0,16807.0,,16464.7,10510.0,19316.0,17346.0,17480.2,,17556.0,15194.0,18361.9,17695.6,18083.0,17295.0,20027.1,17467.0,18455.3,18794.5,19724.0,,22113.7,11874.9,16850.4,20207.8,19904.8,16155.9,17199.0,20733.4,-1263.0,28.2,-1371.1,-81.0,-1066.0,,-1408.3,-7363.0,1443.0,-527.0,-392.8,,-317.0,-2679.0,488.9,-177.4,210.0,-578.0,2154.1,-406.0,582.3,921.5,1851.0,,4240.7,-5998.1,-1022.6,2334.8,2031.8,-1717.1,-674.0,2860.4,True,False,True,True,,False,False,False,True,True,,True,False,True,True,True,True,False,True,True,True,False,,False,False,True,False,False,False,True,False
North Dakota,9668,9288.0,12184.7,9413.3,9625.0,8004.0,,8599.7,9178.0,9954.0,11325.5,9261.4,,9953.0,8761.0,10801.1,13850.8,10349.0,10105.5,11050.6,10031.5,10508.6,10287.1,10914.0,,11828.3,8031.0,9006.5,8487.1,10197.2,11349.1,9766.0,9504.1,-380.0,2516.7,-254.7,-43.0,-1664.0,,-1068.3,-490.0,286.0,1657.5,-406.6,,285.0,-907.0,1133.1,4182.8,681.0,437.5,1382.6,363.5,840.6,619.1,1246.0,,2160.3,-1637.0,-661.5,-1180.9,529.2,1681.1,98.0,-163.9,False,True,True,False,,False,False,True,False,False,,True,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,True,True
Ohio,44516,30030.0,40357.9,30351.5,30351.0,35837.0,,26017.1,10277.0,30164.4,35191.0,33758.0,,30425.0,29814.0,27603.0,28657.5,32848.0,27938.0,38817.4,38266.5,41039.5,36844.4,35069.0,,37673.9,8916.0,25743.7,22339.4,37705.7,43294.1,30597.0,31986.4,-14486.0,-4158.1,-14164.5,-14165.0,-8679.0,,-18498.9,-34239.0,-14351.6,-9325.0,-10758.0,,-14091.0,-14702.0,-16913.0,-15858.5,-11668.0,-16578.0,-5698.6,-6249.5,-3476.5,-7671.6,-9447.0,,-6842.1,-35600.0,-18772.3,-22176.6,-6810.3,-1221.9,-13919.0,-12529.6,True,True,True,True,,False,False,True,True,True,,True,False,False,False,True,False,True,True,True,True,True,,True,False,False,False,True,True,True,True
Oklahoma,18454,8989.0,10480.3,9293.6,9780.0,8787.0,,8857.1,7831.0,15992.2,13293.6,7561.8,,8743.0,11010.0,10314.9,10892.8,10339.0,10787.0,9707.7,14451.0,17016.9,15075.6,8975.0,,8340.6,8503.8,8194.2,9779.9,11672.3,8503.7,8790.0,8923.1,-9465.0,-7973.7,-9160.4,-8674.0,-9667.0,,-9596.9,-10623.0,-2461.8,-5160.4,-10892.2,,-9711.0,-7444.0,-8139.1,-7561.2,-8115.0,-7667.0,-8746.3,-4003.0,-1437.1,-3378.4,-9479.0,,-10113.4,-9950.2,-10259.8,-8674.1,-6781.7,-9950.3,-9664.0,-9530.9,True,True,True,False,,False,False,True,True,False,,False,True,True,True,True,True,True,True,True,True,False,,False,False,False,True,True,False,False,False
Oregon,6431,4666.0,5280.6,4605.3,4666.0,5220.0,,4092.7,2051.0,4633.9,5666.4,5476.6,,4865.0,5034.0,4420.9,4982.2,5102.0,4055.5,4076.6,5639.5,6806.8,6010.4,5480.0,,7099.6,3806.4,4022.1,3830.3,6301.1,4938.8,5025.0,4990.5,-1765.0,-1150.4,-1825.7,-1765.0,-1211.0,,-2338.3,-4380.0,-1797.1,-764.6,-954.4,,-1566.0,-1397.0,-2010.1,-1448.8,-1329.0,-2375.5,-2354.4,-791.5,375.8,-420.6,-951.0,,668.6,-2624.6,-2408.9,-2600.7,-129.9,-1492.2,-1406.0,-1440.5,True,False,False,True,,False,False,False,True,True,,True,True,False,True,True,False,False,True,True,True,True,,True,False,False,False,True,True,True,True
Pennsylvania,31729,19702.0,22859.4,19589.7,19869.0,22544.0,,18130.9,11790.0,24347.7,23563.6,21131.0,,19291.0,19869.0,19737.8,18794.9,21508.0,18403.5,22521.1,24850.5,24634.0,24939.0,23450.0,,23257.6,11022.0,18688.0,17903.6,25014.6,25221.7,19900.0,24961.4,-12027.0,-8869.6,-12139.3,-11860.0,-9185.0,,-13598.1,-19939.0,-7381.3,-8165.4,-10598.0,,-12438.0,-11860.0,-11991.2,-12934.1,-10221.0,-13325.5,-9207.9,-6878.5,-7095.0,-6790.0,-8279.0,,-8471.4,-20707.0,-13041.0,-13825.4,-6714.4,-6507.3,-11829.0,-6767.6,True,False,True,True,,False,False,True,True,True,,False,True,True,False,True,False,True,True,True,True,True,,True,False,False,False,True,True,True,True
Rhode Island,5149,3506.0,3370.0,3556.3,3556.0,2814.0,,3370.9,2776.0,6677.3,3876.6,3052.4,,2957.0,4377.0,3761.2,3239.3,3845.0,2950.0,4799.5,8160.0,3510.8,4686.6,2729.0,,3707.4,5220.8,3167.7,3584.4,2915.5,3434.3,2828.0,4451.3,-1643.0,-1779.0,-1592.7,-1593.0,-2335.0,,-1778.1,-2373.0,1528.3,-1272.4,-2096.6,,-2192.0,-772.0,-1387.8,-1909.7,-1304.0,-2199.0,-349.5,3011.0,-1638.2,-462.4,-2420.0,,-1441.6,71.8,-1981.3,-1564.6,-2233.5,-1714.7,-2321.0,-697.7,False,True,True,False,,False,False,True,True,False,,False,True,True,False,True,False,True,False,True,True,False,,True,True,False,True,False,False,False,True
South Carolina,9272,8130.0,4959.6,8235.2,8030.0,8030.0,,7421.0,3664.0,8309.5,8057.4,10841.5,,8338.0,8466.0,7847.7,7166.4,8254.0,7552.0,6662.7,7004.5,8784.5,9096.2,9002.0,,9302.7,5877.8,6876.5,8088.6,10077.6,7933.9,8016.0,8817.4,-1142.0,-4312.4,-1036.8,-1242.0,-1242.0,,-1851.0,-5608.0,-962.5,-1214.6,1569.5,,-934.0,-806.0,-1424.3,-2105.6,-1018.0,-1720.0,-2609.3,-2267.5,-487.5,-175.8,-270.0,,30.7,-3394.2,-2395.5,-1183.4,805.6,-1338.1,-1256.0,-454.6,False,True,False,False,,False,False,True,False,False,,True,True,False,False,True,False,False,False,True,True,True,,True,False,False,False,True,False,False,True
South Dakota,10206,7984.0,11119.4,7901.0,9125.0,7146.0,,8183.6,7360.0,9399.5,7794.9,7593.7,,9264.0,9553.0,9929.4,10877.4,8542.0,9276.5,10714.6,8632.0,9547.1,10017.4,10127.0,,9436.8,7649.0,7321.6,9438.2,8873.2,10446.6,3439.0,8445.5,-2222.0,913.4,-2305.0,-1081.0,-3060.0,,-2022.4,-2846.0,-806.5,-2411.1,-2612.3,,-942.0,-653.0,-276.6,671.4,-1664.0,-929.5,508.6,-1574.0,-658.9,-188.6,-79.0,,-769.2,-2557.0,-2884.4,-767.8,-1332.8,240.6,-6767.0,-1760.5,True,False,True,False,,True,False,True,False,False,,True,True,True,True,True,True,True,True,True,True,True,,True,False,False,True,True,True,False,True
Tennessee,26905,17543.0,13773.0,17128.1,17543.0,15201.0,,15503.8,10025.0,26143.0,20949.2,22989.4,,19062.0,20823.0,19117.0,16788.6,17845.0,17055.0,22092.4,18748.5,24014.8,22705.7,18691.0,,20831.7,5147.8,17285.9,20878.9,20365.9,17149.7,14731.0,21072.5,-9362.0,-13132.0,-9776.9,-9362.0,-11704.0,,-11401.2,-16880.0,-762.0,-5955.8,-3915.6,,-7843.0,-6082.0,-7788.0,-10116.4,-9060.0,-9850.0,-4812.6,-8156.5,-2890.2,-4199.3,-8214.0,,-6073.3,-21757.2,-9619.1,-6026.1,-6539.1,-9755.3,-12174.0,-5832.5,False,False,False,False,,False,False,True,True,True,,True,True,True,False,True,False,True,True,True,True,True,,True,False,False,True,True,False,False,True
Texas,68433,52800.0,66286.9,52371.0,54801.0,57017.0,,49629.2,18800.0,57255.9,69906.6,61368.8,,53805.0,52616.0,54800.5,63815.7,57882.0,46937.0,57989.1,55664.5,58220.7,51306.2,59015.0,,62808.8,40446.0,45307.7,51427.5,67199.8,52681.3,55176.0,44367.9,-15633.0,-2146.1,-16062.0,-13632.0,-11416.0,,-18803.8,-49633.0,-11177.1,1473.6,-7064.2,,-14628.0,-15817.0,-13632.5,-4617.3,-10551.0,-21496.0,-10443.9,-12768.5,-10212.3,-17126.8,-9418.0,,-5624.2,-27987.0,-23125.3,-17005.5,-1233.2,-15751.7,-13257.0,-24065.1,True,False,True,True,,False,False,True,True,True,,True,False,True,True,True,False,True,True,True,False,True,,True,False,False,False,True,False,True,False
Utah,20906,15579.0,14648.7,15401.9,15579.0,14200.0,,13764.0,3904.0,17850.9,19299.5,13885.6,,17420.0,16282.0,15014.7,10561.3,16523.0,14752.0,18400.2,17969.0,20072.7,17886.9,16025.0,,19601.2,14461.7,16085.2,14279.8,14785.0,20252.6,14616.0,18089.4,-5327.0,-6257.3,-5504.1,-5327.0,-6706.0,,-7142.0,-17002.0,-3055.1,-1606.5,-7020.4,,-3486.0,-4624.0,-5891.3,-10344.7,-4383.0,-6154.0,-2505.8,-2937.0,-833.3,-3019.1,-4881.0,,-1304.8,-6444.3,-4820.8,-6626.2,-6121.0,-653.4,-6290.0,-2816.6,False,False,False,False,,False,False,True,True,False,,True,True,False,False,True,False,True,True,True,True,True,,True,False,True,False,False,True,False,True
Vermont,496,168.0,622.4,165.7,174.0,207.0,,19.5,137.0,212.0,274.5,241.2,,81.0,165.0,184.3,390.1,222.0,168.0,225.6,250.0,255.0,389.5,204.0,,199.8,186.0,158.4,169.5,360.3,126.0,175.0,111.6,-328.0,126.4,-330.3,-322.0,-289.0,,-476.5,-359.0,-284.0,-221.5,-254.8,,-415.0,-331.0,-311.7,-105.9,-274.0,-328.0,-270.4,-246.0,-241.0,-106.5,-292.0,,-296.2,-310.0,-337.6,-326.5,-135.7,-370.0,-321.0,-384.4,True,False,True,True,,False,False,True,True,True,,False,False,True,True,True,False,True,True,True,True,True,,True,True,False,True,True,False,True,False
Virginia,9926,9683.0,3050.4,9657.6,9965.0,10109.0,,9341.1,5576.0,11331.4,10133.1,11464.0,,10278.0,9965.0,10026.4,10686.8,10242.0,9462.5,9815.4,10424.5,12099.7,11263.0,11624.0,,11964.0,4809.8,8997.5,9604.9,12171.6,8962.5,10294.0,10599.0,-243.0,-6875.6,-268.4,39.0,183.0,,-584.9,-4350.0,1405.4,207.1,1538.0,,352.0,39.0,100.4,760.8,316.0,-463.5,-110.6,498.5,2173.7,1337.0,1698.0,,2038.0,-5116.2,-928.5,-321.1,2245.6,-963.5,368.0,673.0,False,False,True,True,,False,False,False,True,False,,False,True,True,False,False,False,True,False,False,False,False,,False,False,False,False,False,False,False,False
Washington,11720,8510.0,8787.3,8541.4,8510.0,10468.0,,7557.0,3064.0,8831.1,10233.6,9504.8,,8682.0,8336.0,6466.3,7401.8,9103.0,7554.5,7234.1,8830.0,11551.5,10826.8,9369.0,,12645.6,6544.5,8112.6,6491.1,11108.1,7530.3,9334.0,9040.4,-3210.0,-2932.7,-3178.6,-3210.0,-1252.0,,-4163.0,-8656.0,-2888.9,-1486.4,-2215.2,,-3038.0,-3384.0,-5253.7,-4318.2,-2617.0,-4165.5,-4485.9,-2890.0,-168.5,-893.2,-2351.0,,925.6,-5175.5,-3607.4,-5228.9,-611.9,-4189.7,-2386.0,-2679.6,True,True,False,True,,False,False,True,True,True,,True,False,False,False,True,False,False,True,True,True,True,,True,False,False,False,True,False,True,True
West Virginia,5183,3149.0,4161.3,3169.1,3711.0,3802.0,,3079.8,2178.0,3921.1,3532.3,3674.5,,3278.0,3518.0,3711.2,4923.6,3219.0,3343.0,3823.2,4443.0,4969.4,,3842.0,,3935.2,2723.4,2683.1,3074.6,4221.7,3545.7,3112.0,4379.1,-2034.0,-1021.7,-2013.9,-1472.0,-1381.0,,-2103.2,-3005.0,-1261.9,-1650.7,-1508.5,,-1905.0,-1665.0,-1471.8,-259.4,-1964.0,-1840.0,-1359.8,-740.0,-213.6,,-1341.0,,-1247.8,-2459.6,-2499.9,-2108.4,-961.3,-1637.3,-2071.0,-803.9,True,True,True,True,,False,False,True,True,True,,True,True,True,True,True,True,True,True,True,,True,,True,False,False,False,True,True,False,True
Wisconsin,46101,37761.0,38959.1,37879.9,39993.0,39348.0,,34591.0,16287.0,52899.9,43139.7,40771.5,,41586.0,40462.0,43564.3,48234.0,41866.0,40355.5,39227.9,36230.0,44746.2,,43883.0,,48604.9,43196.7,40569.0,38110.3,40878.6,42845.4,33717.0,42045.0,-8340.0,-7141.9,-8221.1,-6108.0,-6753.0,,-11510.0,-29814.0,6798.9,-2961.3,-5329.5,,-4515.0,-5639.0,-2536.7,2133.0,-4235.0,-5745.5,-6873.1,-9871.0,-1354.8,,-2218.0,,2503.9,-2904.3,-5532.0,-7990.7,-5222.4,-3255.6,-12384.0,-4056.0,True,True,True,True,,False,False,True,True,True,,True,True,True,True,True,True,True,False,True,,True,,True,True,True,True,True,True,False,True
Wyoming,5284,3299.0,3008.1,3308.5,3482.0,2631.0,,3005.2,2410.0,4176.9,3225.5,3398.6,,3649.0,3411.0,3732.4,4862.5,3720.0,3459.0,4168.1,4482.5,4334.1,,3860.0,,4180.4,4375.4,3444.5,3077.3,3968.2,4449.5,2876.0,4157.2,-1985.0,-2275.9,-1975.5,-1802.0,-2653.0,,-2278.8,-2874.0,-1107.1,-2058.5,-1885.4,,-1635.0,-1873.0,-1551.6,-421.5,-1564.0,-1825.0,-1115.9,-801.5,-949.9,,-1424.0,,-1103.6,-908.6,-1839.5,-2206.7,-1315.8,-834.5,-2408.0,-1126.8,False,True,True,False,,False,False,True,False,True,,True,True,True,True,True,True,True,True,True,,True,,True,True,True,False,True,True,False,True
US,1018039,727154.0,830429.4,721496.7,790658.0,794385.0,932927.0,708643.4,459081.0,840275.1,873938.9,,800134.0,738682.0,667682.0,735474.7,750213.7,761702.0,,846399.1,886485.0,937018.1,813031.2,830854.0,741337.0,925967.6,496441.5,786931.6,,881712.0,962406.3,728094.5,775171.7,-290885.0,-187609.6,-296542.3,-227381.0,-223654.0,-85112.0,-309395.6,-558958.0,-177763.9,-144100.1,,-217905.0,-279357.0,-350357.0,-282564.3,-267825.3,-256337.0,,-171639.9,-131554.0,-81020.9,-205007.8,-187185.0,-276702.0,-92071.4,-521597.5,-231107.4,,-136327.0,-55632.7,-289944.5,-242867.3,True,False,True,True,True,False,False,True,True,,True,True,False,True,True,True,,True,True,True,True,True,True,True,False,True,,True,True,True,True
