,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,64878,51989.0,,34561.7,12694.0,,59408.0,31102.1,26892.4,,31416.2,5935.1,28182.0,-12889.0,,-30316.3,-52184.0,,-5470.0,-33775.9,-37985.6,,-33461.8,-58942.9,-36696.0,,False,False,,True,False,False,,False,False,False
Alaska,14765,4466.0,,5025.3,3118.0,,,6058.2,3342.2,2926.1,2434.2,8712.6,4195.0,-10299.0,,-9739.7,-11647.0,,,-8706.8,-11422.8,-11838.9,-12330.8,-6052.4,-10570.0,,True,False,,,True,False,False,False,True,False
Arizona,56227,22925.0,,22466.1,3507.0,,19529.0,30021.2,9490.0,6019.6,16015.0,15296.0,6596.0,-33302.0,,-33760.9,-52720.0,,-36698.0,-26205.8,-46737.0,-50207.4,-40212.0,-40931.0,-49631.0,,False,False,,False,True,False,False,False,False,False
Arkansas,51411,39165.0,,36953.3,22088.0,,40777.0,59382.2,19924.9,12743.0,24724.9,22288.4,24469.0,-12246.0,,-14457.7,-29323.0,,-10634.0,7971.2,-31486.1,-38668.0,-26686.1,-29122.6,-26942.0,,False,False,,True,True,False,False,False,False,False
California,215616,168966.0,,120885.2,81184.0,,145644.0,133373.5,75068.0,64767.6,109946.0,124404.0,127456.0,-46650.0,,-94730.8,-134432.0,,-69972.0,-82242.5,-140548.0,-150848.4,-105670.0,-91212.0,-88160.0,,False,False,,False,False,False,False,False,False,False
Colorado,90724,29071.0,,28171.2,835.0,,32496.0,64104.1,16254.5,10773.3,17042.6,41740.5,51027.0,-61653.0,,-62552.8,-89889.0,,-58228.0,-26619.9,-74469.5,-79950.7,-73681.4,-48983.5,-39697.0,,False,False,,True,True,False,False,False,True,True
Connecticut,32058,7420.0,,6276.5,8.0,,5699.0,7280.1,1957.7,338.1,5980.8,3762.1,2941.0,-24638.0,,-25781.5,-32050.0,,-26359.0,-24777.9,-30100.3,-31719.9,-26077.2,-28295.9,-29117.0,,False,False,,False,False,False,False,False,False,False
Delaware,8239,4949.0,,4935.6,5.0,,3481.0,9523.2,2473.1,2293.4,3058.2,3745.1,2740.0,-3290.0,,-3303.4,-8234.0,,-4758.0,1284.2,-5765.9,-5945.6,-5180.8,-4493.9,-5499.0,,False,False,,False,True,False,False,False,False,False
District of Columbia,3599,2191.0,,1462.9,58.0,,1338.0,2765.7,1100.7,289.3,1540.4,1677.1,1904.0,-1408.0,,-2136.1,-3541.0,,-2261.0,-833.3,-2498.3,-3309.7,-2058.6,-1921.9,-1695.0,,False,False,,False,True,False,False,False,False,False
Florida,176414,122143.0,,89209.9,25886.0,,96785.0,119834.6,58265.8,36860.9,76972.8,71440.7,81153.0,-54271.0,,-87204.1,-150528.0,,-79629.0,-56579.4,-118148.2,-139553.1,-99441.2,-104973.3,-95261.0,,False,False,,False,False,False,False,False,False,False
Georgia,109032,61964.0,,47146.5,36608.0,,65652.0,47377.2,23721.7,27771.5,33736.3,34163.8,35148.0,-47068.0,,-61885.5,-72424.0,,-43380.0,-61654.8,-85310.3,-81260.5,-75295.7,-74868.2,-73884.0,,False,False,,True,False,False,False,False,False,False
Hawaii,4554,4844.0,,4026.7,1980.0,,,1402.4,3269.9,1376.7,3302.7,4727.7,2863.0,290.0,,-527.3,-2574.0,,,-3151.6,-1284.1,-3177.3,-1251.3,173.7,-1691.0,,False,False,,,False,False,False,False,True,False
Idaho,41021,21343.0,,18306.4,7863.0,,12501.0,27952.7,10629.9,5280.9,10186.3,19720.6,13698.0,-19678.0,,-22714.6,-33158.0,,-28520.0,-13068.3,-30391.1,-35740.1,-30834.7,-21300.4,-27323.0,,False,False,,False,True,False,False,False,False,False
Illinois,274212,96124.0,,71728.7,9842.0,,76584.0,107159.3,51350.8,54595.5,93361.7,89002.8,64670.0,-178088.0,,-202483.3,-264370.0,,-197628.0,-167052.7,-222861.2,-219616.5,-180850.3,-185209.2,-209542.0,,False,False,,False,True,False,False,False,False,False
Indiana,128338,40530.0,,39799.6,27789.0,,24316.0,35277.7,26890.8,20522.9,26660.1,47726.0,30481.0,-87808.0,,-88538.4,-100549.0,,-104022.0,-93060.3,-101447.2,-107815.1,-101677.9,-80612.0,-97857.0,,False,False,,False,False,False,False,False,True,False
Iowa,97647,42728.0,,35793.5,29163.0,,45171.0,35594.8,24251.6,16190.5,32408.5,33837.9,18882.0,-54919.0,,-61853.5,-68484.0,,-52476.0,-62052.2,-73395.4,-81456.5,-65238.5,-63809.1,-78765.0,,False,False,,True,False,False,False,False,False,False
Kansas,59418,29169.0,,23255.2,24047.0,,22891.0,16900.7,13042.2,7221.9,28462.6,18428.8,27630.0,-30249.0,,-36162.8,-35371.0,,-36527.0,-42517.3,-46375.8,-52196.1,-30955.4,-40989.2,-31788.0,,False,False,,False,False,False,False,False,False,False
Kentucky,70101,34510.0,,29455.2,29212.0,,35045.0,35129.2,18321.5,15582.2,24996.8,34639.4,27828.0,-35591.0,,-40645.8,-40889.0,,-35056.0,-34971.8,-51779.5,-54518.8,-45104.2,-35461.6,-42273.0,,False,False,,True,True,False,False,False,True,False
Louisiana,36829,25515.0,,14750.2,11128.0,,37388.0,20249.5,13427.3,11631.3,11408.6,12860.8,10833.0,-11314.0,,-22078.8,-25701.0,,559.0,-16579.5,-23401.7,-25197.7,-25420.4,-23968.2,-25996.0,,False,False,,True,False,False,False,False,False,False
Maine,3533,1568.0,,1436.6,350.0,,1285.0,2228.8,722.5,675.3,1648.3,1306.6,2002.0,-1965.0,,-2096.4,-3183.0,,-2248.0,-1304.2,-2810.5,-2857.7,-1884.7,-2226.4,-1531.0,,False,False,,False,True,False,False,True,False,True
Maryland,41118,22596.0,,18887.0,867.0,,20598.0,22517.2,12348.4,8374.4,12387.7,14146.1,13669.0,-18522.0,,-22231.0,-40251.0,,-20520.0,-18600.8,-28769.6,-32743.6,-28730.3,-26971.9,-27449.0,,False,False,,False,False,False,False,False,False,False
Massachusetts,56092,20083.0,,16248.9,306.0,,10788.0,33486.1,14358.1,17973.6,18180.1,42360.0,28969.0,-36009.0,,-39843.1,-55786.0,,-45304.0,-22605.9,-41733.9,-38118.4,-37911.9,-13732.0,-27123.0,,False,False,,False,True,False,False,False,True,True
Michigan,141419,44002.0,,31393.9,4509.0,,45686.0,54863.2,16956.4,2809.9,54309.2,27214.8,35561.0,-97417.0,,-110025.1,-136910.0,,-95733.0,-86555.8,-124462.6,-138609.1,-87109.8,-114204.2,-105858.0,,False,False,,True,True,False,False,True,False,False
Minnesota,120369,48566.0,,31769.2,3525.0,,61197.0,31223.2,32645.7,28709.3,38327.1,86794.6,43885.0,-71803.0,,-88599.8,-116844.0,,-59172.0,-89145.8,-87723.3,-91659.7,-82041.9,-33574.4,-76484.0,,False,False,,True,False,False,False,False,True,False
Mississippi,36663,25130.0,,19005.8,8694.0,,21502.0,17085.6,11894.8,9029.9,15682.8,16879.1,12586.0,-11533.0,,-17657.2,-27969.0,,-15161.0,-19577.4,-24768.2,-27633.1,-20980.2,-19783.9,-24077.0,,False,False,,False,False,False,False,False,False,False
Missouri,120256,74494.0,,74784.1,51526.0,,51122.0,81461.1,46920.4,32042.6,37217.6,65870.1,38610.0,-45762.0,,-45471.9,-68730.0,,-69134.0,-38794.9,-73335.6,-88213.4,-83038.4,-54385.9,-81646.0,,True,False,,False,True,False,False,False,False,False
Montana,33979,12208.0,,10861.5,3154.0,,15758.0,13874.5,8663.6,4830.0,5381.0,22597.8,11293.0,-21771.0,,-23117.5,-30825.0,,-18221.0,-20104.5,-25315.4,-29149.0,-28598.0,-11381.2,-22686.0,,False,False,,True,True,False,False,False,True,False
Nebraska,53238,19593.0,,20377.3,1813.0,,14346.0,27546.5,12349.6,9401.6,13294.7,20859.5,11154.0,-33645.0,,-32860.7,-51425.0,,-38892.0,-25691.5,-40888.4,-43836.4,-39943.3,-32378.5,-42084.0,,True,False,,False,True,False,False,False,True,False
Nevada,40651,20552.0,,14482.3,5555.0,,8271.0,16658.2,12339.2,8614.1,11787.6,28957.7,16814.0,-20099.0,,-26168.7,-35096.0,,-32380.0,-23992.8,-28311.8,-32036.9,-28863.4,-11693.3,-23837.0,,False,False,,False,False,False,False,False,True,False
New Hampshire,6200,1407.0,,1526.7,1.0,,1663.0,2302.0,939.6,717.0,1305.2,2315.6,1042.0,-4793.0,,-4673.3,-6199.0,,-4537.0,-3898.0,-5260.4,-5483.0,-4894.8,-3884.4,-5158.0,,True,False,,True,True,False,False,False,True,False
New Jersey,71886,24787.0,,12359.7,47.0,,15430.0,30558.4,15451.0,17982.9,23317.4,43497.6,35130.0,-47099.0,,-59526.3,-71839.0,,-56456.0,-41327.6,-56435.0,-53903.1,-48568.6,-28388.4,-36756.0,,False,False,,False,True,False,False,False,True,True
New Mexico,34479,8260.0,,6348.8,1598.0,,12127.0,11551.1,5474.6,,5020.6,26140.3,10965.0,-26219.0,,-28130.2,-32881.0,,-22352.0,-22927.9,-29004.4,,-29458.4,-8338.7,-23514.0,,False,False,,True,True,False,,False,True,True
New York,101791,40054.0,,11264.2,27.0,,15928.0,50040.0,21457.6,22286.5,21884.5,45632.2,41312.0,-61737.0,,-90526.8,-101764.0,,-85863.0,-51751.0,-80333.4,-79504.4,-79906.5,-56158.8,-60479.0,,False,False,,False,True,False,False,False,True,True
