,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Alabama,43706,28544.0,42235.7,27415.2,27359.0,34278.0,,25716.4,9714.0,30518.0,,19270.0,30567.7,23211.4,33893.7,10056.0,48178.3,19924.2,29588.4,31554.0,,29107.2,1169.0,19938.5,29788.7,26751.0,-15162.0,-1470.3,-16290.8,-16347.0,-9428.0,,-17989.6,-33992.0,-13188.0,,-24436.0,-13138.3,-20494.6,-9812.3,-33650.1,4472.3,-23781.8,-14117.6,-12152.0,,-14598.8,-42537.0,-23767.5,-13917.3,-16955.0,True,False,False,True,,False,False,True,,False,True,False,True,False,True,False,True,True,,True,False,False,True,False
Alaska,11329,5316.0,37939.9,5388.2,5362.0,3927.0,,5498.4,3525.0,4913.7,,,6377.1,8660.9,6533.2,2318.2,10758.0,4281.3,5605.8,7102.3,,5294.9,2178.0,2477.1,6223.2,3096.0,-6013.0,26610.9,-5940.8,-5967.0,-7402.0,,-5830.6,-7804.0,-6415.3,,,-4951.9,-2668.1,-4795.8,-9010.8,-571.0,-7047.7,-5723.2,-4226.7,,-6034.1,-9151.0,-8851.9,-5105.8,-8233.0,False,True,True,False,,True,False,False,,,True,True,True,False,True,False,True,True,,False,False,False,True,False
Arizona,42594,21924.0,67820.9,22342.5,20615.0,21936.0,,19879.4,1188.0,25277.7,,12996.0,20528.4,15461.2,22484.1,9450.4,25197.8,15620.9,28255.0,26650.5,,23366.7,2125.0,14534.0,35957.6,23884.0,-20670.0,25226.9,-20251.5,-21979.0,-20658.0,,-22714.6,-41406.0,-17316.3,,-29598.0,-22065.6,-27132.8,-20109.9,-33143.6,-17396.2,-26973.1,-14339.0,-15943.5,,-19227.3,-40469.0,-28060.0,-6636.4,-18710.0,False,True,False,True,,False,False,True,,False,False,False,True,False,True,False,True,True,,True,False,False,True,True
Arkansas,33744,24808.0,25061.4,24816.8,24854.0,25524.0,,22909.9,17808.0,27926.1,,28458.0,27821.2,26744.6,28024.7,10647.6,29689.1,16956.2,25301.7,24756.5,,25477.8,4590.6,12872.4,24378.0,22261.0,-8936.0,-8682.6,-8927.2,-8890.0,-8220.0,,-10834.1,-15936.0,-5817.9,,-5286.0,-5922.8,-6999.4,-5719.3,-23096.4,-4054.9,-16787.8,-8442.3,-8987.5,,-8266.2,-29153.4,-20871.6,-9366.0,-11483.0,True,True,True,True,,False,False,True,,True,True,True,True,False,True,False,True,False,,True,False,False,False,False
California,149453,84816.0,115519.4,85809.4,78472.0,79357.0,,80938.4,55283.0,91084.2,,61375.0,98676.9,81551.2,94429.2,69220.3,94455.1,46877.7,72374.0,88280.3,,62489.2,0.0,55766.7,104464.6,80016.0,-64637.0,-33933.6,-63643.6,-70981.0,-70096.0,,-68514.6,-94170.0,-58368.8,,-88078.0,-50776.1,-67901.8,-55023.8,-80232.7,-54997.9,-102575.3,-77079.0,-61172.7,,-86963.9,-149453.0,-93686.3,-44988.4,-69437.0,True,True,False,False,,False,False,True,,False,True,False,True,False,True,False,False,True,,False,False,False,True,False
Colorado,74865,26912.0,36432.8,26653.1,27338.0,36592.0,,24881.9,36299.0,35230.2,,18877.0,25207.3,19343.0,28968.2,31731.3,34977.7,21262.1,33073.6,23448.1,,34321.2,12533.9,16297.9,27339.8,32138.0,-47953.0,-38432.2,-48211.9,-47527.0,-38273.0,,-49983.1,-38566.0,-39634.8,,-55988.0,-49657.7,-55522.0,-45896.8,-43133.7,-39887.3,-53602.9,-41791.4,-51416.9,,-40543.8,-62331.1,-58567.1,-47525.2,-42727.0,True,False,True,True,,False,True,True,,False,False,False,True,True,True,False,True,False,,True,False,False,True,True
Connecticut,25815,11168.0,7111.5,11060.1,8085.0,15566.0,,8084.9,1923.0,50958.2,,6756.0,7829.3,7203.7,14260.3,16220.5,24037.2,3661.7,10483.3,11958.1,,7913.9,11808.9,7535.0,6315.5,10682.0,-14647.0,-18703.5,-14754.9,-17730.0,-10249.0,,-17730.1,-23892.0,25143.2,,-19059.0,-17985.7,-18611.3,-11554.7,-9594.5,-1777.8,-22153.3,-15331.7,-13856.9,,-17901.1,-14006.1,-18280.0,-19499.5,-15133.0,False,False,False,True,,False,False,False,,False,False,False,True,True,True,False,False,True,,False,True,False,False,False
Delaware,5453,3776.0,2539.3,3794.0,3259.0,4463.0,,3005.6,4277.0,6652.6,,2570.0,4261.9,2861.8,3837.9,2737.9,4769.3,2690.3,4221.3,5296.1,,3241.1,413.0,2570.6,3159.2,3746.0,-1677.0,-2913.7,-1659.0,-2194.0,-990.0,,-2447.4,-1176.0,1199.6,,-2883.0,-1191.1,-2591.2,-1615.1,-2715.1,-683.7,-2762.7,-1231.7,-156.9,,-2211.9,-5040.0,-2882.4,-2293.8,-1707.0,False,True,False,True,,False,True,True,,False,True,False,True,False,True,False,True,True,,False,False,False,False,False
District of Columbia,2480,1664.0,1710.4,1778.9,1457.0,1143.0,,1469.3,174.0,2050.6,,1255.0,1445.3,1343.5,2112.2,1343.3,2650.8,1085.1,1756.4,,,1943.6,623.4,1084.2,,2267.0,-816.0,-769.6,-701.1,-1023.0,-1337.0,,-1010.7,-2306.0,-429.4,,-1225.0,-1034.7,-1136.5,-367.8,-1136.7,170.8,-1394.9,-723.6,,,-536.4,-1856.6,-1395.8,,-213.0,True,True,False,False,,False,False,True,,False,False,False,True,False,True,False,True,,,True,False,False,,True
Florida,122615,94240.0,108585.9,99630.0,71406.0,153289.0,,69400.0,12187.0,75234.3,,48008.0,74690.4,59527.0,91558.8,68495.4,55940.0,57214.0,98749.0,62134.8,,83822.6,16453.0,59087.6,126927.4,72545.0,-28375.0,-14029.1,-22985.0,-51209.0,30674.0,,-53215.0,-110428.0,-47380.7,,-74607.0,-47924.6,-63088.0,-31056.2,-54119.6,-66675.0,-65401.0,-23866.0,-60480.2,,-38792.4,-106162.0,-63527.4,4312.4,-50070.0,True,True,False,False,,False,False,False,,False,False,False,False,False,False,False,True,False,,False,False,False,True,False
