,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01031,529,376.0,,462.7,,307.0,368.0,,,,,299.0,,163.0,,293.7,201.8,,296.0,377.6,,,,,,276.6,,,292.0,218.6,-153.0,,-66.3,,-222.0,-161.0,,,,,-230.0,,-366.0,,-235.3,-327.2,,-233.0,-151.4,,,,,,-252.4,,,-237.0,-310.4,,True,,False,False,,,,,False,,False,,False,False,,False,True,,,,,,False,,,False,False
01033,817,316.0,,332.7,,309.0,413.0,,,,,288.2,,322.0,,258.4,103.7,,165.3,348.0,,,,,,182.2,,,325.0,294.8,-501.0,,-484.3,,-508.0,-404.0,,,,,-528.8,,-495.0,,-558.6,-713.3,,-651.7,-469.0,,,,,,-634.8,,,-492.0,-522.2,,True,,False,True,,,,,False,,True,,False,False,,False,True,,,,,,False,,,True,False
01035,85,28.0,,49.8,,21.0,0.0,,,,,77.6,,42.0,,21.5,12.9,,3.7,27.1,0.0,,,,,,,,35.0,40.1,-57.0,,-35.2,,-64.0,-85.0,,,,,-7.4,,-43.0,,-63.5,-72.1,,-81.3,-57.9,-85.0,,,,,,,,-50.0,-44.9,,True,,False,False,,,,,True,,True,,False,False,,False,False,False,,,,,,,,True,True
01037,64,36.0,,45.7,,28.0,21.0,,,,,40.7,,24.0,,36.4,19.0,,13.4,36.6,0.0,,,,,,,,28.0,28.1,-28.0,,-18.3,,-36.0,-43.0,,,,,-23.3,,-40.0,,-27.6,-45.0,,-50.6,-27.4,-64.0,,,,,,,,-36.0,-35.9,,True,,False,False,,,,,True,,False,,True,False,,False,True,False,,,,,,,,False,False
01039,384,396.0,,237.6,,223.0,475.0,,,,,316.5,,155.0,,295.0,107.5,,147.7,307.5,0.2,,,,,238.7,,,217.0,153.5,12.0,,-146.4,,-161.0,91.0,,,,,-67.5,,-229.0,,-89.0,-276.5,,-236.3,-76.5,-383.8,,,,,-145.3,,,-167.0,-230.5,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,,False,,,False,False
01041,83,84.0,,114.7,,42.0,9.0,,,,,75.8,,41.0,,71.4,39.9,,34.9,99.2,0.0,,,,,,,,77.0,70.1,1.0,,31.7,,-41.0,-74.0,,,,,-7.2,,-42.0,,-11.6,-43.1,,-48.1,16.2,-83.0,,,,,,,,-6.0,-12.9,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,,,,,False,False
01043,1422,704.0,,906.4,,518.0,1876.0,,,,,480.9,,480.0,,534.6,150.1,,343.1,787.7,2.9,,,,,397.7,,,1072.0,989.5,-718.0,,-515.6,,-904.0,454.0,,,,,-941.1,,-942.0,,-887.4,-1271.9,,-1078.9,-634.3,-1419.1,,,,,-1024.3,,,-350.0,-432.5,,True,,False,True,,,,,False,,False,,False,False,,False,True,False,,,,,False,,,True,True
01045,547,248.0,,283.2,,189.0,267.0,,,,,345.8,,149.0,,133.6,119.0,,162.0,246.7,0.3,,,,,230.9,,,119.0,245.7,-299.0,,-263.8,,-358.0,-280.0,,,,,-201.2,,-398.0,,-413.4,-428.0,,-385.0,-300.3,-546.7,,,,,-316.1,,,-428.0,-301.3,,True,,False,True,,,,,True,,False,,False,False,,False,False,False,,,,,False,,,False,False
01047,217,64.0,,68.4,,55.0,55.0,,,,,193.6,,137.0,,60.9,38.2,,10.1,80.5,0.1,,,,,45.3,,,80.0,79.1,-153.0,,-148.6,,-162.0,-162.0,,,,,-23.4,,-80.0,,-156.1,-178.8,,-206.9,-136.5,-216.9,,,,,-171.7,,,-137.0,-137.9,,True,,False,False,,,,,True,,True,,False,False,,False,True,False,,,,,False,,,True,True
01049,1044,1168.0,,1182.8,,1028.0,2492.0,,,,,841.4,,456.0,,1081.3,147.3,,960.5,1158.1,307.6,,,,,733.8,,,924.0,1189.6,124.0,,138.8,,-16.0,1448.0,,,,,-202.6,,-588.0,,37.3,-896.7,,-83.5,114.1,-736.4,,,,,-310.2,,,-120.0,145.6,,False,,True,False,,,,,False,,False,,True,False,,True,True,False,,,,,False,,,True,False
