,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,1863112.0,1842516,20596.0,1.1%
DDS-NBDS,1553156.6,1842516,-289359.4,-15.7%
Karlen-pypm,1434572.3,1842516,-407943.7,-22.1%
RobertWalraven-ESG,1425498.1,1842516,-417017.9,-22.6%
LANL-GrowthRate,1404414.0,1842516,-438102.0,-23.8%
LNQ-ens1,1353221.1,1842516,-489294.9,-26.6%
QJHong-Encounter,1249289.9,1842516,-593226.1,-32.2%
OliverWyman-Navigator,1243962.0,1842516,-598554.0,-32.5%
CU-select,1241525.0,1842516,-600991.0,-32.6%
UMich-RidgeTfReg,1233733.6,1842516,-608782.4,-33.0%
USC-SI_kJalpha_RF,1203152.8,1842516,-639363.2,-34.7%
MSRA-DeepST,1198843.7,1842516,-643672.3,-34.9%
Covid19Sim-Simulator,1194621.4,1842516,-647894.6,-35.2%
JHUAPL-Bucky,1184084.2,1842516,-658431.8,-35.7%
COVIDhub-ensemble,1182692.0,1842516,-659824.0,-35.8%
USC-SI_kJalpha,1172094.5,1842516,-670421.5,-36.4%
UCLA-SuEIR,1160545.0,1842516,-681971.0,-37.0%
IBF-TimeSeries,1156721.0,1842516,-685795.0,-37.2%
JCB-PRM,1156211.9,1842516,-686304.1,-37.2%
IowaStateLW-STEM,1115015.0,1842516,-727501.0,-39.5%
CEID-Walk,1099066.1,1842516,-743449.9,-40.3%
COVIDhub-baseline,1097328.0,1842516,-745188.0,-40.4%
IQVIA_ACOE-STAN,1094032.0,1842516,-748484.0,-40.6%
BPagano-RtDriven,1087587.6,1842516,-754928.4,-41.0%
TTU-squider,836153.4,1842516,-1006362.6,-54.6%
CovidAnalytics-DELPHI,680425.0,1842516,-1162091.0,-63.1%
JHU_IDD-CovidSP,602542.1,1842516,-1239973.9,-67.3%
Google_Harvard-CPF,,1842516,,
JHU_CSSE-DECOM,,1842516,,
JHU_UNC_GAS-StatMechPool,,1842516,,
UCSB-ACTS,,1842516,,
