,count,mean,median,std,min,25%,75%,max
Karlen-pypm,51,358010242.7,48555811.2,822060195.5,39680.6,7490117.8,205988665.2,4950895478.8
OliverWyman-Navigator,51,426240250.5,30769209.0,872142769.8,11881.0,4448692.0,486072908.5,4438624129.0
DDS-NBDS,51,459774443.1,31278183.7,1101793013.0,114406.8,3998655.1,322982186.4,6226146167.9
LNQ-ens1,51,525902702.7,42056083.2,1178318430.2,3968.2,7546951.1,590540506.5,6034966320.2
CU-select,51,594853237.5,98525476.0,1197920449.6,27889.0,30001705.0,575912653.0,6812851600.0
UMich-RidgeTfReg,50,635567827.9,81365624.7,1355486245.0,9255.0,5427508.4,568380198.2,7385796661.0
USACE-ERDC_SEIR,51,647059773.1,68055400.9,1311735822.3,355397.7,12882821.0,656830588.9,7057627012.7
JCB-PRM,51,770339303.9,55014285.8,1795270522.9,9165.9,12256361.2,885990836.8,10077263580.0
BPagano-RtDriven,51,791687058.3,150213266.3,1759603783.5,138763.5,15818689.3,657880778.2,10451992638.5
USC-SI_kJalpha,51,818520539.4,107412496.0,1747782302.8,82369.0,39451157.0,802806553.0,9245399409.0
JHU_CSSE-DECOM,51,835058831.4,101787921.0,1951706441.1,14884.0,10757666.0,943170264.5,11462700096.0
COVIDhub-baseline,51,838567862.7,89321401.0,1734238733.9,35721.0,27324765.0,1023129570.5,8749544521.0
CEID-Walk,51,845258952.8,96846658.7,1720276662.7,44165.1,26202085.3,1030149882.7,8885383840.6
Google_Harvard-CPF,51,864457289.9,108030039.1,1929641105.6,85890.4,17074509.4,1021807017.2,11310196209.7
COVIDhub-ensemble,51,904487382.5,84180625.0,1915094385.2,47524.0,26621496.5,1003106126.5,9561906225.0
JHU_UNC_GAS-StatMechPool,51,904773638.3,96236100.0,2243894047.2,12.2,20733866.1,994783481.0,13654740462.2
Covid19Sim-Simulator,51,906581417.7,125970662.2,1898607942.1,32912.0,25813725.3,1117025524.3,9822807819.6
IowaStateLW-STEM,49,945389323.1,146579449.0,1976536097.5,235751.1,33148310.5,1292201693.0,11814603025.0
JHUAPL-Bucky,51,992449161.4,97079807.3,2080119455.9,31082.5,12541965.0,1278218900.9,10991742616.5
UCSB-ACTS,51,1059070418.2,96939293.0,2438612729.6,223149.7,14362569.0,1122265346.2,12920476386.3
RobertWalraven-ESG,51,1170143546.0,137515727.4,2654725750.9,329854.9,33969989.0,1223975297.5,15803097125.5
LANL-GrowthRate,51,1428056099.0,173266274.0,3230034265.5,129993.9,51654282.5,1598472340.6,18255289985.2
UCLA-SuEIR,51,1563575628.2,308064800.0,3221349722.4,47475.4,104421581.5,1893074157.6,16492436733.9
JHU_IDD-CovidSP,51,1824144381.4,455147947.4,4024722032.5,98259.3,88371322.2,1881835092.6,21712561804.3
CovidAnalytics-DELPHI,51,1961970325.1,379197729.0,4368184895.1,357604.0,103583130.5,1569490385.0,26520448201.0
TTU-squider,51,2179551134.6,457614626.3,3983670624.8,475137.2,85448584.8,2706935914.1,17510004604.2
