,mean_rank
LNQ-ens1,7.3
Karlen-pypm,7.6
DDS-NBDS,7.7
MSRA-DeepST,7.9
OliverWyman-Navigator,8.8
LANL-GrowthRate,8.8
USC-SI_kJalpha_RF,8.9
CU-select,10.9
JHU_CSSE-DECOM,12.2
UMich-RidgeTfReg,13.7
JHU_UNC_GAS-StatMechPool,13.9
JCB-PRM,14.0
UCSB-ACTS,14.0
USC-SI_kJalpha,14.5
Google_Harvard-CPF,14.8
JHUAPL-Bucky,14.9
IQVIA_ACOE-STAN,15.4
COVIDhub-ensemble,15.6
COVIDhub-baseline,16.2
RobertWalraven-ESG,16.3
CEID-Walk,16.5
IowaStateLW-STEM,17.1
Covid19Sim-Simulator,18.5
BPagano-RtDriven,18.7
TTU-squider,20.6
UCLA-SuEIR,22.7
JHU_IDD-CovidSP,24.2
CovidAnalytics-DELPHI,24.4
