,predicted_cases,actual_cases,error,perc_error
QJHong-Encounter,2246225.2,3282152,-1035926.8,-31.6%
CU-select,2067531.0,3282152,-1214621.0,-37.0%
JCB-PRM,2048143.0,3282152,-1234009.0,-37.6%
Karlen-pypm,1950783.1,3282152,-1331368.9,-40.6%
Columbia_UNC-SurvCon,1845983.1,3282152,-1436168.9,-43.8%
USACE-ERDC_SEIR,1840199.7,3282152,-1441952.3,-43.9%
Covid19Sim-Simulator,1740888.2,3282152,-1541263.8,-47.0%
COVIDhub-baseline,1677955.0,3282152,-1604197.0,-48.9%
USC-SI_kJalpha,1608058.0,3282152,-1674094.0,-51.0%
IBF-TimeSeries,1507892.0,3282152,-1774260.0,-54.1%
JHUAPL-Bucky,1483068.4,3282152,-1799083.6,-54.8%
JHU_IDD-CovidSP,1370472.8,3282152,-1911679.2,-58.2%
IowaStateLW-STEM,1273033.0,3282152,-2009119.0,-61.2%
UCLA-SuEIR,1233347.7,3282152,-2048804.3,-62.4%
LANL-GrowthRate,1045633.6,3282152,-2236518.4,-68.1%
CovidAnalytics-DELPHI,818496.0,3282152,-2463656.0,-75.1%
