,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,2806639.0,3623576,-816937.0,-22.5%
CU-select,2252445.0,3623576,-1371131.0,-37.8%
JCB-PRM,2241078.1,3623576,-1382497.9,-38.2%
Covid19Sim-Simulator,1930286.5,3623576,-1693289.5,-46.7%
JHU_IDD-CovidSP,1826126.9,3623576,-1797449.1,-49.6%
COVIDhub-baseline,1815228.0,3623576,-1808348.0,-49.9%
USC-SI_kJalpha,1691020.0,3623576,-1932556.0,-53.3%
JHUAPL-Bucky,1602721.0,3623576,-2020855.0,-55.8%
IowaStateLW-STEM,1391673.0,3623576,-2231903.0,-61.6%
UCLA-SuEIR,1193754.6,3623576,-2429821.4,-67.1%
LANL-GrowthRate,992688.8,3623576,-2630887.2,-72.6%
RobertWalraven-ESG,970638.1,3623576,-2652937.9,-73.2%
CovidAnalytics-DELPHI,792657.0,3623576,-2830919.0,-78.1%
