,mean_rank
OliverWyman-Navigator,5.0
DDS-NBDS,6.0
LNQ-ens1,6.3
Karlen-pypm,7.4
JCB-PRM,9.3
JHU_CSSE-DECOM,10.4
UMich-RidgeTfReg,11.0
CU-select,11.1
USACE-ERDC_SEIR,11.1
JHU_UNC_GAS-StatMechPool,11.3
UCSB-ACTS,11.6
Google_Harvard-CPF,12.6
BPagano-RtDriven,13.2
JHUAPL-Bucky,13.4
USC-SI_kJalpha,13.9
COVIDhub-baseline,14.0
CEID-Walk,14.0
COVIDhub-ensemble,14.4
Covid19Sim-Simulator,15.3
IowaStateLW-STEM,15.9
RobertWalraven-ESG,17.8
LANL-GrowthRate,19.5
JHU_IDD-CovidSP,20.5
CovidAnalytics-DELPHI,21.4
TTU-squider,22.2
UCLA-SuEIR,22.7
