,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Alabama,22230,18018.0,13696.3,16704.1,21053.0,19279.0,,22752.6,9164.0,25158.9,19296.2,,19891.0,18706.0,20406.0,25211.1,22632.0,5229.3,20820.0,22922.1,23665.5,23483.8,24227.3,22127.0,,37680.1,13796.5,11112.8,26014.5,18854.4,19275.0,23432.9,-4212.0,-8533.7,-5525.9,-1177.0,-2951.0,,522.6,-13066.0,2928.9,-2933.8,,-2339.0,-3524.0,-1824.0,2981.1,402.0,-17000.7,-1410.0,692.1,1435.5,1253.8,1997.3,-103.0,,15450.1,-8433.5,-11117.2,3784.5,-3375.6,-2955.0,1202.9,False,False,True,True,,True,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,False,False,False,True,True,True,True
Alaska,6798,5620.0,439.8,5740.0,5508.0,5109.0,,4996.8,2513.0,4953.7,5999.2,,,,5612.0,12830.7,,1367.5,6032.5,6938.3,7273.0,6015.8,6538.4,6631.0,,6814.3,4891.7,5289.4,4496.6,10739.0,1916.0,6658.5,-1178.0,-6358.2,-1058.0,-1290.0,-1689.0,,-1801.2,-4285.0,-1844.3,-798.8,,,,-1186.0,6032.7,,-5430.5,-765.5,140.3,475.0,-782.2,-259.6,-167.0,,16.3,-1906.3,-1508.6,-2301.4,3941.0,-4882.0,-139.5,False,True,False,False,,False,False,False,True,,,,False,False,,False,True,True,True,True,True,True,,True,False,False,False,False,False,True
Arizona,27107,18348.0,15037.2,18171.7,16675.0,33503.0,,15769.0,1249.0,22225.7,20297.0,,18503.0,15302.0,15238.6,13263.5,16836.0,6965.0,17011.0,20858.6,21981.5,24845.5,23137.1,20534.0,,16862.6,15315.3,13434.4,16840.7,21709.4,21017.0,20392.0,-8759.0,-12069.8,-8935.3,-10432.0,6396.0,,-11338.0,-25858.0,-4881.3,-6810.0,,-8604.0,-11805.0,-11868.4,-13843.5,-10271.0,-20142.0,-10096.0,-6248.4,-5125.5,-2261.5,-3969.9,-6573.0,,-10244.4,-11791.7,-13672.6,-10266.3,-5397.6,-6090.0,-6715.0,False,False,False,True,,False,False,True,True,,True,False,False,False,False,False,False,True,True,True,True,True,,False,False,False,False,True,True,True
Arkansas,19976,13744.0,10737.9,13554.3,14047.0,12787.0,,14132.8,10116.0,17924.8,13587.8,,15236.0,13961.0,15656.0,15217.5,13865.0,5275.6,14432.5,15012.9,15611.5,15348.8,15322.9,15917.0,,15574.7,10884.3,8657.3,17051.4,13645.1,13950.0,14705.7,-6232.0,-9238.1,-6421.7,-5929.0,-7189.0,,-5843.2,-9860.0,-2051.2,-6388.2,,-4740.0,-6015.0,-4320.0,-4758.5,-6111.0,-14700.4,-5543.5,-4963.1,-4364.5,-4627.2,-4653.1,-4059.0,,-4401.3,-9091.7,-11318.7,-2924.6,-6330.9,-6026.0,-5270.3,False,False,True,False,,True,False,True,False,,True,True,True,True,True,False,True,True,True,True,True,True,,True,False,False,True,False,True,True
California,90924,56918.0,68292.3,57528.0,60040.0,51051.0,,63294.2,19605.0,70478.9,50107.3,,58023.0,58434.0,64901.6,56571.6,61348.0,34671.6,57355.5,56242.0,66784.5,67338.0,64901.8,74551.0,,89689.3,17234.6,41296.1,71477.1,65288.1,68338.0,63623.7,-34006.0,-22631.7,-33396.0,-30884.0,-39873.0,,-27629.8,-71319.0,-20445.1,-40816.7,,-32901.0,-32490.0,-26022.4,-34352.4,-29576.0,-56252.4,-33568.5,-34682.0,-24139.5,-23586.0,-26022.2,-16373.0,,-1234.7,-73689.4,-49627.9,-19446.9,-25635.9,-22586.0,-27300.3,True,True,True,False,,True,False,True,False,,True,True,True,False,True,False,True,False,True,True,True,True,,True,False,False,True,True,True,True
Colorado,51884,27900.0,8823.9,27952.8,27875.0,37535.0,,24942.1,59406.0,40071.6,35984.4,,28648.0,26164.0,27133.1,23297.4,29389.0,16281.8,28653.5,33443.4,42662.5,42293.2,33181.2,30795.0,,44180.0,25885.6,26282.5,22798.1,48731.8,31262.0,30327.6,-23984.0,-43060.1,-23931.2,-24009.0,-14349.0,,-26941.9,7522.0,-11812.4,-15899.6,,-23236.0,-25720.0,-24750.9,-28586.6,-22495.0,-35602.2,-23230.5,-18440.6,-9221.5,-9590.8,-18702.8,-21089.0,,-7704.0,-25998.4,-25601.5,-29085.9,-3152.2,-20622.0,-21556.4,False,True,False,True,,False,True,True,True,,True,False,False,False,True,False,True,True,True,True,True,True,,True,False,False,False,True,True,True
Connecticut,17438,10310.0,12097.1,10412.8,10141.0,14930.0,,9640.6,7997.0,24522.9,6469.5,,6623.0,8768.0,8563.1,7468.0,11507.0,12060.6,9312.0,13610.7,11680.5,10803.8,11326.1,8681.0,,17886.0,5655.8,9582.2,8974.6,7749.7,9266.0,10860.0,-7128.0,-5340.9,-7025.2,-7297.0,-2508.0,,-7797.4,-9441.0,7084.9,-10968.5,,-10815.0,-8670.0,-8874.9,-9970.0,-5931.0,-5377.4,-8126.0,-3827.3,-5757.5,-6634.2,-6111.9,-8757.0,,448.0,-11782.2,-7855.8,-8463.4,-9688.3,-8172.0,-6578.0,True,True,False,True,,False,False,True,False,,False,False,False,False,True,True,False,True,True,True,True,False,,True,False,False,False,False,False,True
Delaware,3444,2208.0,2167.3,2201.3,2179.0,2421.0,,2106.0,1444.0,3142.1,2198.3,,2099.0,2014.0,2205.2,1717.8,2326.0,1428.9,2140.0,2331.6,2166.0,2609.9,2951.6,2444.0,,2259.2,2617.2,2028.0,2310.5,1707.1,2315.0,3001.5,-1236.0,-1276.7,-1242.7,-1265.0,-1023.0,,-1338.0,-2000.0,-301.9,-1245.7,,-1345.0,-1430.0,-1238.8,-1726.2,-1118.0,-2015.1,-1304.0,-1112.4,-1278.0,-834.1,-492.4,-1000.0,,-1184.8,-826.8,-1416.0,-1133.5,-1736.9,-1129.0,-442.5,False,False,False,True,,False,False,True,False,,False,False,False,False,True,False,False,True,False,True,True,True,,True,True,False,True,False,True,True
District of Columbia,1548,1120.0,105.3,1166.1,1007.0,1765.0,,1027.3,150.0,1450.3,1532.3,,1103.0,976.0,909.6,768.9,1331.0,734.2,1088.0,1182.8,1027.0,1530.3,,1278.0,,715.6,433.8,972.6,995.0,,1433.0,1151.1,-428.0,-1442.7,-381.9,-541.0,217.0,,-520.7,-1398.0,-97.7,-15.7,,-445.0,-572.0,-638.4,-779.1,-217.0,-813.8,-460.0,-365.2,-521.0,-17.7,,-270.0,,-832.4,-1114.2,-575.4,-553.0,,-115.0,-396.9,False,True,False,True,,False,False,True,True,,False,False,False,False,True,False,False,True,False,True,,True,,False,False,False,False,,True,True
Florida,72549,52592.0,35042.5,52388.2,53048.0,52611.0,,51141.8,12087.0,60403.6,34804.9,,49772.0,51462.0,53399.2,48653.8,55833.0,33920.5,50621.0,70911.5,67663.5,66181.1,65861.7,65351.0,,54670.0,36415.9,38427.4,61071.3,61035.2,53160.0,57906.6,-19957.0,-37506.5,-20160.8,-19501.0,-19938.0,,-21407.2,-60462.0,-12145.4,-37744.1,,-22777.0,-21087.0,-19149.8,-23895.2,-16716.0,-38628.5,-21928.0,-1637.5,-4885.5,-6367.9,-6687.3,-7198.0,,-17879.0,-36133.1,-34121.6,-11477.7,-11513.8,-19389.0,-14642.4,False,False,True,True,,False,False,True,False,,False,False,True,False,True,False,False,True,True,True,True,True,,True,False,False,True,True,True,True
