,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,57662,40734.0,44204.0,,39552.9,16481.0,26951.0,31207.7,29346.5,19903.2,26240.4,20125.4,19946.8,32478.0,-16928.0,-13458.0,,-18109.1,-41181.0,-30711.0,-26454.3,-28315.5,-37758.8,-31421.6,-37536.6,-37715.2,-25184.0,True,,False,False,False,False,False,False,False,False,False,False
Alaska,13883,5100.0,5780.0,,4308.2,3411.0,,7816.9,5799.7,2955.0,4048.0,4053.3,2678.2,3333.0,-8783.0,-8103.0,,-9574.8,-10472.0,,-6066.1,-8083.3,-10928.0,-9835.0,-9829.7,-11204.8,-10550.0,True,,False,False,,True,True,False,False,False,False,False
Arizona,52654,21438.0,24664.0,,23893.8,2346.0,11668.0,27489.6,15681.6,10881.0,11324.1,6908.2,16948.5,13930.0,-31216.0,-27990.0,,-28760.2,-50308.0,-40986.0,-25164.4,-36972.4,-41773.0,-41329.9,-45745.8,-35705.5,-38724.0,True,,True,False,False,True,False,False,False,False,False,False
Arkansas,45641,34620.0,31822.0,,36677.1,23641.0,37848.0,54001.0,33849.0,14310.4,18596.8,11237.5,22642.7,27529.0,-11021.0,-13819.0,,-8963.9,-22000.0,-7793.0,8360.0,-11792.0,-31330.6,-27044.2,-34403.6,-22998.3,-18112.0,False,,True,False,True,True,False,False,False,False,False,False
California,193546,132420.0,122190.0,,128032.5,54530.0,72200.0,129412.3,106650.5,123424.5,77509.6,72823.8,81004.8,110513.0,-61126.0,-71356.0,,-65513.5,-139016.0,-121346.0,-64133.7,-86895.5,-70121.5,-116036.4,-120722.2,-112541.2,-83033.0,False,,False,False,False,False,False,False,False,False,False,False
Colorado,86679,24264.0,25140.0,,26291.1,14809.0,17664.0,50585.8,17656.4,25535.4,15063.5,12101.9,13395.3,20178.0,-62415.0,-61539.0,,-60387.9,-71870.0,-69015.0,-36093.2,-69022.6,-61143.6,-71615.5,-74577.1,-73283.7,-66501.0,True,,True,False,False,True,False,True,False,False,False,False
Connecticut,30348,10260.0,21853.0,,9418.3,2046.0,5747.0,6785.9,7691.6,15789.4,4099.7,1032.0,7535.3,10861.0,-20088.0,-8495.0,,-20929.7,-28302.0,-24601.0,-23562.1,-22656.4,-14558.6,-26248.3,-29316.0,-22812.7,-19487.0,True,,False,False,False,False,False,True,False,False,False,True
Delaware,7270,5814.0,10070.0,,5055.7,1223.0,2697.0,4987.6,3734.2,4781.4,3446.7,5235.4,3763.5,5855.0,-1456.0,2800.0,,-2214.3,-6047.0,-4573.0,-2282.4,-3535.8,-2488.6,-3823.3,-2034.6,-3506.5,-1415.0,False,,False,False,False,False,False,False,False,False,False,True
District of Columbia,3341,1548.0,1286.0,,1663.6,91.0,994.0,1913.9,1071.2,2878.0,992.6,636.9,1123.7,1176.0,-1793.0,-2055.0,,-1677.4,-3250.0,-2347.0,-1427.1,-2269.8,-463.0,-2348.4,-2704.1,-2217.3,-2165.0,False,,True,False,False,True,False,True,False,False,False,False
Florida,160505,95454.0,91845.0,,94387.4,21122.0,56147.0,111101.7,72256.2,121630.1,51239.4,40670.6,62056.3,65850.0,-65051.0,-68660.0,,-66117.6,-139383.0,-104358.0,-49403.3,-88248.8,-38874.9,-109265.6,-119834.4,-98448.7,-94655.0,False,,False,False,False,True,False,True,False,False,False,False
Georgia,100736,49776.0,43174.0,,47262.7,28490.0,26511.0,30597.7,39707.5,36386.2,28649.4,18845.8,31623.7,28579.0,-50960.0,-57562.0,,-53473.3,-72246.0,-74225.0,-70138.3,-61028.5,-64349.8,-72086.6,-81890.2,-69112.3,-72157.0,False,,False,False,False,False,False,False,False,False,False,False
Hawaii,3838,4296.0,3564.0,,3954.0,1350.0,,3249.9,3763.1,9526.4,2612.4,1096.0,2522.4,2529.0,458.0,-274.0,,116.0,-2488.0,,-588.1,-74.9,5688.4,-1225.6,-2742.0,-1315.6,-1309.0,True,,True,False,,False,True,False,False,False,False,False
Idaho,37615,20436.0,27336.0,,21772.4,7757.0,13205.0,33439.4,25253.6,12093.5,11020.6,7099.2,9109.8,14617.0,-17179.0,-10279.0,,-15842.6,-29858.0,-24410.0,-4175.6,-12361.4,-25521.5,-26594.4,-30515.8,-28505.2,-22998.0,True,,True,False,False,True,True,False,False,False,False,False
Illinois,260203,84054.0,88704.0,,76235.5,16977.0,62364.0,115934.6,64163.2,70317.2,46632.8,38412.9,56616.0,79507.0,-176149.0,-171499.0,,-183967.5,-243226.0,-197839.0,-144268.4,-196039.8,-189885.8,-213570.2,-221790.1,-203587.0,-180696.0,True,,False,False,False,True,False,False,False,False,False,False
Indiana,120828,45060.0,63397.0,,48206.7,24019.0,34613.0,40404.1,35207.7,66121.0,30680.4,36040.1,28001.5,73108.0,-75768.0,-57431.0,,-72621.3,-96809.0,-86215.0,-80423.9,-85620.3,-54707.0,-90147.6,-84787.9,-92826.5,-47720.0,True,,True,False,False,False,False,True,False,False,False,True
Iowa,91254,38358.0,42913.0,,43193.3,27618.0,28840.0,48526.5,38815.1,22798.3,17048.7,12209.9,27193.2,41522.0,-52896.0,-48341.0,,-48060.7,-63636.0,-62414.0,-42727.5,-52438.9,-68455.7,-74205.3,-79044.1,-64060.8,-49732.0,True,,True,False,False,True,True,False,False,False,False,True
Kansas,54891,24432.0,21874.0,,25468.3,20553.0,19747.0,21497.3,28403.4,18797.4,10655.5,6902.8,18724.5,13295.0,-30459.0,-33017.0,,-29422.7,-34338.0,-35144.0,-33393.7,-26487.6,-36093.6,-44235.5,-47988.2,-36166.5,-41596.0,False,,True,False,False,False,True,False,False,False,False,False
Kentucky,64136,35790.0,46664.0,,34235.1,27786.0,27340.0,42750.4,32086.5,27885.7,22500.4,20386.7,21308.8,51404.0,-28346.0,-17472.0,,-29900.9,-36350.0,-36796.0,-21385.6,-32049.5,-36250.3,-41635.6,-43749.3,-42827.2,-12732.0,True,,False,False,False,True,False,False,False,False,False,True
Louisiana,33155,20838.0,22673.0,,18665.3,8506.0,17022.0,18633.4,17553.1,33865.4,12825.6,16115.6,10201.0,10111.0,-12317.0,-10482.0,,-14489.7,-24649.0,-16133.0,-14521.6,-15601.9,710.4,-20329.4,-17039.4,-22954.0,-23044.0,True,,False,False,False,False,False,True,False,False,False,False
Maine,3307,1356.0,1961.0,,1345.6,638.0,925.0,1413.1,1447.4,2580.8,884.1,792.8,1063.8,1201.0,-1951.0,-1346.0,,-1961.4,-2669.0,-2382.0,-1893.9,-1859.6,-726.2,-2422.9,-2514.2,-2243.2,-2106.0,True,,False,False,False,True,True,True,False,False,False,False
Maryland,37271,23082.0,32814.0,,22399.4,2514.0,15575.0,20181.1,16603.9,48646.5,13713.5,13658.8,17506.5,26247.0,-14189.0,-4457.0,,-14871.6,-34757.0,-21696.0,-17089.9,-20667.1,11375.5,-23557.5,-23612.2,-19764.5,-11024.0,True,,False,False,False,False,False,True,False,False,False,True
Massachusetts,51839,25518.0,40583.0,,34181.3,4074.0,12944.0,41017.8,19139.7,30211.5,16199.6,20092.7,18611.5,36416.0,-26321.0,-11256.0,,-17657.7,-47765.0,-38895.0,-10821.2,-32699.3,-21627.5,-35639.4,-31746.3,-33227.5,-15423.0,True,,True,False,False,True,False,True,False,False,False,True
Michigan,134521,41388.0,57252.0,,41495.4,6050.0,47472.0,53858.8,34659.1,62146.5,16983.7,7859.3,37837.9,48267.0,-93133.0,-77269.0,,-93025.6,-128471.0,-87049.0,-80662.2,-99861.9,-72374.5,-117537.3,-126661.7,-96683.1,-86254.0,True,,True,False,True,True,False,True,False,False,False,True
Minnesota,113241,42768.0,51265.0,,36004.4,12596.0,54392.0,64172.4,36334.1,26996.4,29220.1,21997.3,30895.0,43259.0,-70473.0,-61976.0,,-77236.6,-100645.0,-58849.0,-49068.6,-76906.9,-86244.6,-84020.9,-91243.7,-82346.0,-69982.0,True,,False,False,True,True,False,False,False,False,False,True
Mississippi,33173,20940.0,25452.0,,20570.4,7413.0,17456.0,25363.4,19795.3,12456.6,12008.5,8139.9,12239.5,18095.0,-12233.0,-7721.0,,-12602.6,-25760.0,-15717.0,-7809.6,-13377.7,-20716.4,-21164.5,-25033.1,-20933.5,-15078.0,True,,False,False,False,True,False,False,False,False,False,False
Missouri,111132,54744.0,64422.0,,62611.9,51012.0,41781.0,56901.0,52607.5,36123.1,133425.7,48282.4,23935.3,35904.0,-56388.0,-46710.0,,-48520.1,-60120.0,-69351.0,-54231.0,-58524.5,-75008.9,22293.7,-62849.6,-87196.7,-75228.0,True,,True,False,False,True,False,False,True,False,False,False
Montana,31530,14694.0,19107.0,,17596.1,8621.0,18125.0,27677.5,23910.0,4130.1,11134.7,5564.2,6270.5,19434.0,-16836.0,-12423.0,,-13933.9,-22909.0,-13405.0,-3852.5,-7620.0,-27399.9,-20395.3,-25965.8,-25259.5,-12096.0,True,,True,False,True,True,True,False,False,False,False,True
Nebraska,49431,22842.0,23342.0,,21586.5,8970.0,15146.0,22370.2,23812.0,21657.6,13057.6,10918.0,21811.5,17945.0,-26589.0,-26089.0,,-27844.5,-40461.0,-34285.0,-27060.8,-25619.0,-27773.4,-36373.4,-38513.0,-27619.5,-31486.0,True,,False,False,False,False,True,False,False,False,False,False
Nevada,37298,20118.0,19709.0,,20513.7,4252.0,8357.0,29854.4,16700.7,17235.1,11714.8,14343.9,11219.2,19722.0,-17180.0,-17589.0,,-16784.3,-33046.0,-28941.0,-7443.6,-20597.3,-20062.9,-25583.2,-22954.1,-26078.8,-17576.0,False,,True,False,False,True,False,False,False,False,False,False
New Hampshire,5724,2856.0,3499.0,,2528.0,172.0,1343.0,2430.6,2212.2,4182.4,1892.1,1178.9,2051.3,7302.0,-2868.0,-2225.0,,-3196.0,-5552.0,-4381.0,-3293.4,-3511.8,-1541.6,-3831.9,-4545.1,-3672.7,1578.0,True,,False,False,False,False,False,True,False,False,False,True
New Jersey,67160,28356.0,43898.0,,23841.3,6726.0,16529.0,41293.8,17149.5,99211.5,17179.0,17421.7,21928.4,45537.0,-38804.0,-23262.0,,-43318.7,-60434.0,-50631.0,-25866.2,-50010.5,32051.5,-49981.0,-49738.3,-45231.6,-21623.0,True,,False,False,False,True,False,True,False,False,False,True
New Mexico,32875,9624.0,15644.0,,11185.7,1906.0,6846.0,18742.9,9489.2,11421.1,6300.3,3772.5,6950.1,11768.0,-23251.0,-17231.0,,-21689.3,-30969.0,-26029.0,-14132.1,-23385.8,-21453.9,-26574.7,-29102.5,-25924.9,-21107.0,True,,True,False,False,True,False,True,False,False,False,True
New York,93191,51600.0,93015.0,,100943.5,7147.0,18515.0,57063.3,31801.8,92545.3,32358.7,45637.3,44733.7,80879.0,-41591.0,-176.0,,7752.5,-86044.0,-74676.0,-36127.7,-61389.2,-645.7,-60832.3,-47553.7,-48457.3,-12312.0,True,,True,False,False,True,False,True,False,False,False,True
North Carolina,92232,54672.0,103515.0,,56940.7,29415.0,52727.0,58647.4,47186.8,59308.3,27154.3,26543.4,33374.1,51046.0,-37560.0,11283.0,,-35291.3,-62817.0,-39505.0,-33584.6,-45045.2,-32923.7,-65077.7,-65688.6,-58857.9,-41186.0,True,,True,False,False,True,False,True,False,False,False,False
North Dakota,39738,16524.0,14114.0,,16409.5,12499.0,15794.0,22936.0,21719.9,5771.1,11752.4,8039.9,12194.3,17065.0,-23214.0,-25624.0,,-23328.5,-27239.0,-23944.0,-16802.0,-18018.1,-33966.9,-27985.6,-31698.1,-27543.7,-22673.0,False,,False,False,False,True,True,False,False,False,False,True
Ohio,132277,47742.0,68820.0,,41002.6,32215.0,37727.0,48729.3,44732.7,109877.0,27203.0,25747.2,33518.5,55529.0,-84535.0,-63457.0,,-91274.4,-100062.0,-94550.0,-83547.7,-87544.3,-22400.0,-105074.0,-106529.8,-98758.5,-76748.0,True,,False,False,False,True,False,True,False,False,False,True
