,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,614,324.0,319.0,,,,220.0,,210.2,133.7,143.8,271.4,265.9,82.0,-290.0,-295.0,,,,-394.0,,-403.8,-480.3,-470.2,-342.6,-348.1,-532.0,False,,,,False,,False,False,False,False,False,False
01003,1562,3426.0,3422.0,,,,880.0,,3518.1,1744.7,2564.1,686.9,2300.4,32.0,1864.0,1860.0,,,,-682.0,,1956.1,182.7,1002.1,-875.1,738.4,-1530.0,True,,,,True,,False,True,True,True,True,True
01005,206,234.0,105.0,,,,104.0,,126.6,66.4,108.9,18.1,89.1,52.0,28.0,-101.0,,,,-102.0,,-79.4,-139.6,-97.1,-187.9,-116.9,-154.0,False,,,,False,,False,False,False,False,False,False
01007,295,144.0,44.0,,,,99.0,,145.0,66.4,96.8,154.4,89.6,71.0,-151.0,-251.0,,,,-196.0,,-150.0,-228.6,-198.2,-140.6,-205.4,-224.0,False,,,,False,,True,False,False,True,False,False
01009,859,264.0,115.0,,,,326.0,,184.6,202.5,122.3,16.6,183.3,32.0,-595.0,-744.0,,,,-533.0,,-674.4,-656.5,-736.7,-842.4,-675.7,-827.0,False,,,,True,,False,False,False,False,False,False
01011,64,54.0,9.0,,,,51.0,,44.0,25.4,5.2,26.5,46.4,3.0,-10.0,-55.0,,,,-13.0,,-20.0,-38.6,-58.8,-37.5,-17.6,-61.0,False,,,,False,,False,False,False,False,False,False
01013,155,72.0,0.0,,,,77.0,,44.8,34.3,12.5,77.0,59.2,9.0,-83.0,-155.0,,,,-78.0,,-110.2,-120.7,-142.5,-78.0,-95.8,-146.0,False,,,,True,,False,False,False,True,False,False
01015,1823,870.0,329.0,,,,748.0,,611.1,625.7,518.5,320.0,523.9,104.0,-953.0,-1494.0,,,,-1075.0,,-1211.9,-1197.3,-1304.5,-1503.0,-1299.1,-1719.0,False,,,,False,,False,False,False,False,False,False
01017,360,240.0,299.0,,,,139.0,,109.0,127.3,90.5,11.7,84.5,39.0,-120.0,-61.0,,,,-221.0,,-251.0,-232.7,-269.5,-348.3,-275.5,-321.0,True,,,,False,,False,False,False,False,False,False
01019,273,186.0,274.0,,,,156.0,,149.4,116.8,80.7,13.5,140.7,41.0,-87.0,1.0,,,,-117.0,,-123.6,-156.2,-192.3,-259.5,-132.3,-232.0,True,,,,False,,False,False,False,False,False,False
01021,423,330.0,188.0,,,,208.0,,260.6,190.2,212.9,65.1,173.8,109.0,-93.0,-235.0,,,,-215.0,,-162.4,-232.8,-210.1,-357.9,-249.2,-314.0,False,,,,False,,False,False,False,False,False,False
01023,46,84.0,38.0,,,,66.0,,53.6,27.3,27.2,202.2,64.8,72.0,38.0,-8.0,,,,20.0,,7.6,-18.7,-18.8,156.2,18.8,26.0,True,,,,True,,True,True,True,False,True,True
01025,351,312.0,226.0,,,,180.0,,188.2,61.1,226.7,154.1,238.9,94.0,-39.0,-125.0,,,,-171.0,,-162.8,-289.9,-124.3,-196.9,-112.1,-257.0,False,,,,False,,False,False,False,False,False,False
01027,239,138.0,179.0,,,,58.0,,86.8,55.3,33.3,18.4,55.9,40.0,-101.0,-60.0,,,,-181.0,,-152.2,-183.7,-205.7,-220.6,-183.1,-199.0,True,,,,False,,False,False,False,False,False,False
01029,230,264.0,191.0,,,,86.0,,370.2,56.6,97.0,27.2,119.0,224.0,34.0,-39.0,,,,-144.0,,140.2,-173.4,-133.0,-202.8,-111.0,-6.0,False,,,,False,,False,False,False,False,False,True
01031,701,624.0,760.0,,,,224.0,,347.1,371.3,443.6,375.9,367.7,544.0,-77.0,59.0,,,,-477.0,,-353.9,-329.7,-257.4,-325.1,-333.3,-157.0,True,,,,False,,False,False,False,False,False,False
01033,980,456.0,618.0,,,,507.0,,273.8,161.1,213.5,148.8,433.8,347.0,-524.0,-362.0,,,,-473.0,,-706.2,-818.9,-766.5,-831.2,-546.2,-633.0,True,,,,True,,False,False,False,False,False,False
01035,102,30.0,3.0,,,,39.0,,19.4,22.2,0.7,2.0,20.6,4.0,-72.0,-99.0,,,,-63.0,,-82.6,-79.8,-101.3,-100.0,-81.4,-98.0,False,,,,True,,False,False,False,False,False,False
01037,82,48.0,23.0,,,,25.0,,32.9,25.4,11.4,28.9,46.0,13.0,-34.0,-59.0,,,,-57.0,,-49.1,-56.6,-70.6,-53.1,-36.0,-69.0,False,,,,False,,False,False,False,False,False,False
01039,557,456.0,450.0,,,,209.0,,275.3,173.2,262.4,24.6,153.4,91.0,-101.0,-107.0,,,,-348.0,,-281.7,-383.8,-294.6,-532.4,-403.6,-466.0,False,,,,False,,False,False,False,False,False,False
01041,124,54.0,8.0,,,,54.0,,39.9,53.3,5.0,53.6,92.7,7.0,-70.0,-116.0,,,,-70.0,,-84.1,-70.7,-119.0,-70.4,-31.3,-117.0,False,,,,False,,False,False,False,False,True,False
01043,1710,282.0,226.0,,,,641.0,,175.0,190.0,79.9,96.2,178.1,47.0,-1428.0,-1484.0,,,,-1069.0,,-1535.0,-1520.0,-1630.1,-1613.8,-1531.9,-1663.0,False,,,,True,,False,False,False,False,False,False
01045,663,708.0,564.0,,,,200.0,,282.5,251.6,505.5,59.1,465.3,707.0,45.0,-99.0,,,,-463.0,,-380.5,-411.4,-157.5,-603.9,-197.7,44.0,False,,,,False,,False,False,False,False,False,True
01047,260,96.0,117.0,,,,185.0,,68.5,54.6,14.8,49.7,51.1,16.0,-164.0,-143.0,,,,-75.0,,-191.5,-205.4,-245.2,-210.3,-208.9,-244.0,True,,,,True,,False,False,False,False,False,False
01049,1569,870.0,1696.0,,,,559.0,,460.2,232.0,1079.1,4138.2,677.8,741.0,-699.0,127.0,,,,-1010.0,,-1108.8,-1337.0,-489.9,2569.2,-891.2,-828.0,True,,,,False,,False,False,True,False,False,False
01051,815,900.0,1210.0,,,,276.0,,639.9,233.3,520.8,101.8,620.5,371.0,85.0,395.0,,,,-539.0,,-175.1,-581.7,-294.2,-713.2,-194.5,-444.0,False,,,,False,,False,False,False,False,False,False
01053,227,252.0,32.0,,,,265.0,,142.8,119.9,70.7,171.1,91.2,45.0,25.0,-195.0,,,,38.0,,-84.2,-107.1,-156.3,-55.9,-135.8,-182.0,False,,,,False,,False,False,False,False,False,False
01055,1649,1074.0,1291.0,,,,765.0,,818.4,573.3,705.9,289.6,575.2,691.0,-575.0,-358.0,,,,-884.0,,-830.6,-1075.7,-943.1,-1359.4,-1073.8,-958.0,True,,,,False,,False,False,False,False,False,False
