,predicted_cases,actual_cases,error,perc_error
Karlen-pypm,2012336.0,2891625,-879289.0,-30.4%
DDS-NBDS,1999564.3,2891625,-892060.7,-30.8%
BPagano-RtDriven,1967187.0,2891625,-924438.0,-32.0%
QJHong-Encounter,1940588.8,2891625,-951036.2,-32.9%
CU-select,1896762.0,2891625,-994863.0,-34.4%
Columbia_UNC-SurvCon,1825656.9,2891625,-1065968.1,-36.9%
LNQ-ens1,1824110.8,2891625,-1067514.2,-36.9%
UMich-RidgeTfReg,1713039.5,2891625,-1178585.5,-40.8%
RobertWalraven-ESG,1665468.0,2891625,-1226157.0,-42.4%
JHUAPL-Bucky,1616215.8,2891625,-1275409.2,-44.1%
IBF-TimeSeries,1582332.0,2891625,-1309293.0,-45.3%
JCB-PRM,1569249.9,2891625,-1322375.1,-45.7%
CEID-Walk,1565329.9,2891625,-1326295.1,-45.9%
COVIDhub-ensemble,1557752.0,2891625,-1333873.0,-46.1%
COVIDhub-baseline,1553808.0,2891625,-1337817.0,-46.3%
USC-SI_kJalpha,1511768.0,2891625,-1379857.0,-47.7%
MSRA-DeepST,1255070.3,2891625,-1636554.7,-56.6%
JHU_IDD-CovidSP,1226717.6,2891625,-1664907.4,-57.6%
IowaStateLW-STEM,1225095.0,2891625,-1666530.0,-57.6%
Covid19Sim-Simulator,1196339.7,2891625,-1695285.3,-58.6%
UCLA-SuEIR,1126740.3,2891625,-1764884.7,-61.0%
LANL-GrowthRate,971167.9,2891625,-1920457.1,-66.4%
CovidAnalytics-DELPHI,676712.0,2891625,-2214913.0,-76.6%
TTU-squider,641834.4,2891625,-2249790.6,-77.8%
JHU_CSSE-DECOM,,2891625,,
