,predicted_cases,actual_cases,error,perc_error
DDS-NBDS,1965575.0,2408259,-442684.0,-18.4%
Karlen-pypm,1918624.6,2408259,-489634.4,-20.3%
RobertWalraven-ESG,1867860.2,2408259,-540398.8,-22.4%
LNQ-ens1,1810029.3,2408259,-598229.7,-24.8%
OliverWyman-Navigator,1764295.0,2408259,-643964.0,-26.7%
UMich-RidgeTfReg,1728285.9,2408259,-679973.1,-28.2%
BPagano-RtDriven,1676371.1,2408259,-731887.9,-30.4%
Covid19Sim-Simulator,1666672.4,2408259,-741586.6,-30.8%
IBF-TimeSeries,1653362.0,2408259,-754897.0,-31.3%
Columbia_UNC-SurvCon,1643746.0,2408259,-764513.0,-31.7%
QJHong-Encounter,1630696.3,2408259,-777562.7,-32.3%
CU-select,1608416.0,2408259,-799843.0,-33.2%
USACE-ERDC_SEIR,1608214.6,2408259,-800044.4,-33.2%
JCB-PRM,1510620.7,2408259,-897638.3,-37.3%
COVIDhub-ensemble,1502544.0,2408259,-905715.0,-37.6%
USC-SI_kJalpha,1470361.5,2408259,-937897.5,-38.9%
JHU_CSSE-DECOM,1448606.0,2408259,-959653.0,-39.8%
JHUAPL-Bucky,1415887.7,2408259,-992371.3,-41.2%
COVIDhub-baseline,1406379.0,2408259,-1001880.0,-41.6%
CEID-Walk,1394571.6,2408259,-1013687.4,-42.1%
IowaStateLW-STEM,1363547.0,2408259,-1044712.0,-43.4%
UCLA-SuEIR,1350425.1,2408259,-1057833.9,-43.9%
LANL-GrowthRate,1029519.7,2408259,-1378739.3,-57.3%
JHU_IDD-CovidSP,878501.3,2408259,-1529757.7,-63.5%
CovidAnalytics-DELPHI,836271.0,2408259,-1571988.0,-65.3%
TTU-squider,707758.7,2408259,-1700500.3,-70.6%
Google_Harvard-CPF,,2408259,,
JHU_UNC_GAS-StatMechPool,,2408259,,
UCSB-ACTS,,2408259,,
