,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,51145,30730.0,34286.0,,33443.3,13564.0,,22548.0,32781.2,24364.0,12907.3,18225.8,20502.0,,15757.1,31391.1,30094.0,-20415.0,-16859.0,,-17701.7,-37581.0,,-28597.0,-18363.8,-26781.0,-38237.7,-32919.2,-30643.0,,-35387.9,-19753.9,-21051.0,True,,True,False,,False,True,False,False,False,False,,False,True,False
Alaska,12706,6070.0,7326.0,,5283.7,3710.0,,,7141.1,5790.1,2699.6,12533.7,5433.1,,3145.3,12087.8,3453.0,-6636.0,-5380.0,,-7422.3,-8996.0,,,-5564.9,-6915.9,-10006.4,-172.3,-7272.9,,-9560.7,-618.2,-9253.0,True,,False,False,,,True,False,False,True,False,,False,True,False
Arizona,48075,22895.0,31906.0,,20022.6,1527.0,,11039.0,26219.0,16854.4,8885.0,27090.6,14793.4,,15426.4,25229.1,26807.0,-25180.0,-16169.0,,-28052.4,-46548.0,,-37036.0,-21856.0,-31220.6,-39190.0,-20984.4,-33281.6,,-32648.6,-22845.9,-21268.0,True,,False,False,,False,True,False,False,True,False,,False,True,True
Arkansas,39946,28475.0,30640.0,,28742.8,22755.0,,32759.0,31957.1,26492.0,14273.8,37734.9,19190.4,,18813.1,23309.3,23985.0,-11471.0,-9306.0,,-11203.2,-17191.0,,-7187.0,-7988.9,-13454.0,-25672.2,-2211.1,-20755.6,,-21132.9,-16636.7,-15961.0,True,,True,False,,True,True,False,False,True,False,,False,False,False
California,174294,114445.0,141722.0,,116330.4,53764.0,,66932.0,125015.3,94170.4,81517.4,124009.1,67692.6,,77325.9,103293.0,111048.0,-59849.0,-32572.0,,-57963.6,-120530.0,,-107362.0,-49278.7,-80123.6,-92776.6,-50284.9,-106601.4,,-96968.1,-71001.0,-63246.0,True,,True,False,,False,True,False,False,True,False,,False,False,False
Colorado,81592,25425.0,35692.0,,23120.5,41112.0,,16109.0,35906.8,18170.0,29678.6,29719.0,20585.2,,15082.8,50434.9,30142.0,-56167.0,-45900.0,,-58471.5,-40480.0,,-65483.0,-45685.2,-63422.0,-51913.4,-51873.0,-61006.8,,-66509.2,-31157.1,-51450.0,True,,False,True,,False,True,False,True,True,False,,False,True,True
Connecticut,28607,8705.0,10135.0,,8029.8,2743.0,,7488.0,7352.8,6943.6,13053.6,8326.8,3007.8,,6060.6,6905.2,11138.0,-19902.0,-18472.0,,-20577.2,-25864.0,,-21119.0,-21254.2,-21663.4,-15553.4,-20280.2,-25599.2,,-22546.4,-21701.8,-17469.0,True,,False,False,,False,False,False,True,False,False,,False,False,True
Delaware,6397,4365.0,3579.0,,3655.9,1784.0,,3001.0,5453.6,3197.6,3239.2,6094.5,2975.0,,2428.3,3874.6,3990.0,-2032.0,-2818.0,,-2741.1,-4613.0,,-3396.0,-943.4,-3199.4,-3157.8,-302.5,-3422.0,,-3968.7,-2522.4,-2407.0,False,,False,False,,False,True,False,False,True,False,,False,False,False
District of Columbia,2896,2225.0,4780.0,,1559.1,110.0,,905.0,2144.3,1568.5,1887.9,1053.1,1412.9,,1858.3,4539.6,3519.0,-671.0,1884.0,,-1336.9,-2786.0,,-1991.0,-751.7,-1327.5,-1008.1,-1842.9,-1483.1,,-1037.7,1643.6,623.0,False,,False,False,,False,False,False,False,False,False,,False,False,True
Florida,146175,71650.0,62373.0,,77671.6,16507.0,,48133.0,89885.4,66667.2,89308.9,62317.2,80082.2,,45999.9,70884.2,50132.0,-74525.0,-83802.0,,-68503.4,-129668.0,,-98042.0,-56289.6,-79507.8,-56866.1,-83857.8,-66092.8,,-100175.1,-75290.8,-96043.0,False,,True,False,,False,True,False,True,False,True,,False,False,False
