,actual_cases,COVIDhub-baseline,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,760,1928.0,,,1042.0,,,313.8,862.0,,,1168.0,,,282.0,,,-446.2,102.0,,,,,True,,,True,True,,
01003,2567,2360.0,,,1378.0,,,304.8,1752.2,,,-207.0,,,-1189.0,,,-2262.2,-814.8,,,,,False,,,False,False,,
01005,292,1680.0,,,396.0,,,1.2,,,,1388.0,,,104.0,,,-290.8,,,,,,True,,,True,,,
01007,355,416.0,,,494.0,,,80.4,,,,61.0,,,139.0,,,-274.6,,,,,,False,,,False,,,
01009,954,3424.0,,,1004.0,,,73.7,1175.2,,,2470.0,,,50.0,,,-880.3,221.2,,,,,True,,,True,True,,
01011,89,264.0,,,285.0,,,0.0,,,,175.0,,,196.0,,,-89.0,,,,,,False,,,True,,,
01013,178,344.0,,,308.0,,,30.8,,,,166.0,,,130.0,,,-147.2,,,,,,True,,,True,,,
01015,2181,4736.0,,,1853.0,,,206.3,3101.7,,,2555.0,,,-328.0,,,-1974.8,920.7,,,,,True,,,True,True,,
01017,435,2080.0,,,411.0,,,34.4,,,,1645.0,,,-24.0,,,-400.6,,,,,,True,,,True,,,
01019,349,1304.0,,,325.0,,,362.8,,,,955.0,,,-24.0,,,13.8,,,,,,True,,,True,,,
01021,594,1896.0,,,1109.0,,,525.8,777.6,,,1302.0,,,515.0,,,-68.2,183.6,,,,,True,,,True,True,,
01023,71,128.0,,,121.0,,,60.2,,,,57.0,,,50.0,,,-10.8,,,,,,True,,,True,,,
01025,457,912.0,,,468.0,,,10.8,,,,455.0,,,11.0,,,-446.2,,,,,,True,,,True,,,
01027,315,920.0,,,212.0,,,65.7,,,,605.0,,,-103.0,,,-249.3,,,,,,True,,,True,,,
01029,294,408.0,,,270.0,,,107.8,,,,114.0,,,-24.0,,,-186.2,,,,,,True,,,False,,,
01031,888,1856.0,,,1007.0,,,88.1,662.8,,,968.0,,,119.0,,,-799.9,-225.2,,,,,True,,,True,True,,
