,mean_rank
LNQ-ens1,6.8
UChicagoCHATTOPADHYAY-UnIT,7.7
MSRA-DeepST,8.1
Geneva-DetGrowth,8.5
RobertWalraven-ESG,8.7
OliverWyman-Navigator,9.5
LANL-GrowthRate,10.0
Karlen-pypm,11.3
USC-SI_kJalpha_RF,11.7
JHU_CSSE-DECOM,12.3
DDS-NBDS,12.4
Google_Harvard-CPF,13.5
UMich-RidgeTfReg,13.6
CU-select,14.9
COVIDhub-ensemble,15.2
BPagano-RtDriven,16.2
IQVIA_ACOE-STAN,16.2
JHUAPL-Bucky,16.5
JCB-PRM,16.9
IowaStateLW-STEM,17.0
USC-SI_kJalpha,17.2
CEID-Walk,17.3
COVIDhub-baseline,17.6
JHU_UNC_GAS-StatMechPool,19.8
UCSB-ACTS,20.4
UCLA-SuEIR,22.0
Covid19Sim-Simulator,23.2
TTU-squider,24.3
CovidAnalytics-DELPHI,26.4
