,predicted_cases,actual_cases,error,perc_error
UMich-RidgeTfReg,962406.3,1035899,-73492.7,-7.1%
LNQ-ens1,937018.1,1035899,-98880.9,-9.5%
Columbia_UNC-SurvCon,932927.0,1035899,-102972.0,-9.9%
RobertWalraven-ESG,925967.6,1035899,-109931.4,-10.6%
LANL-GrowthRate,886485.0,1035899,-149414.0,-14.4%
UChicagoCHATTOPADHYAY-UnIT,881712.0,1035899,-154187.0,-14.9%
Geneva-DetGrowth,873938.9,1035899,-161960.1,-15.6%
Karlen-pypm,846399.1,1035899,-189499.9,-18.3%
DDS-NBDS,840275.1,1035899,-195623.9,-18.9%
OliverWyman-Navigator,830854.0,1035899,-205045.0,-19.8%
BPagano-RtDriven,830429.4,1035899,-205469.6,-19.8%
MSRA-DeepST,813031.2,1035899,-222867.8,-21.5%
IBF-TimeSeries,800134.0,1035899,-235765.0,-22.8%
CU-select,794385.0,1035899,-241514.0,-23.3%
COVIDhub-ensemble,790658.0,1035899,-245241.0,-23.7%
UCLA-SuEIR,786931.6,1035899,-248967.4,-24.0%
USC-SI_kJalpha_RF,775171.7,1035899,-260727.3,-25.2%
JHU_CSSE-DECOM,761702.0,1035899,-274197.0,-26.5%
JHUAPL-Bucky,750213.7,1035899,-285685.3,-27.6%
QJHong-Encounter,741337.0,1035899,-294562.0,-28.4%
IQVIA_ACOE-STAN,738682.0,1035899,-297217.0,-28.7%
JCB-PRM,735474.7,1035899,-300424.3,-29.0%
USC-SI_kJalpha,728094.5,1035899,-307804.5,-29.7%
COVIDhub-baseline,727154.0,1035899,-308745.0,-29.8%
CEID-Walk,721496.7,1035899,-314402.3,-30.4%
Covid19Sim-Simulator,708643.4,1035899,-327255.6,-31.6%
IowaStateLW-STEM,667682.0,1035899,-368217.0,-35.5%
TTU-squider,496441.5,1035899,-539457.5,-52.1%
CovidAnalytics-DELPHI,459081.0,1035899,-576818.0,-55.7%
Google_Harvard-CPF,,1035899,,
JHU_UNC_GAS-StatMechPool,,1035899,,
UCSB-ACTS,,1035899,,
