,actual_cases,COVIDhub-baseline,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,72265,52144.0,43290.3,,75911.0,36721.6,15893.3,30898.4,126752.4,23161.0,-20121.0,-28974.7,,3646.0,-35543.4,-56371.7,-41366.6,54487.4,-49104.0,False,,True,False,False,False,False,False
Alaska,15470,4176.0,4829.8,,,5352.8,1652.8,1997.3,5511.1,3960.0,-11294.0,-10640.2,,,-10117.2,-13817.2,-13472.7,-9958.9,-11510.0,True,,,True,False,False,True,False
Arizona,59502,38512.0,23740.9,,19334.0,40477.5,7769.0,28277.4,55749.1,41113.0,-20990.0,-35761.1,,-40168.0,-19024.5,-51733.0,-31224.6,-3752.9,-18389.0,False,,False,True,False,False,True,True
Arkansas,57006,43600.0,33669.5,,46773.0,57978.4,17069.7,27848.2,35015.5,19141.0,-13406.0,-23336.5,,-10233.0,972.4,-39936.3,-29157.8,-21990.5,-37865.0,False,,True,True,False,False,False,False
California,244386,195040.0,121031.9,,174972.0,83685.9,53256.1,136621.8,116572.2,128512.0,-49346.0,-123354.1,,-69414.0,-160700.1,-191129.9,-107764.2,-127813.8,-115874.0,False,,False,False,False,False,False,False
Colorado,94878,27680.0,22004.7,,18942.0,38425.4,11808.1,13788.3,98066.0,44853.0,-67198.0,-72873.3,,-75936.0,-56452.6,-83069.9,-81089.7,3188.0,-50025.0,False,,False,True,False,False,True,True
Connecticut,33118,9608.0,8404.1,,5601.0,11586.9,623.7,8557.1,6455.1,5278.0,-23510.0,-24713.9,,-27517.0,-21531.1,-32494.3,-24560.9,-26662.9,-27840.0,False,,False,True,False,False,False,False
Delaware,8946,5784.0,7195.1,,3920.0,9195.5,1550.8,3626.2,5012.6,3495.0,-3162.0,-1750.9,,-5026.0,249.5,-7395.2,-5319.8,-3933.4,-5451.0,True,,False,True,False,False,False,False
District of Columbia,3912,3272.0,1970.2,,2116.0,2178.8,1447.6,2432.8,3236.8,3934.0,-640.0,-1941.8,,-1796.0,-1733.2,-2464.4,-1479.2,-675.2,22.0,False,,False,False,False,False,False,True
Florida,193863,157296.0,115725.0,,132114.0,119474.2,37695.3,108965.5,97798.5,79545.0,-36567.0,-78138.0,,-61749.0,-74388.8,-156167.7,-84897.5,-96064.5,-114318.0,False,,False,False,False,False,False,False
Georgia,117884,96928.0,66439.2,,89265.0,62244.2,32585.3,58740.5,54902.3,44356.0,-20956.0,-51444.8,,-28619.0,-55639.8,-85298.7,-59143.5,-62981.7,-73528.0,False,,False,False,False,False,False,False
Hawaii,5274,5904.0,3250.2,,,2167.2,1007.0,5172.6,2419.2,2167.0,630.0,-2023.8,,,-3106.8,-4267.0,-101.4,-2854.8,-3107.0,False,,,False,False,True,False,False
Idaho,44070,16640.0,14975.7,,13452.0,10731.9,7043.9,9155.3,16686.0,9972.0,-27430.0,-29094.3,,-30618.0,-33338.1,-37026.1,-34914.7,-27384.0,-34098.0,False,,False,False,False,False,True,False
Illinois,287944,104336.0,71004.5,,76186.0,103992.5,62491.8,85955.3,73860.5,56278.0,-183608.0,-216939.5,,-211758.0,-183951.5,-225452.2,-201988.7,-214083.5,-231666.0,False,,False,False,False,False,False,False
Indiana,134128,49584.0,43123.7,,29991.0,38486.5,22758.2,35921.7,39034.6,32572.0,-84544.0,-91004.3,,-104137.0,-95641.5,-111369.8,-98206.3,-95093.4,-101556.0,False,,False,False,False,False,False,False
Iowa,103751,44792.0,32961.7,,38674.0,25635.1,23163.8,28991.5,45321.7,18720.0,-58959.0,-70789.3,,-65077.0,-78115.9,-80587.2,-74759.5,-58429.3,-85031.0,False,,False,False,False,False,True,False
Kansas,64961,30624.0,24274.7,,21499.0,15229.4,9425.2,28777.7,18746.3,17312.0,-34337.0,-40686.3,,-43462.0,-49731.6,-55535.8,-36183.3,-46214.7,-47649.0,False,,False,False,False,False,False,False
Kentucky,75031,37528.0,32962.2,,38067.0,31142.0,17741.6,29785.8,34152.4,30834.0,-37503.0,-42068.8,,-36964.0,-43889.0,-57289.4,-45245.2,-40878.6,-44197.0,False,,True,False,False,False,False,False
Louisiana,40659,32872.0,18467.2,,50328.0,19737.4,14118.7,25396.4,13483.6,14344.0,-7787.0,-22191.8,,9669.0,-20921.6,-26540.3,-15262.6,-27175.4,-26315.0,False,,False,False,False,False,False,False
Maine,3757,1600.0,1256.4,,3794.0,2413.0,415.7,1155.9,4104.5,2023.0,-2157.0,-2500.6,,37.0,-1344.0,-3341.3,-2601.1,347.5,-1734.0,False,,True,True,False,False,True,True
Maryland,44346,33688.0,26924.6,,26238.0,41717.4,13739.4,25368.9,26154.0,22658.0,-10658.0,-17421.4,,-18108.0,-2628.6,-30606.6,-18977.1,-18192.0,-21688.0,False,,False,True,False,False,False,False
Massachusetts,58961,21128.0,5568.7,,11266.0,23109.0,4731.7,16944.9,59667.9,35017.0,-37833.0,-53392.3,,-47695.0,-35852.0,-54229.3,-42016.1,706.9,-23944.0,False,,False,True,False,False,True,True
Michigan,147705,40232.0,30116.1,,48364.0,44181.7,5063.4,22123.8,18833.2,13625.0,-107473.0,-117588.9,,-99341.0,-103523.3,-142641.6,-125581.2,-128871.8,-134080.0,False,,True,True,False,False,False,False
Minnesota,127307,41064.0,29562.1,,43826.0,33793.4,27625.7,33452.0,118531.4,50119.0,-86243.0,-97744.9,,-83481.0,-93513.6,-99681.3,-93855.0,-8775.6,-77188.0,False,,True,False,False,False,True,True
Mississippi,40253,27736.0,16707.5,,28451.0,21533.2,8636.9,15217.9,15995.6,11351.0,-12517.0,-23545.5,,-11802.0,-18719.8,-31616.1,-25035.1,-24257.4,-28902.0,False,,True,False,False,False,False,False
Missouri,138824,84592.0,73257.6,,54072.0,75092.6,36748.5,48609.1,61543.8,44643.0,-54232.0,-65566.4,,-84752.0,-63731.4,-102075.5,-90214.9,-77280.2,-94181.0,False,,False,False,False,False,False,False
Montana,35723,9904.0,8664.3,,12210.0,7946.8,3746.0,4739.4,23096.3,9450.0,-25819.0,-27058.7,,-23513.0,-27776.2,-31977.0,-30983.6,-12626.7,-26273.0,False,,True,False,False,False,True,False
Nebraska,56037,21416.0,19479.9,,13154.0,31719.1,7118.5,17880.8,20635.5,10534.0,-34621.0,-36557.1,,-42883.0,-24317.9,-48918.5,-38156.2,-35401.5,-45503.0,False,,False,True,False,False,False,False
Nevada,43587,17592.0,13776.7,,7594.0,12657.4,9422.7,12016.1,14147.3,13837.0,-25995.0,-29810.3,,-35993.0,-30929.6,-34164.2,-31570.9,-29439.7,-29750.0,False,,False,False,False,False,False,False
New Hampshire,6292,2144.0,2565.7,,1578.0,2490.7,899.9,1876.2,5038.6,2042.0,-4148.0,-3726.3,,-4714.0,-3801.3,-5392.1,-4415.8,-1253.4,-4250.0,True,,False,True,False,False,True,False
New Jersey,91432,23776.0,11454.9,,16019.0,35190.4,35535.8,30970.9,36774.0,32119.0,-67656.0,-79977.1,,-75413.0,-56241.6,-55896.2,-60461.1,-54658.0,-59313.0,False,,False,True,True,True,True,True
New Mexico,35659,6808.0,5357.5,,9008.0,6189.5,2293.8,4527.2,7619.4,6281.0,-28851.0,-30301.5,,-26651.0,-29469.5,-33365.2,-31131.8,-28039.6,-29378.0,False,,True,False,False,False,True,False
New York,110266,43184.0,10134.0,,16934.0,55118.3,38556.9,35388.5,37135.3,46299.0,-67082.0,-100132.0,,-93332.0,-55147.7,-71709.1,-74877.5,-73130.7,-63967.0,False,,False,True,False,False,False,True
North Carolina,110852,68072.0,51727.5,,69560.0,52273.1,37496.9,46716.9,63956.3,41449.0,-42780.0,-59124.5,,-41292.0,-58578.9,-73355.1,-64135.1,-46895.7,-69403.0,False,,True,False,False,False,False,False
North Dakota,45265,19648.0,19521.1,,20684.0,15749.5,10071.3,10698.8,14451.6,7473.0,-25617.0,-25743.9,,-24581.0,-29515.5,-35193.7,-34566.2,-30813.4,-37792.0,False,,True,False,False,False,False,False
Ohio,146696,55832.0,46649.1,,41959.0,55361.4,21696.0,35312.5,37264.9,39254.0,-90864.0,-100046.9,,-104737.0,-91334.6,-125000.0,-111383.5,-109431.1,-107442.0,False,,False,False,False,False,False,False
Oklahoma,74401,57160.0,43950.1,,44153.0,76720.0,35202.0,25954.9,61601.1,32224.0,-17241.0,-30450.9,,-30248.0,2319.0,-39199.0,-48446.1,-12799.9,-42177.0,False,,False,True,False,False,True,False
Oregon,25419,9488.0,11857.1,,8023.0,10323.7,5979.9,4959.0,23591.7,11476.0,-15931.0,-13561.9,,-17396.0,-15095.3,-19439.1,-20460.0,-1827.3,-13943.0,True,,False,True,False,False,True,True
Pennsylvania,109986,44808.0,43527.8,,37653.0,65196.3,19530.5,29048.6,36672.0,38484.0,-65178.0,-66458.2,,-72333.0,-44789.7,-90455.4,-80937.4,-73314.0,-71502.0,False,,False,True,False,False,False,False
Rhode Island,18039,5720.0,5508.1,,5496.0,8534.1,621.3,4907.5,2412.9,3298.0,-12319.0,-12530.9,,-12543.0,-9504.9,-17417.7,-13131.5,-15626.1,-14741.0,False,,False,True,False,False,False,False
