,mean_abs_error_2020-08-24_2020-10-17,mean_abs_error_2020-08-31_2020-10-17,mean_abs_error_2020-09-07_2020-10-17,mean_abs_error_2020-09-14_2020-10-17,mean_abs_error_2020-09-21_2020-10-17,mean_abs_error_2020-09-28_2020-10-17,mean_abs_error_2020-10-05_2020-10-17,mean_abs_error_2020-10-12_2020-10-17,mean_sq_abs_error_2020-08-24_2020-10-17,mean_sq_abs_error_2020-08-31_2020-10-17,mean_sq_abs_error_2020-09-07_2020-10-17,mean_sq_abs_error_2020-09-14_2020-10-17,mean_sq_abs_error_2020-09-21_2020-10-17,mean_sq_abs_error_2020-09-28_2020-10-17,mean_sq_abs_error_2020-10-05_2020-10-17,mean_sq_abs_error_2020-10-12_2020-10-17
COVIDhub-baseline,376.2,291.0,244.5,204.8,158.9,123.2,72.0,32.0,2472394.0,804559.8,497912.8,439376.5,193423.2,607812.0,58950.0,9513.7
LNQ-ens1,,,,,144.2,103.6,72.6,26.9,,,,,173707.2,111242.5,45938.5,5210.6
IowaStateLW-STEM,452.6,320.1,283.9,223.6,189.9,150.9,87.1,44.7,3873215.8,2836690.2,3896430.4,489296.2,444319.0,380845.9,71959.2,19231.2
USC-SI_kJalpha,471.7,379.8,297.1,289.9,195.6,151.7,78.6,41.4,2228493.0,1411094.9,774147.2,981635.2,391453.9,353161.0,61962.3,18111.9
CEID-Walk,,,,,161.6,124.9,73.2,32.3,,,,,206705.4,634593.0,56306.0,9509.4
JHU_IDD-CovidSP,,,263.7,247.3,205.6,142.9,104.6,58.1,,,759536.9,859441.1,556156.1,219908.9,117932.2,39348.9
COVIDhub-ensemble,,,,,162.4,121.0,79.0,33.9,,,,,258950.7,190814.6,55958.9,9977.5
JHUAPL-Bucky,,,,268.8,205.2,149.3,80.8,36.6,,,,859442.9,362907.5,603437.8,65541.5,14024.1
LANL-GrowthRate,,411.4,351.6,303.6,227.3,154.7,103.2,40.1,,1221834.8,891115.3,713195.9,403934.5,165567.9,68758.3,9576.0
UCLA-SuEIR,463.6,355.3,286.3,,,140.9,87.6,,6658538.4,2165908.5,845538.3,,,258046.0,64968.5,
OliverWyman-Navigator,,,,,,161.4,77.0,33.4,,,,,,1028603.4,78217.1,8922.3
UVA-Ensemble,,,,,217.5,141.8,113.3,60.4,,,,,751874.7,274252.3,100556.3,34340.3
CU-select,,,526.8,523.8,352.0,225.8,99.3,37.5,,,6611871.7,7317208.5,2818783.7,784653.8,441325.6,10063.2
RobertWalraven-ESG,480.7,489.7,400.8,353.4,274.9,188.2,127.0,,2077239.4,2067489.3,1397548.4,1174144.5,747124.1,315985.9,149774.4,
MITCovAlliance-SIR,,482.4,387.9,339.5,274.6,208.8,,75.5,,3026891.0,2184871.4,1796479.1,1188971.7,627243.6,,90191.2
Google_Harvard-CPF,,,,,,165.0,127.2,76.8,,,,,,303196.6,162916.2,88619.2
PandemicCentral-USCounty,,,,,,,136.5,56.3,,,,,,,629879.6,26201.8
Yu_Group-CLEP,,,,,,384.2,,,,,,,,3078220.7,,
