,mean_abs_error_2020-11-09_2021-01-02,mean_abs_error_2020-11-16_2021-01-02,mean_abs_error_2020-11-23_2021-01-02,mean_abs_error_2020-11-30_2021-01-02,mean_abs_error_2020-12-07_2021-01-02,mean_abs_error_2020-12-14_2021-01-02,mean_abs_error_2020-12-21_2021-01-02,mean_abs_error_2020-12-28_2021-01-02,mean_sq_abs_error_2020-11-09_2021-01-02,mean_sq_abs_error_2020-11-16_2021-01-02,mean_sq_abs_error_2020-11-23_2021-01-02,mean_sq_abs_error_2020-11-30_2021-01-02,mean_sq_abs_error_2020-12-07_2021-01-02,mean_sq_abs_error_2020-12-14_2021-01-02,mean_sq_abs_error_2020-12-21_2021-01-02,mean_sq_abs_error_2020-12-28_2021-01-02
CU-select,,,46087.5,48609.2,27759.3,14461.4,6656.8,6158.1,,,9989283278.6,13082074609.3,2994717711.2,531843993.5,265931706.0,115400580.8
OneQuietNight-ML,,,75716.3,43346.9,31155.4,14653.8,7341.7,3777.1,,,16069901488.8,8439532156.0,3666230616.7,1136152745.4,283045085.3,50212092.6
COVIDhub-baseline,99581.1,80312.0,62095.2,49959.2,30647.6,18895.4,7077.2,3955.5,38838269292.4,27617879153.9,17305406360.4,13330941191.2,6084121052.1,1416038988.1,121980936.1,67014044.5
LANL-GrowthRate,,,51161.2,40394.9,17722.9,17353.7,13121.3,8107.3,,,8696141209.4,8674799379.2,980722019.0,1388340046.7,2461872261.5,754467235.8
Covid19Sim-Simulator,95206.7,,58098.1,50363.9,32452.0,18086.4,9302.3,3936.9,36171903708.5,,14700491484.9,12847677027.1,4733687628.1,831496228.3,313893039.4,84994953.4
USC-SI_kJalpha,136675.5,122220.8,64051.4,60911.6,20834.2,17676.8,8277.9,4462.2,47392788719.5,41876188025.9,19346539244.2,19438456113.9,1532975787.7,748681600.7,455144722.8,82862194.2
IowaStateLW-STEM,113691.8,84560.6,71004.2,49209.6,32773.0,21524.8,8956.4,3360.9,47920435782.3,29495964533.6,21628081755.9,13082806743.8,6710924888.3,1587197097.1,163049374.7,33837277.4
JHU_IDD-CovidSP,,,49263.1,43060.3,34633.2,23153.9,11776.4,8060.1,,,15621417349.0,10845220675.2,6794124388.4,3876729019.9,810091289.1,245671364.0
COVIDhub-ensemble,,,,,22443.5,14596.5,8146.9,4029.6,,,,,2466462334.0,553994013.5,457321035.1,71594063.3
UCLA-SuEIR,143786.4,114757.6,72316.8,56750.2,35790.2,21316.6,8109.3,4151.0,62989533395.3,49012535949.8,19181560756.7,11463460765.8,5556961350.1,1571702443.7,201916129.9,74143363.8
LNQ-ens1,,,,,18992.2,13136.7,8018.9,5868.8,,,,,1113386360.3,461903639.8,565863339.9,74724243.0
CEID-Walk,,,,,30508.0,19034.5,7422.9,4006.8,,,,,5951888211.7,1408549905.6,143259532.8,67811565.6
Microsoft-DeepSTIA,,,,,29098.4,17241.2,9407.3,4226.5,,,,,6068741371.3,1113335450.6,223179005.2,45517345.1
JHU_CSSE-DECOM,,,,,36298.5,19952.0,10989.9,3923.9,,,,,12533234672.9,1226429521.3,795269708.0,46338549.2
JHUAPL-Bucky,116158.9,213732.2,148315.3,44874.6,31546.4,31713.4,17139.2,7388.7,44306395456.8,115368335164.9,65326788791.0,5454983152.1,3388308833.7,5040364716.7,3244189258.1,434356747.0
RobertWalraven-ESG,,,,,37086.9,16861.2,9071.5,5808.1,,,,,8061289425.1,682696230.9,577251348.9,133687725.1
OliverWyman-Navigator,,,,,,17133.2,14066.1,4148.4,,,,,,625869388.9,542413637.0,105706569.1
JCB-PRM,119346.3,75784.7,87795.2,69147.0,41082.1,23780.4,17937.6,5580.3,49857951643.2,23097769775.1,25138164134.6,13091500772.0,5426528141.2,1212951767.3,1190919776.6,194286675.0
JHU_UNC_GAS-StatMechPool,,,,,33514.4,23171.7,12262.4,9270.7,,,,,4005772304.0,1796939814.2,823831280.3,416224330.7
BPagano-RtDriven,101067.5,101818.3,,,37184.8,24526.9,15050.5,6358.8,33980005344.3,32084129326.6,,,3030013039.9,1387142406.1,1381707445.2,379500439.2
MSRA-DeepST,,,,,31236.5,,,,,,,,7418119858.3,,,
USACE-ERDC_SEIR,,81391.7,79234.2,78688.7,,,,,,16803829889.5,19532275273.3,19439501140.9,,,,
Karlen-pypm,,,,62087.8,35420.1,33061.0,18696.9,9156.8,,,,12309975429.3,3601262961.0,3526459410.8,2643475409.0,1272373285.1
IEM_MED-CovidProject,,,,,35259.0,38250.9,18882.1,5536.5,,,,,3603508170.0,7023307160.0,3888230607.5,280014372.4
CovidAnalytics-DELPHI,,179567.7,130157.8,86294.4,58260.1,33142.6,14311.9,8669.8,,93987930591.2,42300026068.6,17241807601.1,9267376193.0,2928004122.2,2559083680.2,300674463.7
TTU-squider,,,,,51541.7,27872.5,15427.1,7803.4,,,,,23511689389.6,1824431844.5,550442848.3,136281834.6
UChicagoCHATTOPADHYAY-UnIT,,,,,,,8246.6,,,,,,,,181301728.7,
UMich-RidgeTfReg,,,,,,,17846.5,4656.0,,,,,,,3478471732.3,122060364.0
Google_Harvard-CPF,,,,,39614.4,24915.1,25120.3,10796.6,,,,,5244499648.3,1785275783.5,3859868494.5,606022291.8
Wadhwani_AI-BayesOpt,,,,,73430.3,22839.9,23505.8,,,,,,12115087220.4,1467838483.3,1723195352.1,
UVA-Ensemble,,,,,34068.6,34603.2,29924.0,17805.3,,,,,2836761802.9,4425684396.9,8592461916.4,4384135280.3
DDS-NBDS,,,,,60446.5,26146.7,18544.9,49275.9,,,,,15658089094.0,4364492619.0,2428490740.8,59952920670.8
Geneva-DetGrowth,,,,,,,,5450.8,,,,,,,,102100228.8
UCSB-ACTS,,,,,67111.5,41815.1,14642.0,12334.7,,,,,9988348124.8,3397149745.1,501106528.2,617331522.8
IQVIA_ACOE-STAN,,,,,,27300.9,,,,,,,,2889427030.3,,
