,perc_error_2020-09-14_2020-11-07,perc_error_2020-09-21_2020-11-07,perc_error_2020-09-28_2020-11-07,perc_error_2020-10-05_2020-11-07,perc_error_2020-10-12_2020-11-07,perc_error_2020-10-19_2020-11-07,perc_error_2020-10-26_2020-11-07,perc_error_2020-11-02_2020-11-07
Columbia_UNC-SurvCon,-0.457,-0.486,-0.151,-0.150,-0.361,-0.298,-0.253,-0.023
CU-select,,,-0.043,-0.285,-0.281,-0.258,-0.259,-0.285
Karlen-pypm,,,,-0.462,-0.332,-0.238,-0.147,-0.187
QJHong-Encounter,,,,-0.395,-0.244,-0.248,-0.240,-0.263
DDS-NBDS,,,,,-0.255,-0.228,-0.128,-0.148
JCB-PRM,-0.477,-0.483,-0.381,-0.296,-0.278,-0.373,-0.295,-0.299
LNQ-ens1,,,,,-0.284,-0.271,-0.152,-0.194
COVIDhub-baseline,-0.448,-0.388,-0.357,-0.415,-0.402,-0.372,-0.317,-0.320
RobertWalraven-ESG,-0.770,-0.715,,-0.650,-0.540,-0.312,-0.104,-0.149
UMich-RidgeTfReg,,,,,-0.375,-0.304,-0.182,-0.255
USC-SI_kJalpha,-0.703,-0.521,-0.507,-0.440,-0.406,-0.370,-0.287,-0.284
IBF-TimeSeries,-0.511,-0.386,-0.413,,-0.463,-0.362,-0.156,-0.293
Covid19Sim-Simulator,-0.617,-0.712,-0.633,-0.385,-0.387,-0.494,-0.253,-0.303
JHUAPL-Bucky,-0.424,,-0.404,-0.474,-0.459,-0.366,-0.338,-0.293
USACE-ERDC_SEIR,-0.539,-0.357,-0.399,,-0.332,,-0.219,
OliverWyman-Navigator,,,,,,-0.152,-0.198,-0.266
IowaStateLW-STEM,-0.410,-0.489,-0.433,-0.540,-0.533,-0.490,-0.326,-0.298
COVIDhub-ensemble,,,,,-0.406,-0.370,-0.285,-0.295
BPagano-RtDriven,,,,,,-0.241,-0.232,-0.367
UCLA-SuEIR,-0.722,-0.576,-0.560,-0.594,-0.538,-0.516,-0.321,-0.295
CEID-Walk,,,,,-0.404,-0.369,-0.322,-0.317
JHU_IDD-CovidSP,,,-0.478,-0.427,-0.533,-0.530,-0.594,-0.644
LANL-GrowthRate,,-0.670,-0.680,-0.651,-0.594,-0.571,-0.454,-0.202
MSRA-DeepST,,,,,,-0.472,,-0.272
Geneva-DetGrowth,,,,,,,,-0.219
USC-SI_kJalpha_RF,,,,,,,,-0.284
IQVIA_ACOE-STAN,,,,,,,-0.310,-0.322
CovidAnalytics-DELPHI,,-0.742,-0.756,-0.731,-0.696,-0.712,-0.592,-0.589
JHU_CSSE-DECOM,,,,,,,-0.328,
TTU-squider,,,,,-0.720,-0.727,-0.641,-0.500
