,perc_error_2020-07-20_2020-09-12,perc_error_2020-07-27_2020-09-12,perc_error_2020-08-03_2020-09-12,perc_error_2020-08-10_2020-09-12,perc_error_2020-08-17_2020-09-12,perc_error_2020-08-24_2020-09-12,perc_error_2020-08-31_2020-09-12,perc_error_2020-09-07_2020-09-12
USACE-ERDC_SEIR,0.058,0.080,-0.101,-0.119,-0.010,-0.157,0.001,0.130
UCLA-SuEIR,0.496,0.442,0.238,-0.028,0.036,-0.047,0.087,0.117
CovidAnalytics-DELPHI,-0.005,0.197,0.273,0.147,0.029,-0.110,-0.128,-0.103
USC-SI_kJalpha,0.525,-0.187,-0.132,-0.199,-0.117,-0.164,0.004,0.173
Columbia_UNC-SurvCon,0.031,0.016,-0.141,-0.185,0.004,-0.167,-0.030,0.220
Karlen-pypm,,,,0.466,0.181,0.080,0.012,0.110
COVIDhub-ensemble,,,,,0.031,-0.083,0.017,0.131
LNQ-ens1,,,,,0.029,-0.121,0.028,0.131
JHU_IDD-CovidSP,,,,0.458,0.336,0.136,0.014,0.032
LANL-GrowthRate,,-0.282,-0.298,-0.258,-0.232,-0.286,-0.195,-0.127
QJHong-Encounter,,,,0.187,0.258,0.135,-0.047,0.205
COVIDhub-baseline,0.344,0.416,0.420,0.268,0.289,0.115,0.106,0.177
DDS-NBDS,,,,,0.421,0.011,0.060,0.132
Covid19Sim-Simulator,0.776,0.862,0.520,,-0.096,-0.268,-0.134,0.011
CEID-Walk,,,,,0.266,0.111,0.106,0.168
OliverWyman-Navigator,,,,,,-0.100,0.011,0.229
CU-select,,,,0.273,0.540,0.064,0.164,0.240
UMich-RidgeTfReg,,,,,0.503,-0.141,-0.067,0.176
TTU-squider,,,,,0.029,0.347,,
IowaStateLW-STEM,0.480,0.360,0.341,,0.122,0.178,0.258,0.351
JHUAPL-Bucky,,,,,,,-0.010,0.326
RobertWalraven-ESG,,,,,-0.233,-0.232,-0.237,-0.211
IBF-TimeSeries,,,,,,,,0.023
IHME-CurveFit,0.973,1.019,1.298,1.821,,,,
Geneva-DetGrowth,,,,,,,,0.168
JCB-PRM,,,,,,,,0.175
IQVIA_ACOE-STAN,,,,,,,0.205,0.247
