,mean_abs_error_2020-07-06_2020-08-08,mean_abs_error_2020-07-13_2020-08-08,mean_abs_error_2020-07-20_2020-08-08,mean_abs_error_2020-07-27_2020-08-08,mean_abs_error_2020-08-03_2020-08-08,mean_sq_abs_error_2020-07-06_2020-08-08,mean_sq_abs_error_2020-07-13_2020-08-08,mean_sq_abs_error_2020-07-20_2020-08-08,mean_sq_abs_error_2020-07-27_2020-08-08,mean_sq_abs_error_2020-08-03_2020-08-08
COVIDhub-baseline,240.4,173.6,133.9,83.8,41.4,1395647.2,707488.9,488351.6,181892.0,66509.3
LNQ-ens1,,,151.2,63.5,33.1,,,633848.4,97789.6,32417.4
COVIDhub-ensemble,,,149.9,67.7,35.3,,,659130.3,139413.9,53807.6
LANL-GrowthRate,465.4,316.1,198.0,87.7,38.9,6155764.7,2578976.2,1742509.2,199847.5,41095.7
USC-SI_kJalpha,528.1,359.4,300.1,72.7,38.8,5666556.3,1914213.4,1111498.9,126525.3,30440.1
JHU_IDD-CovidSP,394.6,257.3,174.9,104.4,48.9,3538146.3,1737327.4,785582.7,136099.3,26848.6
IowaStateLW-STEM,401.5,443.7,239.0,116.1,54.4,3141565.3,5368534.0,15300559.2,432360.4,107324.8
OliverWyman-Navigator,252.8,,307.1,121.7,42.2,909371.1,,2997341.8,322053.1,48613.4
CU-select,881.1,490.9,288.9,117.0,48.9,34966605.1,10484303.6,4124588.9,381724.8,121027.7
UCLA-SuEIR,,,,90.4,43.1,,,,261557.1,64698.7
RobertWalraven-ESG,,,,,42.7,,,,,42411.5
