,mean_abs_error_2020-11-16_2021-01-09,mean_abs_error_2020-11-23_2021-01-09,mean_abs_error_2020-11-30_2021-01-09,mean_abs_error_2020-12-07_2021-01-09,mean_abs_error_2020-12-14_2021-01-09,mean_abs_error_2020-12-21_2021-01-09,mean_abs_error_2020-12-28_2021-01-09,mean_abs_error_2021-01-04_2021-01-09,mean_sq_abs_error_2020-11-16_2021-01-09,mean_sq_abs_error_2020-11-23_2021-01-09,mean_sq_abs_error_2020-11-30_2021-01-09,mean_sq_abs_error_2020-12-07_2021-01-09,mean_sq_abs_error_2020-12-14_2021-01-09,mean_sq_abs_error_2020-12-21_2021-01-09,mean_sq_abs_error_2020-12-28_2021-01-09,mean_sq_abs_error_2021-01-04_2021-01-09
COVIDhub-baseline,1788.0,1439.2,1183.0,806.0,531.5,269.4,222.1,107.2,98751602.1,66651236.8,54234929.5,24818204.5,6278185.1,949961.5,809955.7,161528.1
OneQuietNight-ML,,1289.1,994.8,,445.6,208.5,203.8,110.8,,68491915.7,38300997.9,,9428480.9,638199.2,760352.5,172637.1
LANL-GrowthRate,,,1079.7,658.7,536.1,458.9,318.8,142.0,,,30715705.6,5587647.3,13788524.6,15107372.3,3419957.9,252206.4
COVIDhub-ensemble,,,,,387.9,224.2,242.1,132.8,,,,,2151410.5,912430.9,798167.6,203961.7
LNQ-ens1,,,,,366.2,244.2,314.6,123.6,,,,,1258307.0,1309975.4,1242795.4,142858.8
JHU_IDD-CovidSP,,,1037.6,851.5,637.6,371.6,325.0,225.8,,,46089495.6,27071498.0,20732906.7,3911569.2,2007253.0,894364.9
CU-select,,,1185.7,907.6,600.3,390.2,335.7,131.8,,,66710871.5,18626749.7,7355747.2,4052110.5,1935166.0,499515.0
IowaStateLW-STEM,1982.1,1679.8,1244.3,1000.5,635.9,352.7,229.6,155.5,126202629.9,100948362.0,64404115.1,47795899.6,12338062.0,2022046.3,1347510.3,382271.7
PandemicCentral-USCounty,,,,,509.5,321.4,256.9,170.0,,,,,4525576.3,2079818.9,992375.6,441253.1
OliverWyman-Navigator,,,,,,390.9,222.0,120.6,,,,,,2328549.2,1209162.8,244394.1
CEID-Walk,,,,,,,223.8,109.0,,,,,,,816942.2,166164.7
FAIR-NRAR,,,,,,319.4,287.2,199.8,,,,,,1554517.7,1369769.7,567301.1
JHUAPL-Bucky,4566.0,3965.1,1629.7,1057.5,1080.2,768.8,410.9,111.4,300981594.7,271132079.8,41225236.3,23972087.9,53444972.8,24620349.0,6459288.3,230275.8
Microsoft-DeepSTIA,,,,,610.2,,,,,,,,20304739.3,,,
Google_Harvard-CPF,,,,,711.1,1340.7,318.9,259.0,,,,,15726928.7,792496853.3,2086864.4,1167037.1
UVA-Ensemble,,,,,912.3,713.6,568.7,398.8,,,,,26394027.3,29280034.2,16424710.8,38651455.9
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,145.4,,,,,,,,464272.1
UpstateSU-GRU,,,,,,,,186.6,,,,,,,,533189.6
MITCovAlliance-SIR,,,,,,,751.7,427.3,,,,,,,9556577.7,2488625.8
