,mean_abs_error_2020-08-24_2020-10-17,mean_abs_error_2020-08-31_2020-10-17,mean_abs_error_2020-09-07_2020-10-17,mean_abs_error_2020-09-14_2020-10-17,mean_abs_error_2020-09-21_2020-10-17,mean_abs_error_2020-09-28_2020-10-17,mean_abs_error_2020-10-05_2020-10-17,mean_abs_error_2020-10-12_2020-10-17,mean_sq_abs_error_2020-08-24_2020-10-17,mean_sq_abs_error_2020-08-31_2020-10-17,mean_sq_abs_error_2020-09-07_2020-10-17,mean_sq_abs_error_2020-09-14_2020-10-17,mean_sq_abs_error_2020-09-21_2020-10-17,mean_sq_abs_error_2020-09-28_2020-10-17,mean_sq_abs_error_2020-10-05_2020-10-17,mean_sq_abs_error_2020-10-12_2020-10-17
COVIDhub-baseline,16122.0,11202.7,9000.7,9168.9,5943.2,4623.0,2725.2,1195.5,953199917.8,364754957.7,229679373.1,200063770.7,67787620.1,61552987.5,14835016.1,4354969.9
JCB-PRM,,,9696.5,10531.8,7219.5,3518.6,2447.4,1129.8,,,263920908.1,368571763.7,135370334.4,22674562.7,13315269.4,2887920.6
Covid19Sim-Simulator,19390.4,12462.8,9599.1,10341.5,8654.8,5290.3,2973.0,1628.5,648253028.0,294462247.9,244572678.8,272880770.9,181930851.4,49346185.1,18615268.3,6202441.4
JHUAPL-Bucky,,,,8032.8,5641.6,4964.2,3235.8,1374.1,,,,143966955.7,55281679.2,54477730.7,21628147.8,4772055.8
USC-SI_kJalpha,25282.9,18889.7,12693.4,15907.5,7586.0,5115.4,2775.3,1203.3,1135283583.2,776030685.3,379605183.7,618435948.4,103181738.7,49736729.0,15455177.3,4205034.2
LNQ-ens1,,,,,6180.3,3504.5,2977.6,867.2,,,,,71234633.2,23087875.3,18434080.2,2378164.7
CEID-Walk,,,,,5771.9,4634.8,2796.0,1232.8,,,,,64700314.4,61463774.0,15112532.4,4903308.7
IowaStateLW-STEM,23073.3,13989.5,12174.0,9644.0,7967.8,6081.7,4123.0,1895.1,1952855003.9,498913119.7,773024192.9,165139110.2,116036101.8,105533786.2,29904354.6,7389042.2
CU-select,,,19417.0,12903.0,9227.0,5826.2,3012.0,1340.8,,,1576113634.2,469635974.6,362182101.7,82521036.1,29338283.4,4609191.7
USACE-ERDC_SEIR,22649.5,17370.8,12459.0,12981.5,10175.8,5222.4,,1151.2,1296588526.8,875203514.8,391896175.8,396223437.4,421525422.5,81283379.9,,3701432.7
COVIDhub-ensemble,,,,,6827.5,4538.7,3369.8,1443.6,,,,,86149337.3,34392944.9,20991751.5,5614591.5
OliverWyman-Navigator,,,,,,6034.0,2313.1,890.7,,,,,,139523800.3,13893389.4,2935062.4
UMich-RidgeTfReg,,,,,7595.1,5592.5,3137.7,1433.1,,,,,102943468.5,67160028.4,21876542.9,5779809.0
Karlen-pypm,,,,12273.6,8829.9,5875.1,4229.9,1579.0,,,,337854733.3,200777467.8,67783667.6,39546693.2,7121117.3
UCLA-SuEIR,19336.6,15254.7,12869.5,14577.9,8888.6,6238.6,4508.6,1620.7,967370916.4,565595510.2,388893356.7,484088177.0,155381763.3,62629219.0,35623786.9,6827475.9
JHU_IDD-CovidSP,,,12223.8,12723.3,11364.8,6956.1,4835.7,3197.7,,,384974560.6,426092078.2,317163330.6,104906885.2,44688698.8,20596732.7
LANL-GrowthRate,,21359.3,18412.5,15703.3,10585.9,7353.7,5253.3,1524.8,,955801697.2,729051134.0,502458902.1,217160283.7,101483792.4,61413281.6,6851137.2
IQVIA_ACOE-STAN,,,,,,,2707.4,1254.5,,,,,,,14929115.8,4784388.6
DDS-NBDS,,,,,18281.9,6724.2,3241.1,1450.9,,,,,1243561633.7,157581281.7,20723641.9,4925722.5
RobertWalraven-ESG,21817.2,23648.4,21797.5,19841.4,14298.1,10647.7,4925.9,1729.8,846798757.1,1221063327.8,969299065.7,832032817.4,492533860.1,239351358.7,45049208.3,12287431.6
Geneva-DetGrowth,,,,,,,,1175.2,,,,,,,,3478713.4
JHU_CSSE-DECOM,,,,,,,3140.1,,,,,,,,24940493.2,
CovidAnalytics-DELPHI,,22843.8,19507.5,17958.7,15270.1,11990.5,7773.0,3778.9,,997061089.3,743856646.2,662000025.4,480872521.2,266925456.8,113401873.8,31200034.2
TTU-squider,,,,,,12014.7,7292.8,3831.2,,,,,,508750706.9,120708802.0,33862713.9
Google_Harvard-CPF,,,,,,,,2820.6,,,,,,,,17837890.1
