,mean_abs_error_2020-10-26_2020-12-19,mean_abs_error_2020-11-02_2020-12-19,mean_abs_error_2020-11-09_2020-12-19,mean_abs_error_2020-11-16_2020-12-19,mean_abs_error_2020-11-23_2020-12-19,mean_abs_error_2020-11-30_2020-12-19,mean_abs_error_2020-12-07_2020-12-19,mean_abs_error_2020-12-14_2020-12-19,mean_sq_abs_error_2020-10-26_2020-12-19,mean_sq_abs_error_2020-11-02_2020-12-19,mean_sq_abs_error_2020-11-09_2020-12-19,mean_sq_abs_error_2020-11-16_2020-12-19,mean_sq_abs_error_2020-11-23_2020-12-19,mean_sq_abs_error_2020-11-30_2020-12-19,mean_sq_abs_error_2020-12-07_2020-12-19,mean_sq_abs_error_2020-12-14_2020-12-19
LANL-GrowthRate,,,1152.1,1107.9,670.3,448.3,234.3,92.7,,,27803161.8,23339754.7,7223128.0,3798273.4,797192.8,118829.5
COVIDhub-baseline,1747.8,1549.5,1186.3,879.5,630.9,466.8,261.3,107.7,43198456.2,40970862.1,28981926.2,20375854.4,11336370.4,8394484.9,2897401.9,376620.6
LNQ-ens1,,,,,520.8,449.4,191.4,77.0,,,,,6809096.1,7899519.2,727118.9,119166.9
CU-select,,,1232.5,848.5,625.8,504.0,293.3,103.7,,,23413279.7,14827827.4,7922752.3,10110903.2,1947865.9,129619.8
COVIDhub-ensemble,,,,,568.5,436.7,224.5,88.2,,,,,8345120.3,7091152.5,2253761.2,204742.7
OneQuietNight-ML,,,,,608.0,373.6,217.4,93.6,,,,,10938913.4,5804846.9,2780397.7,386974.2
JHU_IDD-CovidSP,,,,778.4,611.6,501.5,361.6,178.6,,,,18047237.7,10940147.3,9353618.2,4729125.5,1583249.5
IowaStateLW-STEM,1869.4,1647.4,1357.1,997.4,745.1,499.0,338.1,144.4,56892753.1,49915162.7,38525837.5,26998146.5,17667113.2,9648729.7,5162891.3,628694.3
CEID-Walk,,,,,632.2,467.1,263.0,107.6,,,,,11635209.5,8470944.6,2888634.0,393969.5
OliverWyman-Navigator,,,,,,387.4,231.0,110.8,,,,,,4079324.2,2289864.6,277922.9
JHUAPL-Bucky,2049.6,1824.8,1570.9,2147.2,1541.0,574.1,304.5,156.0,65820441.1,50768836.8,43559261.3,73764549.5,45616569.4,5296952.4,1774965.9,476164.6
UChicagoCHATTOPADHYAY-UnIT,,,,,,,273.4,119.7,,,,,,,2898392.9,600035.6
USC-SI_kJalpha,2084.2,1908.0,1595.6,,,,,,49243526.3,43514394.7,35343390.1,,,,,
Google_Harvard-CPF,,,,,845.9,612.6,311.0,136.1,,,,,22095769.6,11058746.8,3144166.4,387761.2
Microsoft-DeepSTIA,,,,,,,,92.9,,,,,,,,657774.2
FAIR-NRAR,,,,,,,276.5,163.9,,,,,,,3133754.1,1206382.4
UVA-Ensemble,,,,,758.2,518.5,376.8,322.2,,,,,9717955.0,3855542.4,2335495.4,17795690.5
PandemicCentral-USCounty,,,,,,,828.2,137.7,,,,,,,15205528.0,746169.7
MITCovAlliance-SIR,2480.9,,,,,,,,78270279.2,,,,,,,
