,perc_error_2020-07-06_2020-07-25,perc_error_2020-07-13_2020-08-01,perc_error_2020-07-20_2020-08-08,perc_error_2020-07-27_2020-08-15,perc_error_2020-08-03_2020-08-22,perc_error_2020-08-10_2020-08-29,perc_error_2020-08-17_2020-09-05,perc_error_2020-08-24_2020-09-12,perc_error_2020-08-31_2020-09-19,perc_error_2020-09-07_2020-09-26,perc_error_2020-09-14_2020-10-03,perc_error_2020-09-21_2020-10-10,perc_error_2020-09-28_2020-10-17,perc_error_2020-10-05_2020-10-24,perc_error_2020-10-12_2020-10-31,perc_error_2020-10-19_2020-11-07,perc_error_2020-10-26_2020-11-14,perc_error_2020-11-02_2020-11-21,perc_error_2020-11-09_2020-11-28,perc_error_2020-11-16_2020-12-05,perc_error_2020-11-23_2020-12-12,perc_error_2020-11-30_2020-12-19,perc_error_2020-12-07_2020-12-26,perc_error_2020-12-14_2021-01-02,perc_error_2020-12-21_2021-01-09,perc_error_2020-12-28_2021-01-16,perc_error_2021-01-04_2021-01-23,perc_error_2021-01-11_2021-01-30,perc_error_2021-01-18_2021-02-06,perc_error_2021-01-25_2021-02-13,perc_error_2021-02-01_2021-02-20,perc_error_2021-02-08_2021-02-27,perc_error_2021-02-15_2021-03-06
CovidAnalytics-DELPHI,-0.303,-0.277,-0.134,0.044,0.196,0.136,0.023,-0.110,-0.200,-0.319,-0.452,-0.529,-0.594,-0.614,-0.628,-0.712,-0.653,-0.651,-0.524,-0.321,0.370,0.271,0.269,0.277,0.032,0.020,-0.138,0.351,0.886,0.876,0.523,0.135,0.007
IBF-TimeSeries,,,,,,,,,,-0.109,-0.286,-0.124,-0.188,,-0.372,-0.362,-0.313,-0.428,-0.281,-0.071,-0.058,-0.219,0.019,0.136,-0.004,-0.206,0.060,0.433,0.444,0.317,0.547,0.543,0.538
TTU-squider,,,,,,,0.030,0.347,,,0.263,,-0.040,-0.612,-0.654,-0.727,-0.706,-0.573,-0.523,-0.387,-0.179,0.020,-0.232,-0.029,0.004,-0.058,-0.100,-0.023,0.102,0.200,0.330,0.441,0.308
JCB-PRM,,,,,,,,,,-0.011,-0.181,-0.162,-0.135,-0.149,-0.176,-0.373,-0.373,-0.425,-0.362,-0.082,0.121,0.091,0.106,0.269,0.312,0.169,,,,,,,
BPagano-RtDriven,,,,,,,,,,,,,,,,-0.241,-0.304,-0.435,-0.170,0.110,0.238,-0.063,0.134,0.247,0.120,0.048,-0.006,0.257,0.481,0.390,0.443,0.146,0.030
JHU_IDD-CovidSP,-0.269,-0.282,-0.133,0.287,0.392,0.342,0.275,0.136,-0.023,-0.138,-0.307,-0.381,-0.282,-0.310,-0.477,-0.530,-0.635,-0.688,,-0.274,-0.238,-0.322,-0.299,-0.218,-0.189,-0.297,-0.327,-0.140,0.144,0.237,0.295,0.310,0.593
UCF-AEM,,,,,,,,,,,,,,,,,,,,-0.260,-0.033,-0.207,-0.001,0.111,0.010,-0.113,0.030,0.431,0.393,0.277,0.364,0.288,0.145
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,-0.053,0.083,0.090,-0.151,-0.061,0.308,0.507,0.574,0.401,0.149,-0.020
IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,0.097,0.223,0.075,-0.093,-0.116,0.581,0.512,0.067,0.159,0.074,-0.110
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,0.536,0.080,0.367,0.259,0.145,-0.055,0.008,0.319,0.547,0.504,0.558,0.247,-0.231
UVA-Ensemble,,,,,,,,,,,,,,,,,,,,0.133,0.003,0.033,0.109,0.382,0.399,-0.147,0.257,0.561,0.902,0.916,0.358,,0.091
MSRA-DeepST,,,,,,,,,,,,,,,,-0.472,,-0.448,-0.326,0.050,0.135,-0.150,-0.075,,,,,,,,,,
