,mean_abs_error_2020-10-19_2020-12-12,mean_abs_error_2020-10-26_2020-12-12,mean_abs_error_2020-11-02_2020-12-12,mean_abs_error_2020-11-09_2020-12-12,mean_abs_error_2020-11-16_2020-12-12,mean_abs_error_2020-11-23_2020-12-12,mean_abs_error_2020-11-30_2020-12-12,mean_abs_error_2020-12-07_2020-12-12,mean_sq_abs_error_2020-10-19_2020-12-12,mean_sq_abs_error_2020-10-26_2020-12-12,mean_sq_abs_error_2020-11-02_2020-12-12,mean_sq_abs_error_2020-11-09_2020-12-12,mean_sq_abs_error_2020-11-16_2020-12-12,mean_sq_abs_error_2020-11-23_2020-12-12,mean_sq_abs_error_2020-11-30_2020-12-12,mean_sq_abs_error_2020-12-07_2020-12-12
LANL-GrowthRate,,112780.6,53794.9,41316.5,40457.4,16900.9,12606.1,4030.5,,25896379928.2,7581252739.6,5238271190.7,5865121784.4,740781144.7,472411539.7,57552565.3
CU-select,,,56416.3,33206.5,22964.7,15234.8,14437.2,5093.4,,,9311868445.1,3909034882.6,1736540570.5,660119453.8,846674985.3,114268613.6
COVIDhub-baseline,98317.8,85610.7,74401.0,52382.0,31969.1,20268.4,14256.5,5514.1,19960710102.1,15197061677.3,12570413949.7,7270535603.2,3559913172.8,1453485065.3,867984260.6,168558058.0
BPagano-RtDriven,81470.3,76107.5,71739.7,47298.7,44563.2,30967.6,12195.8,5593.3,15068617906.4,12452734032.6,11090330501.0,5639369936.0,6198155459.9,2747293403.1,336531750.3,89142434.6
COVIDhub-ensemble,,,,,30382.6,17219.0,11935.2,4449.7,,,,,2902653372.4,832949518.8,617293303.6,106197661.0
LNQ-ens1,,,,,27040.6,13639.6,14536.2,3125.9,,,,,1951110485.1,561519515.1,721763772.2,30316886.6
MSRA-DeepST,,,,,29485.4,20438.2,12039.8,4504.6,,,,,2998204946.4,1276407551.9,929831880.2,125812029.1
IowaStateLW-STEM,114940.0,92590.1,77146.3,58472.6,33204.5,23339.3,12348.0,5470.6,26689307156.5,18166568535.4,13355250939.1,9139554297.2,3462404797.8,1817572937.1,697051499.6,143982518.5
USC-SI_kJalpha,104850.6,92813.7,77307.5,64394.1,46299.6,19388.3,14373.3,4422.1,22929893596.1,16489710555.6,12920079260.2,8597163486.6,4089947015.1,957629860.4,926037610.4,89625220.2
JHUAPL-Bucky,96486.8,86951.9,72033.8,54624.5,74028.9,39376.1,11427.5,4976.6,21157508799.9,17514410666.9,11737792453.6,7916989002.6,15519105311.3,6870788189.1,319612678.6,79835915.7
Covid19Sim-Simulator,107899.2,82841.8,69891.0,51344.9,,19985.4,14566.5,6473.5,23962512978.7,14259737813.1,10886550640.7,7095115371.8,,1466427138.2,876786337.9,188012715.3
JCB-PRM,101831.9,70995.4,72164.2,59026.7,29303.5,25754.4,16074.2,6571.1,20776118288.1,12589331695.3,11950596076.9,8922248600.3,2988601221.0,2269716151.2,775801291.7,209941838.4
UCLA-SuEIR,130218.2,117080.2,100016.7,75908.7,51851.3,19901.9,13922.0,5402.0,32242417838.9,26701232811.6,21650199818.2,13641508731.2,7740258596.7,1355048441.1,755322352.8,141898337.2
Karlen-pypm,,,,49008.0,59258.7,34648.1,13551.5,4860.5,,,,7330079057.4,9617399430.8,2744466177.4,461759180.0,86493637.8
CEID-Walk,,,,,32157.4,20508.1,14359.1,5375.6,,,,,3596427702.5,1413959017.5,871775960.2,164521988.4
OliverWyman-Navigator,,,,,,20843.8,9160.7,4593.5,,,,,,1119976190.4,360914161.1,132552265.2
JHU_CSSE-DECOM,,,,,30937.3,25366.5,11431.0,6128.0,,,,,3056012997.1,1442197931.2,593914680.8,332077311.9
OneQuietNight-ML,,,,,,22329.4,9577.3,4507.3,,,,,,1298683302.6,431112469.3,121673499.1
Google_Harvard-CPF,,,,,43951.3,24985.5,13523.3,5080.7,,,,,6177435634.0,2230024859.1,634776399.4,65167484.6
