,mean_abs_error_2020-07-06_2020-07-25,mean_abs_error_2020-07-13_2020-07-25,mean_abs_error_2020-07-20_2020-07-25,mean_sq_abs_error_2020-07-06_2020-07-25,mean_sq_abs_error_2020-07-13_2020-07-25,mean_sq_abs_error_2020-07-20_2020-07-25
COVIDhub-baseline,140.1,80.1,37.0,608613.5,146471.6,29361.5
LANL-GrowthRate,201.1,111.9,43.2,1017510.3,280313.1,50213.4
OliverWyman-Navigator,177.7,,52.7,880761.7,,78647.9
USC-SI_kJalpha,252.4,130.6,62.8,1457408.4,339619.4,59003.5
JHU_IDD-CovidSP,249.3,145.4,67.3,1722502.5,732147.4,167209.9
LNQ-ens1,,,35.5,,,27894.0
IowaStateLW-STEM,198.3,189.8,71.8,702658.5,1237430.4,1609340.9
CU-select,380.7,148.2,53.0,6240911.0,754900.7,80423.0
COVIDhub-ensemble,,,35.6,,,27970.0
