,perc_error_2020-07-06_2020-08-01,perc_error_2020-07-13_2020-08-01,perc_error_2020-07-20_2020-08-01,perc_error_2020-07-27_2020-08-01
Columbia_UNC-SurvCon,0.204,-0.031,0.012,-0.021
IowaStateLW-STEM,-0.043,0.081,0.199,0.096
UCLA-SuEIR,-0.185,0.020,0.114,0.231
UMich-RidgeTfReg,-0.338,0.008,-0.013,-0.148
COVIDhub-baseline,-0.259,-0.114,0.026,0.057
USC-SI_kJalpha,0.144,0.174,0.220,-0.026
USACE-ERDC_SEIR,-0.308,-0.206,-0.030,-0.025
RobertWalraven-ESG,-0.939,-0.104,0.152,-0.037
CovidAnalytics-DELPHI,-0.303,-0.277,-0.174,-0.056
Covid19Sim-Simulator,0.022,0.114,0.300,0.458
JHU_IDD-CovidSP,-0.242,-0.282,-0.243,0.036
QJHong-Encounter,,0.169,0.254,-0.013
LANL-GrowthRate,-0.420,-0.303,-0.104,-0.138
COVIDhub-ensemble,,,0.176,0.029
LNQ-ens1,,0.061,0.821,0.255
OliverWyman-Navigator,,0.488,0.405,0.186
Geneva-DetGrowth,,,,0.098
DDS-NBDS,,,,-0.210
IHME-CurveFit,,,0.780,0.826
Karlen-pypm,,,,0.308
