,perc_error_2020-07-13_2020-09-05,perc_error_2020-07-20_2020-09-05,perc_error_2020-07-27_2020-09-05,perc_error_2020-08-03_2020-09-05,perc_error_2020-08-10_2020-09-05,perc_error_2020-08-17_2020-09-05,perc_error_2020-08-24_2020-09-05,perc_error_2020-08-31_2020-09-05
UCLA-SuEIR,0.292,0.453,0.410,0.222,-0.026,0.037,-0.073,0.001
USACE-ERDC_SEIR,-0.271,0.062,0.078,-0.088,-0.103,0.001,-0.153,-0.061
USC-SI_kJalpha,0.465,0.535,-0.145,-0.083,-0.151,-0.083,-0.137,-0.028
Columbia_UNC-SurvCon,0.085,0.030,0.014,-0.118,-0.162,0.009,-0.152,-0.075
CovidAnalytics-DELPHI,-0.176,-0.029,0.160,0.240,0.129,0.023,-0.109,-0.148
QJHong-Encounter,,,,0.074,0.092,0.182,0.050,-0.090
COVIDhub-baseline,0.081,0.288,0.355,0.359,0.211,0.231,0.052,0.013
LNQ-ens1,,,,,-0.035,0.030,-0.124,-0.039
DDS-NBDS,,,,,0.043,0.285,-0.022,-0.042
CEID-Walk,,,,,0.186,0.219,0.042,0.009
COVIDhub-ensemble,,,,,0.152,0.030,-0.096,-0.058
Karlen-pypm,,,,0.984,0.385,0.145,0.044,-0.046
CU-select,,,,,0.202,0.404,-0.023,-0.033
LANL-GrowthRate,,-0.221,-0.257,-0.272,-0.232,-0.202,-0.265,-0.186
IowaStateLW-STEM,0.475,0.430,0.315,0.301,,0.101,0.142,0.180
OliverWyman-Navigator,,,,,,0.043,-0.095,-0.053
JHU_IDD-CovidSP,,,,0.534,0.389,0.275,0.081,-0.059
Covid19Sim-Simulator,0.613,0.691,0.793,0.482,,-0.123,-0.294,-0.139
TTU-squider,,,,,,0.030,0.328,
Geneva-DetGrowth,,,,,,,,0.005
UMich-RidgeTfReg,,,,,0.325,0.305,-0.226,-0.263
RobertWalraven-ESG,,,,,0.533,-0.223,-0.232,-0.282
IHME-CurveFit,,0.948,1.011,1.241,1.667,,,
IQVIA_ACOE-STAN,,,,,,,,0.100
JHUAPL-Bucky,,,,,,,,-0.109
