,mean_abs_error_2020-07-06_2020-07-18,mean_abs_error_2020-07-13_2020-07-18,mean_sq_abs_error_2020-07-06_2020-07-18,mean_sq_abs_error_2020-07-13_2020-07-18
COVIDhub-baseline,83.2,36.9,277622.4,37643.5
LANL-GrowthRate,113.4,59.7,387395.3,113117.6
OliverWyman-Navigator,82.5,,155884.4,
USC-SI_kJalpha,126.2,52.8,418052.5,82006.7
CU-select,178.7,48.9,1269900.7,65206.2
IowaStateLW-STEM,117.4,87.7,235583.2,294332.4
JHU_IDD-CovidSP,164.3,75.9,798176.9,215082.2
