,mean_abs_error_2020-08-03_2020-09-26,mean_abs_error_2020-08-10_2020-09-26,mean_abs_error_2020-08-17_2020-09-26,mean_abs_error_2020-08-24_2020-09-26,mean_abs_error_2020-08-31_2020-09-26,mean_abs_error_2020-09-07_2020-09-26,mean_abs_error_2020-09-14_2020-09-26,mean_abs_error_2020-09-21_2020-09-26,mean_sq_abs_error_2020-08-03_2020-09-26,mean_sq_abs_error_2020-08-10_2020-09-26,mean_sq_abs_error_2020-08-17_2020-09-26,mean_sq_abs_error_2020-08-24_2020-09-26,mean_sq_abs_error_2020-08-31_2020-09-26,mean_sq_abs_error_2020-09-07_2020-09-26,mean_sq_abs_error_2020-09-14_2020-09-26,mean_sq_abs_error_2020-09-21_2020-09-26
COVIDhub-baseline,24608.1,15354.0,13282.7,7233.2,4347.6,3430.7,2478.0,1069.2,3320245502.6,1077567683.5,1303240808.2,266685424.3,72329479.7,41138663.3,30698877.7,7485912.4
Covid19Sim-Simulator,27655.1,,,8845.5,4292.7,3312.9,2579.5,1345.4,3630888019.2,,,163750695.3,43887751.7,49324113.1,33403973.1,12615749.7
USC-SI_kJalpha,16198.6,14271.8,10664.4,9444.5,5879.8,3408.8,3659.1,1302.5,891041695.2,506334776.6,262296089.9,188046652.2,93894548.5,35406356.6,59331371.4,8407382.1
LNQ-ens1,,,,,3883.9,2719.1,2783.9,1091.3,,,,,37586528.3,26973489.9,34278721.2,8003901.7
CEID-Walk,,,,,4318.1,3166.7,2494.5,1118.0,,,,,74102085.0,33049450.1,31093693.8,7423551.0
COVIDhub-ensemble,,,,,4130.8,2814.7,2770.5,1180.4,,,,,43905618.1,27547829.9,33419470.2,8607087.4
UCLA-SuEIR,18251.2,10705.3,13420.3,9008.6,5891.6,4020.1,3545.3,1173.4,1418697698.6,260060154.0,735882160.6,279836954.8,115630264.8,52826429.6,48860344.8,8185160.8
USACE-ERDC_SEIR,15724.2,14134.7,10681.6,9515.1,7332.8,3589.6,3142.1,1740.3,919926294.9,484770880.9,473588095.5,274397711.1,165895857.9,53283548.6,35136553.8,23226047.4
JHUAPL-Bucky,,,,,6098.7,4142.7,2065.2,1107.5,,,,,89656798.2,43591695.4,21017050.7,6222144.2
IowaStateLW-STEM,24081.5,,12293.6,11813.4,5616.8,4673.0,2613.2,1485.4,3075593576.4,,841937965.8,763787983.4,139972735.7,204853111.2,18429230.2,7211861.3
UMich-RidgeTfReg,,,,,5073.5,3720.1,2525.1,1368.4,,,,,80216877.9,52631028.9,21731354.5,8397540.5
LANL-GrowthRate,,15333.3,11689.2,10819.4,6999.5,4633.0,3300.1,1435.2,,683042543.3,229670022.4,247649916.2,137853636.1,79545221.3,36409562.2,10989076.3
Karlen-pypm,,,,8799.3,5635.1,4451.6,3326.2,1586.5,,,,213613076.8,72654193.5,54115142.0,36558463.8,14926872.4
JHU_IDD-CovidSP,,,,7112.5,5707.2,4537.0,3946.6,2245.9,,,,177455986.7,82452183.9,61818652.0,57846964.8,24913710.1
CU-select,,,25127.3,6639.0,8794.0,7276.3,2788.3,1749.5,,,7219711550.6,130953887.5,351580239.5,203397123.0,28678680.5,18737050.2
DDS-NBDS,,,,,6079.8,3762.7,3131.4,1186.9,,,,,80907951.4,45709205.5,38180904.2,8280162.1
JCB-PRM,,,,,,3077.6,2793.1,1212.8,,,,,,42924432.6,47996754.9,10227582.7
IQVIA_ACOE-STAN,,,,,,,2226.3,1180.2,,,,,,,24926320.0,8166169.2
RobertWalraven-ESG,,,11855.4,9593.1,9558.6,7114.3,5575.7,2549.7,,,331928709.2,179234301.8,247394937.1,139825410.6,102174411.4,34351596.6
OliverWyman-Navigator,,,,,,,2348.8,1528.7,,,,,,,25223405.7,16839695.5
Geneva-DetGrowth,,,,,,,,1039.5,,,,,,,,7178979.9
CovidAnalytics-DELPHI,,26424.7,17996.4,11757.8,9632.7,7125.5,5222.8,2844.4,,3912260493.5,1484669142.2,322879905.5,214078114.2,99539423.8,66668381.7,26312687.1
TTU-squider,,,,,,,8090.3,,,,,,,,245348030.0,
IHME-CurveFit,72339.3,82199.6,,,,,,,44101226810.5,46372168049.8,,,,,,
