,perc_error_2020-08-31_2020-10-24,perc_error_2020-09-07_2020-10-24,perc_error_2020-09-14_2020-10-24,perc_error_2020-09-21_2020-10-24,perc_error_2020-09-28_2020-10-24,perc_error_2020-10-05_2020-10-24,perc_error_2020-10-12_2020-10-24,perc_error_2020-10-19_2020-10-24
CU-select,-0.127,0.085,0.125,0.107,0.078,-0.124,-0.145,-0.141
QJHong-Encounter,-0.568,-0.435,-0.521,-0.167,-0.061,-0.221,-0.107,-0.083
Columbia_UNC-SurvCon,-0.375,-0.046,-0.309,-0.339,-0.004,-0.018,-0.208,-0.158
JCB-PRM,,-0.335,-0.331,-0.303,-0.199,-0.133,-0.109,-0.209
UMich-RidgeTfReg,-0.601,-0.520,-0.555,-0.349,-0.107,-0.177,-0.184,-0.111
LNQ-ens1,-0.593,-0.546,-0.558,-0.338,-0.157,-0.223,-0.111,-0.091
COVIDhub-baseline,-0.101,-0.145,-0.309,-0.223,-0.171,-0.239,-0.217,-0.171
OliverWyman-Navigator,-0.700,-0.607,-0.632,-0.443,-0.219,-0.072,-0.047,-0.047
DDS-NBDS,-0.586,-0.503,-0.572,0.238,0.413,-0.204,-0.153,-0.129
JHUAPL-Bucky,-0.581,-0.464,-0.255,-0.143,-0.214,-0.290,-0.258,-0.211
CEID-Walk,-0.551,-0.510,-0.554,-0.376,-0.145,-0.222,-0.220,-0.168
Karlen-pypm,-0.519,-0.459,-0.445,-0.354,-0.285,-0.312,-0.185,-0.108
USC-SI_kJalpha,-0.495,-0.428,-0.557,-0.303,-0.266,-0.241,-0.191,-0.151
USACE-ERDC_SEIR,-0.365,-0.299,-0.369,-0.099,-0.185,,-0.128,
IowaStateLW-STEM,-0.071,-0.112,-0.243,-0.325,-0.242,-0.360,-0.341,-0.274
COVIDhub-ensemble,-0.599,-0.534,-0.559,-0.427,-0.197,-0.255,-0.227,-0.171
IBF-TimeSeries,,-0.253,-0.386,-0.222,-0.247,,-0.297,-0.179
Covid19Sim-Simulator,-0.556,-0.430,-0.474,-0.568,-0.457,-0.215,-0.222,-0.263
TTU-squider,,,-0.279,,-0.135,-0.605,-0.591,-0.602
JHU_IDD-CovidSP,-0.512,-0.424,-0.430,-0.468,-0.334,-0.297,-0.436,-0.438
RobertWalraven-ESG,-0.577,-0.637,-0.669,-0.585,,-0.421,-0.274,-0.089
UCLA-SuEIR,-0.208,-0.473,-0.601,-0.407,-0.370,-0.402,-0.322,-0.250
LANL-GrowthRate,-0.633,-0.633,-0.577,-0.502,-0.506,-0.454,-0.363,-0.317
Geneva-DetGrowth,-0.889,-0.879,-0.902,-0.846,-0.800,-0.746,-0.610,-0.108
IQVIA_ACOE-STAN,-0.755,-0.741,-0.763,-0.693,-0.603,-0.496,-0.223,
BPagano-RtDriven,,,,,,,,-0.105
CovidAnalytics-DELPHI,-0.542,-0.553,-0.610,-0.633,-0.647,-0.606,-0.564,-0.577
MSRA-DeepST,,,,,,,,-0.191
