,mean_abs_error_2020-11-23_2021-01-16,mean_abs_error_2020-11-30_2021-01-16,mean_abs_error_2020-12-07_2021-01-16,mean_abs_error_2020-12-14_2021-01-16,mean_abs_error_2020-12-21_2021-01-16,mean_abs_error_2020-12-28_2021-01-16,mean_abs_error_2021-01-04_2021-01-16,mean_abs_error_2021-01-11_2021-01-16,mean_sq_abs_error_2020-11-23_2021-01-16,mean_sq_abs_error_2020-11-30_2021-01-16,mean_sq_abs_error_2020-12-07_2021-01-16,mean_sq_abs_error_2020-12-14_2021-01-16,mean_sq_abs_error_2020-12-21_2021-01-16,mean_sq_abs_error_2020-12-28_2021-01-16,mean_sq_abs_error_2021-01-04_2021-01-16,mean_sq_abs_error_2021-01-11_2021-01-16
COVIDhub-baseline,98154.8,82116.2,55536.4,37820.5,19192.6,17684.4,8998.8,3575.6,40881448911.6,33083423626.1,16319761518.8,5071006404.2,863893068.1,1224861765.0,230623906.9,23822924.2
Covid19Sim-Simulator,88854.8,82183.2,54624.5,29206.4,21314.6,17899.3,11778.9,2589.5,32316172866.6,31468540340.4,10765214590.3,2437515147.3,2060035183.0,1382388424.5,367500035.2,20060012.9
IowaStateLW-STEM,109567.8,81719.9,58861.2,39622.9,20786.6,12536.8,11883.9,3901.0,50933527859.5,33328340244.9,19840161241.1,5422424304.5,1096366473.4,474234796.5,516659261.1,30505399.0
CU-select,,,42987.4,25613.2,19417.8,26550.0,10554.7,8618.9,,,6502197616.1,1768078788.2,1055147446.4,1560676703.8,386766549.8,245253631.6
USC-SI_kJalpha,119636.5,122404.3,64543.0,29185.1,24160.6,20239.5,11641.6,3130.7,61244763640.0,61987241400.8,17920084984.3,3245817745.3,4435625784.4,1661569202.1,421352169.4,28118929.7
OneQuietNight-ML,107986.2,70177.6,,,14485.2,13871.4,9472.8,3554.1,35304150894.9,19997227402.2,,,528380888.9,563045058.0,235391202.2,26810776.2
LANL-GrowthRate,,,34432.4,34649.2,35353.6,29107.4,13613.7,4100.6,,,3941021431.5,5295068866.4,14392641281.5,6661179463.3,584455243.9,53922726.9
Microsoft-DeepSTIA,,,,,20662.2,15661.7,9038.8,3986.3,,,,,1528439488.7,894695854.6,314474259.1,38415212.5
COVIDhub-ensemble,,,,,19241.5,18322.2,10200.8,3343.1,,,,,2363482920.5,1010086606.0,290686981.7,21975018.5
UCLA-SuEIR,117462.0,93087.6,64130.1,43735.6,24518.5,23762.7,10688.5,4074.7,49026463356.1,28347851582.7,15354783406.4,6167766696.3,1590079927.9,1764282104.9,278701023.0,33035638.3
CEID-Walk,,,,,,17444.1,9074.1,3563.0,,,,,,1124257421.5,236025684.6,23770550.1
JHUAPL-Bucky,243294.7,73864.2,56230.7,68538.1,51313.5,38724.7,7118.6,4630.1,170642469894.3,14159034734.4,11620648476.3,33685840818.9,27257969126.5,7784767174.3,113347775.1,72543760.3
BPagano-RtDriven,,,,,34821.6,23620.9,10112.2,4307.9,,,,,10861502062.0,6287953969.0,321099448.4,47490564.0
JHU_IDD-CovidSP,,,55637.4,41754.0,26575.1,28063.7,25344.7,10915.8,,,14869697373.7,9004300237.2,2815475572.6,2573130194.1,1924485085.7,393887789.7
OliverWyman-Navigator,,,,,,16700.1,10237.9,4172.3,,,,,,1585628249.0,348451641.7,39107537.2
JCB-PRM,138796.6,114592.6,74157.0,56979.9,46441.4,22264.1,,,58025524378.1,33379776622.1,13058277965.0,8883747216.7,13339518076.0,4816033055.9,,
LNQ-ens1,,,,,21895.7,27134.4,10610.0,5577.7,,,,,2812247933.7,1690705127.9,378537006.9,66791428.5
JHU_CSSE-DECOM,,,,,28621.4,20781.6,12452.0,5197.8,,,,,6933663437.5,1237910551.5,455862973.9,60953254.9
RobertWalraven-ESG,,,,,23456.4,30163.3,12787.5,5124.9,,,,,2917408237.4,2533310738.9,489210672.4,62460035.7
Karlen-pypm,,,,83250.9,51627.5,44767.6,10801.0,4169.7,,,,36867166409.5,34066439197.8,34417684364.2,247149895.7,45830723.8
CovidAnalytics-DELPHI,,,90723.3,57129.1,41523.5,26867.0,18491.4,11435.1,,,24842005150.7,9192673027.9,16258042712.3,2452472274.0,885781456.9,537574792.3
UMich-RidgeTfReg,,,,,55644.3,23523.0,12508.5,6180.3,,,,,44933339742.8,1977604048.9,490053498.5,118366308.5
TTU-squider,,,,,32137.7,26232.3,18944.4,9168.4,,,,,2161105151.3,1407771778.5,921827599.3,235345273.5
UCSB-ACTS,,,,,35431.3,40574.4,18352.4,4446.6,,,,,3097901881.8,11351476050.1,2880867338.8,81562021.7
IEM_MED-CovidProject,,,,,56912.9,28953.3,11174.2,6814.8,,,,,50817127855.7,7152331299.3,492031737.7,153496492.0
JHU_UNC_GAS-StatMechPool,,,,,24295.2,35766.7,19735.6,5769.2,,,,,2929415544.2,3806584673.5,1167977607.4,429260944.8
Google_Harvard-CPF,,,,,71067.5,30468.5,14111.8,4259.5,,,,,42322325476.5,6682788118.2,722555344.0,63605055.8
UChicagoCHATTOPADHYAY-UnIT,,,,,,,13952.8,4063.4,,,,,,,698588585.1,38134165.9
Wadhwani_AI-BayesOpt,,,115450.1,52714.5,64288.8,,20717.6,,,,30927006619.7,7993018407.5,14728046462.8,,1182615653.6,
UVA-Ensemble,,,,,51940.2,34394.8,21856.8,15554.6,,,,,35677349831.7,5668708827.1,8470916105.8,2899278380.6
DDS-NBDS,,,,,43785.6,335150.4,23993.8,12184.4,,,,,8648840966.8,1936168780425.3,2495180550.5,770343771.2
MOBS-GLEAM_COVID,,,,,,,,4829.8,,,,,,,,148070986.6
Geneva-DetGrowth,,,,,,,,5654.6,,,,,,,,78639600.6
USACE-ERDC_SEIR,136451.5,133942.8,,,,,,,56937100683.3,55356359315.8,,,,,,
