,perc_error_2020-11-02_2020-12-26,perc_error_2020-11-09_2020-12-26,perc_error_2020-11-16_2020-12-26,perc_error_2020-11-23_2020-12-26,perc_error_2020-11-30_2020-12-26,perc_error_2020-12-07_2020-12-26,perc_error_2020-12-14_2020-12-26,perc_error_2020-12-21_2020-12-26
LANL-GrowthRate,,,0.245,-0.134,-0.194,0.004,0.067,0.029
UCF-AEM,,,-0.315,-0.031,-0.185,-0.001,0.107,0.104
UCLA-SuEIR,-0.574,-0.244,0.012,0.229,-0.267,0.011,0.028,0.110
CU-select,,,-0.128,-0.135,-0.264,0.038,0.072,0.083
IBF-TimeSeries,-0.535,-0.379,-0.186,-0.099,-0.198,0.019,0.160,0.120
IowaStateLW-STEM,-0.577,-0.539,-0.241,-0.051,-0.158,-0.080,0.107,0.182
Covid19Sim-Simulator,-0.345,-0.119,,-0.017,-0.180,0.016,0.098,0.152
COVIDhub-baseline,-0.558,-0.442,-0.245,-0.140,-0.204,-0.082,0.038,0.135
QJHong-Encounter,,,,0.177,-0.001,-0.066,0.088,0.144
USC-SI_kJalpha,-0.586,-0.582,-0.558,-0.169,-0.260,-0.012,0.141,0.153
JCB-PRM,-0.523,-0.537,0.004,0.250,0.193,0.106,0.196,0.310
TTU-squider,,,,,0.067,-0.232,-0.030,0.130
CEID-Walk,,,,,-0.195,-0.075,0.042,0.129
BPagano-RtDriven,-0.484,-0.231,0.077,,-0.037,0.134,0.240,0.222
JHUAPL-Bucky,-0.424,-0.274,0.862,0.710,0.014,0.028,0.249,0.228
COVIDhub-ensemble,,,,,-0.190,0.035,0.111,0.153
LNQ-ens1,,,,,-0.292,-0.036,0.073,0.142
UChicagoCHATTOPADHYAY-UnIT,,,,,,,0.016,0.014
OneQuietNight-ML,,,,0.624,0.219,0.367,0.134,0.118
JHU_IDD-CovidSP,,,-0.255,-0.215,-0.278,-0.299,-0.265,-0.170
MSRA-DeepST,,,,,-0.120,-0.075,,
JHU_CSSE-DECOM,,,,,0.015,-0.117,,
DDS-NBDS,,,,,0.027,0.311,0.129,0.253
UMich-RidgeTfReg,,,,,-0.252,0.070,0.211,0.198
Microsoft-DeepSTIA,,,,,,-0.053,0.131,0.188
OliverWyman-Navigator,,,,,,0.011,0.154,0.265
CovidAnalytics-DELPHI,,-0.520,-0.291,0.491,0.346,0.269,0.278,0.187
USACE-ERDC_SEIR,,,-0.359,-0.417,-0.496,,,
Karlen-pypm,,,,0.778,0.101,0.169,0.277,0.315
UVA-Ensemble,,,,,0.049,0.109,0.417,0.766
Columbia_UNC-SurvCon,1.408,0.860,1.923,0.736,-0.446,0.258,0.094,0.408
IEM_MED-CovidProject,,,,,,0.097,0.180,0.183
IQVIA_ACOE-STAN,,,,,,,0.025,
RobertWalraven-ESG,,,,,-0.591,0.288,0.238,0.232
Geneva-DetGrowth,,,,,,,,0.186
