,perc_error_2020-12-07_2021-01-30,perc_error_2020-12-14_2021-01-30,perc_error_2020-12-21_2021-01-30,perc_error_2020-12-28_2021-01-30,perc_error_2021-01-04_2021-01-30,perc_error_2021-01-11_2021-01-30,perc_error_2021-01-18_2021-01-30,perc_error_2021-01-25_2021-01-30
JHU_IDD-CovidSP,,,-0.104,-0.194,-0.261,-0.140,0.003,-0.033
COVIDhub-baseline,-0.062,0.048,0.084,-0.057,0.028,0.325,0.362,0.164
IowaStateLW-STEM,-0.106,0.079,0.079,-0.027,-0.110,0.206,0.461,0.199
LANL-GrowthRate,,,-0.134,-0.076,-0.062,0.330,0.222,-0.182
UCF-AEM,0.068,0.157,0.112,-0.038,0.105,0.431,0.312,0.101
USC-SI_kJalpha,-0.479,-0.296,-0.261,-0.201,-0.049,0.248,0.383,0.117
IBF-TimeSeries,-0.025,0.111,0.077,-0.089,0.132,0.433,0.291,-0.124
TTU-squider,,,,,-0.074,-0.023,0.073,0.119
LNQ-ens1,,,,,0.010,0.429,0.226,-0.010
JHUAPL-Bucky,0.093,0.499,0.308,-0.080,0.099,0.358,0.358,0.061
CovidAnalytics-DELPHI,,,-0.040,0.018,-0.137,0.351,0.631,0.280
UCLA-SuEIR,-0.002,-0.121,-0.108,-0.242,-0.086,0.425,0.166,0.160
Microsoft-DeepSTIA,,,,,0.012,0.308,0.363,0.114
CEID-Walk,,,,,0.016,0.311,0.336,0.151
QJHong-Encounter,,,,0.065,0.085,0.262,0.451,0.158
Covid19Sim-Simulator,0.242,0.285,0.122,-0.128,0.033,0.340,0.400,0.228
RobertWalraven-ESG,,,,,-0.033,0.238,0.343,0.196
MOBS-GLEAM_COVID,,,,,,0.055,0.274,0.077
CU-select,,,-0.074,-0.234,0.736,1.023,0.417,0.048
COVIDhub-ensemble,,,,,0.017,0.343,0.372,0.155
BPagano-RtDriven,,,,,0.057,0.257,0.365,0.184
Columbia_UNC-SurvCon,0.423,0.988,1.017,0.027,-0.173,0.277,0.456,0.235
UpstateSU-GRU,,,,,,-0.332,-0.033,-0.079
OneQuietNight-ML,,,,,0.086,0.319,0.383,0.092
Karlen-pypm,,,,0.656,0.076,0.244,0.368,0.201
IEM_MED-CovidProject,,,,,-0.052,0.581,0.384,0.021
UChicagoCHATTOPADHYAY-UnIT,,,,,,,0.071,-0.095
UMich-RidgeTfReg,,,,,0.200,0.583,0.247,0.161
SigSci-TS,,,,,,0.415,0.296,0.227
Geneva-DetGrowth,,,,,,,,-0.012
FDANIHASU-Sweight,,,,,,,,0.035
JCB-PRM,0.593,0.736,0.739,0.436,,,,
OliverWyman-Navigator,,,,,,0.410,0.538,0.310
UVA-Ensemble,,,,,0.340,0.561,0.809,0.719
MIT_ISOLAT-Mixtures,,,,,,,0.745,0.206
DDS-NBDS,,,,,0.306,1.099,3.024,0.455
