,mean_abs_error_2020-07-06_2020-08-08,mean_abs_error_2020-07-13_2020-08-15,mean_abs_error_2020-07-20_2020-08-22,mean_abs_error_2020-07-27_2020-08-29,mean_abs_error_2020-08-03_2020-09-05,mean_abs_error_2020-08-10_2020-09-12,mean_abs_error_2020-08-17_2020-09-19,mean_abs_error_2020-08-24_2020-09-26,mean_abs_error_2020-08-31_2020-10-03,mean_abs_error_2020-09-07_2020-10-10,mean_abs_error_2020-09-14_2020-10-17,mean_abs_error_2020-09-21_2020-10-24,mean_abs_error_2020-09-28_2020-10-31,mean_abs_error_2020-10-05_2020-11-07,mean_abs_error_2020-10-12_2020-11-14,mean_abs_error_2020-10-19_2020-11-21,mean_abs_error_2020-10-26_2020-11-28,mean_abs_error_2020-11-02_2020-12-05,mean_abs_error_2020-11-09_2020-12-12,mean_abs_error_2020-11-16_2020-12-19,mean_abs_error_2020-11-23_2020-12-26,mean_abs_error_2020-11-30_2021-01-02,mean_abs_error_2020-12-07_2021-01-09,mean_abs_error_2020-12-14_2021-01-16,mean_abs_error_2020-12-21_2021-01-23,mean_abs_error_2020-12-28_2021-01-30,mean_abs_error_2021-01-04_2021-02-06,mean_sq_abs_error_2020-07-06_2020-08-08,mean_sq_abs_error_2020-07-13_2020-08-15,mean_sq_abs_error_2020-07-20_2020-08-22,mean_sq_abs_error_2020-07-27_2020-08-29,mean_sq_abs_error_2020-08-03_2020-09-05,mean_sq_abs_error_2020-08-10_2020-09-12,mean_sq_abs_error_2020-08-17_2020-09-19,mean_sq_abs_error_2020-08-24_2020-09-26,mean_sq_abs_error_2020-08-31_2020-10-03,mean_sq_abs_error_2020-09-07_2020-10-10,mean_sq_abs_error_2020-09-14_2020-10-17,mean_sq_abs_error_2020-09-21_2020-10-24,mean_sq_abs_error_2020-09-28_2020-10-31,mean_sq_abs_error_2020-10-05_2020-11-07,mean_sq_abs_error_2020-10-12_2020-11-14,mean_sq_abs_error_2020-10-19_2020-11-21,mean_sq_abs_error_2020-10-26_2020-11-28,mean_sq_abs_error_2020-11-02_2020-12-05,mean_sq_abs_error_2020-11-09_2020-12-12,mean_sq_abs_error_2020-11-16_2020-12-19,mean_sq_abs_error_2020-11-23_2020-12-26,mean_sq_abs_error_2020-11-30_2021-01-02,mean_sq_abs_error_2020-12-07_2021-01-09,mean_sq_abs_error_2020-12-14_2021-01-16,mean_sq_abs_error_2020-12-21_2021-01-23,mean_sq_abs_error_2020-12-28_2021-01-30,mean_sq_abs_error_2021-01-04_2021-02-06
COVIDhub-baseline,242.3,220.6,266.5,270.2,275.4,231.1,247.2,205.4,186.5,193.2,204.8,236.5,299.8,390.8,530.2,690.1,799.3,915.7,897.6,879.5,869.2,906.1,806.0,712.5,550.6,541.8,489.2,1407865.2,1356853.7,2442926.5,2686980.6,3084052.0,1227932.7,1702290.5,953205.9,405037.2,357842.0,439376.2,475580.6,2228614.2,1786683.0,3389578.7,5264477.1,6224389.9,9972879.9,12635859.5,20375867.2,23728220.9,33400408.5,24818219.7,10332748.6,4178286.7,6663310.4,10789621.0
JHU_IDD-CovidSP,395.2,311.4,286.6,353.8,347.2,295.9,252.8,211.1,196.7,204.0,247.3,300.8,330.9,446.1,630.9,804.8,997.4,1199.9,,778.3,799.6,812.5,851.5,803.6,567.9,556.4,502.3,3557303.6,2240340.3,1638682.8,1776621.5,1609228.8,1329191.2,581518.9,453378.4,450129.1,487774.3,859441.0,1161638.4,1422959.3,2736383.8,5380681.7,8142989.6,11391606.1,16537606.7,,18047217.8,22517911.5,30596166.9,27071493.3,31718026.1,6211579.0,4232780.4,2844217.6
USC-SI_kJalpha,535.8,474.0,540.7,257.9,255.3,211.8,245.1,236.3,233.5,222.6,289.9,294.9,361.8,452.0,604.2,780.9,954.8,1104.2,1204.8,,,,,,,,,6303972.2,3390046.1,3418785.1,1647810.6,1601385.6,913102.4,962981.7,872902.3,742960.1,482529.9,981634.7,896077.1,1398049.8,2196203.2,4141355.9,6601089.8,8944816.8,10864747.6,16852106.4,,,,,,,,
IowaStateLW-STEM,403.8,589.2,438.9,367.1,316.4,,240.4,256.3,209.1,223.3,223.6,276.9,342.1,445.6,623.6,818.4,844.8,966.7,1033.2,997.4,1013.3,957.8,1000.5,846.3,634.3,591.3,472.0,3167036.6,9011170.8,43286070.1,4960453.0,3488509.1,,835934.5,1544536.7,1432895.6,2722690.2,489296.5,986558.5,1808583.3,2554763.6,5028986.6,8179985.1,8217245.6,12381558.3,17761972.0,26998176.3,35812744.4,39321645.0,47795915.9,21225811.8,5308831.6,8562175.1,4832482.1
LANL-GrowthRate,469.7,452.9,441.4,336.6,314.5,262.1,267.1,226.3,243.1,258.9,303.6,334.3,394.1,537.1,692.3,898.1,1015.3,738.2,841.1,1107.9,916.1,831.6,658.7,691.9,796.8,753.4,507.2,6178004.4,5954682.0,11263701.0,3927081.3,2805595.5,1100817.4,1680656.4,450714.4,502939.1,538944.8,713195.4,846332.9,1298491.4,2639102.2,4579125.8,7579425.6,8895709.6,5998247.6,12041626.3,23339849.5,16364414.7,17588318.2,5587647.5,20871812.7,41365653.6,22857476.1,4950725.2
CU-select,880.4,687.8,627.6,457.2,434.5,325.1,464.9,291.5,312.3,416.2,523.8,504.8,564.1,487.4,523.4,626.2,744.2,803.6,900.9,848.5,818.7,916.6,907.6,764.5,707.1,933.0,2375.2,35001786.8,21270040.8,20712151.9,8002097.9,9551112.6,1932965.1,10161391.0,1522239.1,1107784.0,4241340.7,7317208.0,6208061.5,6292000.5,9856814.5,2668125.0,3955354.9,5377486.5,9521625.9,10305157.6,14827891.7,16762787.9,40851583.5,18626762.8,10702632.6,11756355.3,20373336.8,166361936.1
UCLA-SuEIR,,,,317.2,317.2,249.7,246.0,239.1,215.5,215.4,,,363.0,496.9,,,,,,,,,,,,,,,,,4124395.9,2356209.8,1251132.1,1381603.0,1423173.3,863895.8,572108.4,,,1296876.1,2581558.0,,,,,,,,,,,,,
JHUAPL-Bucky,,,,,,,,,,,268.8,299.9,356.4,441.8,619.6,818.8,951.2,1067.5,1167.6,2147.2,2265.3,1222.7,1057.5,1533.4,1628.3,1274.6,909.2,,,,,,,,,,,859442.9,865962.4,2195738.8,2409329.4,4709591.5,7895458.8,10852833.4,13501507.2,21292085.4,73764621.2,94120109.8,24193610.9,23972075.4,117394712.4,136788851.1,88415869.1,28041685.8
RobertWalraven-ESG,,,,,,,230.7,244.7,309.5,303.0,353.4,393.9,450.9,594.4,,,,,,,,,,,,,,,,,,,,555585.9,698767.1,978979.6,875949.4,1174143.9,1520973.1,1995649.2,3313293.4,,,,,,,,,,,,,
MITCovAlliance-SIR,,,,,,,281.2,,298.2,299.1,339.5,391.1,452.5,,796.7,999.7,1194.7,,,,,,,,,1734.9,1697.1,,,,,,,1466974.9,,1404715.3,1430525.9,1796478.3,2253469.0,2819767.0,,7866321.5,9125268.0,13424104.7,,,,,,,,,48958759.4,40219857.8
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,837.5,777.2,,,,,,,,,,,,,,,,,,,,,,,,,,23647808.3,23278919.6,,,,,
