,mean_abs_error_2020-07-06_2020-07-25,mean_abs_error_2020-07-13_2020-08-01,mean_abs_error_2020-07-20_2020-08-08,mean_abs_error_2020-07-27_2020-08-15,mean_abs_error_2020-08-03_2020-08-22,mean_abs_error_2020-08-10_2020-08-29,mean_abs_error_2020-08-17_2020-09-05,mean_abs_error_2020-08-24_2020-09-12,mean_abs_error_2020-08-31_2020-09-19,mean_abs_error_2020-09-07_2020-09-26,mean_abs_error_2020-09-14_2020-10-03,mean_abs_error_2020-09-21_2020-10-10,mean_abs_error_2020-09-28_2020-10-17,mean_abs_error_2020-10-05_2020-10-24,mean_abs_error_2020-10-12_2020-10-31,mean_abs_error_2020-10-19_2020-11-07,mean_abs_error_2020-10-26_2020-11-14,mean_abs_error_2020-11-02_2020-11-21,mean_abs_error_2020-11-09_2020-11-28,mean_abs_error_2020-11-16_2020-12-05,mean_abs_error_2020-11-23_2020-12-12,mean_abs_error_2020-11-30_2020-12-19,mean_abs_error_2020-12-07_2020-12-26,mean_abs_error_2020-12-14_2021-01-02,mean_abs_error_2020-12-21_2021-01-09,mean_abs_error_2020-12-28_2021-01-16,mean_abs_error_2021-01-04_2021-01-23,mean_abs_error_2021-01-11_2021-01-30,mean_abs_error_2021-01-18_2021-02-06,mean_abs_error_2021-01-25_2021-02-13,mean_abs_error_2021-02-01_2021-02-20,mean_abs_error_2021-02-08_2021-02-27,mean_abs_error_2021-02-15_2021-03-06,mean_sq_abs_error_2020-07-06_2020-07-25,mean_sq_abs_error_2020-07-13_2020-08-01,mean_sq_abs_error_2020-07-20_2020-08-08,mean_sq_abs_error_2020-07-27_2020-08-15,mean_sq_abs_error_2020-08-03_2020-08-22,mean_sq_abs_error_2020-08-10_2020-08-29,mean_sq_abs_error_2020-08-17_2020-09-05,mean_sq_abs_error_2020-08-24_2020-09-12,mean_sq_abs_error_2020-08-31_2020-09-19,mean_sq_abs_error_2020-09-07_2020-09-26,mean_sq_abs_error_2020-09-14_2020-10-03,mean_sq_abs_error_2020-09-21_2020-10-10,mean_sq_abs_error_2020-09-28_2020-10-17,mean_sq_abs_error_2020-10-05_2020-10-24,mean_sq_abs_error_2020-10-12_2020-10-31,mean_sq_abs_error_2020-10-19_2020-11-07,mean_sq_abs_error_2020-10-26_2020-11-14,mean_sq_abs_error_2020-11-02_2020-11-21,mean_sq_abs_error_2020-11-09_2020-11-28,mean_sq_abs_error_2020-11-16_2020-12-05,mean_sq_abs_error_2020-11-23_2020-12-12,mean_sq_abs_error_2020-11-30_2020-12-19,mean_sq_abs_error_2020-12-07_2020-12-26,mean_sq_abs_error_2020-12-14_2021-01-02,mean_sq_abs_error_2020-12-21_2021-01-09,mean_sq_abs_error_2020-12-28_2021-01-16,mean_sq_abs_error_2021-01-04_2021-01-23,mean_sq_abs_error_2021-01-11_2021-01-30,mean_sq_abs_error_2021-01-18_2021-02-06,mean_sq_abs_error_2021-01-25_2021-02-13,mean_sq_abs_error_2021-02-01_2021-02-20,mean_sq_abs_error_2021-02-08_2021-02-27,mean_sq_abs_error_2021-02-15_2021-03-06
LNQ-ens1,,4105.4,7077.3,3481.2,3695.8,2325.5,4101.1,3268.5,2485.8,2719.1,4632.7,3813.0,3504.5,6743.2,7042.4,11351.2,14632.7,19131.1,12977.6,16332.4,13639.6,25150.5,13607.7,13136.7,14328.1,27134.4,11534.3,32960.9,19450.8,7827.0,6040.3,6179.5,3955.8,,80528456.2,262543938.4,61855474.6,58122500.0,21670507.6,83560070.5,21950497.6,14405062.9,26973489.9,75583668.7,30909795.2,23087875.3,99767478.8,134647616.8,335533606.7,525902702.7,837127036.2,485903550.8,623161405.3,561519515.1,2919902729.1,637326141.2,461903639.8,1395202855.1,1690705127.9,481820730.5,3157992795.7,1699638271.6,275864280.6,134829033.7,175232138.2,46422981.2
COVIDhub-ensemble,,,4443.6,4018.3,4721.6,3156.4,3650.0,2836.9,2657.8,2814.7,4709.4,4166.7,4538.7,7540.2,10091.9,14662.8,20418.8,26347.5,20141.0,16819.8,17219.0,21772.1,16333.7,14596.5,12536.9,18322.2,11277.4,24202.3,29364.6,17953.3,14471.7,9356.1,4654.7,,,112158050.2,88789547.5,103335970.4,36351273.5,72161563.9,20153695.9,18808734.9,27547829.9,75521826.9,35650205.2,34392944.9,108105238.2,227004270.5,512046067.5,904487382.5,1441290385.6,910326735.3,841311800.5,832949518.8,2626605601.3,1615438039.6,553994013.5,1140867963.4,1010086606.0,403653392.4,1918010690.6,3999137764.7,1300989955.6,656610806.2,541722366.5,116264192.3
USC-SI_kJalpha,6384.6,8349.9,9902.5,3126.2,4024.4,3150.1,3230.0,3910.9,3368.8,3408.8,6401.8,4331.6,5115.4,6554.0,8385.1,13164.5,19631.5,26531.4,26792.7,25798.6,19388.3,26131.7,15186.8,17676.8,14807.3,20239.5,15318.5,20110.6,30647.0,11889.0,12965.6,8947.4,4376.6,294360457.4,410438882.7,467325090.9,55630065.7,61374154.1,48429179.4,26772878.3,34135001.6,28204826.3,35406356.6,147643233.6,36314336.5,49736729.0,84776033.3,186121158.1,458284830.6,818520539.4,1489257405.2,1287024143.6,1228009318.9,957629860.4,3838119496.3,1127703351.5,748681600.7,1629937144.8,1661569202.1,796130774.7,2178653881.8,4564345656.8,496735683.3,488894151.3,422761863.1,53878868.1
COVIDhub-baseline,7105.3,4357.4,4683.0,5182.5,6040.4,4362.9,5440.8,3750.6,3300.4,3430.7,3919.3,3715.5,4623.0,6213.5,8511.1,13561.2,19817.4,27525.3,23907.3,18668.8,20268.4,25818.5,21296.6,18895.4,12096.6,17684.4,10465.9,24677.0,30354.2,22186.4,23281.8,17895.6,11727.1,227671963.9,53248168.4,127678814.5,166130975.2,183574065.1,86540574.3,218345543.8,88459905.7,47911003.7,41138663.3,61324588.2,31324123.6,61552987.5,75457843.8,174388859.1,443407510.0,838567862.7,1592466473.7,1171328344.7,1053492087.9,1453485065.3,3522857762.3,3227423045.6,1416038988.1,332156166.6,1224861765.0,317495151.1,1965077545.3,4636344114.7,1887683891.3,1843421488.9,1469254690.3,498867367.9
OliverWyman-Navigator,7600.5,13858.8,16854.2,11746.5,6894.7,3179.1,4057.4,3203.1,4127.7,,4064.5,5030.2,6034.0,4066.6,5317.0,8097.4,13442.8,21648.2,11654.0,16177.3,20843.8,16648.6,15517.5,17133.2,18757.9,16700.1,15211.7,31782.7,44217.3,29610.1,22126.7,14450.2,7631.8,351029905.1,1341090961.6,1628937551.4,462959104.5,128655162.8,34442953.0,135517855.0,27412480.5,46454760.9,,53737546.4,100806564.9,139523800.3,36037468.0,74815354.1,197639858.0,426240250.5,1060039011.8,347030182.2,826903098.0,1119976190.4,1488196808.2,1621804659.6,625869388.9,1431788733.8,1585628249.0,1200651710.9,3450536342.5,8125295453.1,3527251570.7,1693105751.2,912440733.3,275625238.8
LANL-GrowthRate,9189.1,10246.5,6260.5,6514.3,5743.9,4116.6,4199.0,4019.6,3979.9,4633.0,6031.3,6055.2,7353.7,11183.8,12325.0,18833.5,25396.2,18112.9,15219.6,27110.7,16900.9,21789.8,12587.5,17353.7,25199.0,29107.4,14178.3,25324.7,22493.6,6735.2,5656.8,6380.4,5835.2,495554172.8,566689870.7,193058479.0,291403568.7,226286641.2,99655787.3,61699410.4,32226364.8,37969482.5,79545221.3,99196020.3,83985793.1,101483792.4,251948014.7,325329781.6,792202517.0,1428056099.0,708180335.1,597066709.0,2637216417.2,740781144.7,2065032432.2,561280881.3,1388340046.7,7916352767.8,6661179463.3,617767466.2,1939621805.3,2298600943.0,160393019.1,129932962.3,189074544.0,84940094.5
USACE-ERDC_SEIR,9747.6,7318.2,6119.2,5921.8,3973.8,3492.3,4069.8,3666.8,4504.0,3589.6,5454.7,6872.8,5222.4,,7517.4,,17166.2,,,14847.0,22631.9,39842.8,,,,,,,,,,,,275337253.9,113494508.7,165291327.7,159557832.9,91567519.9,43252909.5,91546956.6,33964462.4,57133572.2,53283548.6,87714467.7,294149081.4,81283379.9,,155327501.6,,647059773.1,,,455163990.6,1234464389.8,4665186978.7,,,,,,,,,,,
CEID-Walk,,,,,,4358.5,5297.0,3822.5,3334.8,3166.7,4016.6,3692.7,4634.8,6442.1,8801.8,13655.1,19964.5,27664.8,23942.3,18631.9,20508.1,26261.7,21400.5,19034.5,,17444.1,10572.3,24786.8,30759.7,21999.6,23223.5,17491.2,11558.7,,,,,,98066284.8,194087843.5,82654510.6,49932990.1,33049450.1,61855130.6,30417402.5,61463774.0,79761792.1,191041241.6,469243175.0,845258952.8,1610576701.2,1163684494.0,1067974942.6,1413959017.5,3504133736.1,3166886321.3,1408549905.6,,1124257421.5,316583910.5,1938392528.4,4823113108.5,1963909141.5,2008003007.0,1398765980.5,472733294.1
UCLA-SuEIR,6065.7,5249.9,6709.7,6019.4,6071.9,3771.1,4904.8,4461.0,3813.7,4020.1,6126.8,5245.3,6238.6,10173.3,12907.1,20712.5,28184.3,35625.7,33825.6,31247.6,19901.9,27222.6,24843.3,21316.6,15115.0,23762.7,15571.2,24457.8,15860.1,16319.8,20216.9,18174.8,,191369872.1,151989235.3,189726954.0,125256074.2,143846295.0,39913677.4,134317376.3,84800530.1,50611993.3,52826429.6,117839997.5,59960444.6,62629219.0,185920829.3,348447148.6,853906576.7,1563575628.2,2661025461.6,2414275471.5,2602997421.2,1355048441.1,3050577196.9,2884364911.4,1571702443.7,603981072.2,1764282104.9,594797548.0,1940487571.5,2258287435.6,1481874561.8,1572522536.2,1723435258.2,
Covid19Sim-Simulator,7152.4,10651.2,14088.9,15833.5,9937.6,,,4355.3,2787.0,3312.9,4220.8,5235.3,5290.3,6066.6,9589.4,16182.4,20722.0,27395.7,25796.9,,19985.4,26620.7,22725.9,18086.4,13840.9,17899.3,13959.6,22069.3,33473.3,24114.6,21116.7,15272.4,6997.7,237294195.4,861837890.9,1596079713.6,1809430421.6,425606467.9,,,45493206.3,19839141.0,49324113.1,73354017.8,80964547.1,49346185.1,76822313.2,190687028.1,608094885.2,906581417.7,1499816842.0,1324778933.1,,1466427138.2,3518128964.8,2766337215.9,831496228.3,834710959.0,1382388424.5,902033129.8,2040445056.2,4713534381.2,2199674073.8,1366116739.5,1245467866.4,201465816.6
