,perc_error_2020-07-06_2020-08-08,perc_error_2020-07-13_2020-08-15,perc_error_2020-07-20_2020-08-22,perc_error_2020-07-27_2020-08-29,perc_error_2020-08-03_2020-09-05,perc_error_2020-08-10_2020-09-12,perc_error_2020-08-17_2020-09-19,perc_error_2020-08-24_2020-09-26,perc_error_2020-08-31_2020-10-03,perc_error_2020-09-07_2020-10-10,perc_error_2020-09-14_2020-10-17,perc_error_2020-09-21_2020-10-24,perc_error_2020-09-28_2020-10-31,perc_error_2020-10-05_2020-11-07,perc_error_2020-10-12_2020-11-14,perc_error_2020-10-19_2020-11-21,perc_error_2020-10-26_2020-11-28,perc_error_2020-11-02_2020-12-05,perc_error_2020-11-09_2020-12-12,perc_error_2020-11-16_2020-12-19,perc_error_2020-11-23_2020-12-26,perc_error_2020-11-30_2021-01-02,perc_error_2020-12-07_2021-01-09,perc_error_2020-12-14_2021-01-16,perc_error_2020-12-21_2021-01-23,perc_error_2020-12-28_2021-01-30,perc_error_2021-01-04_2021-02-06
QJHong-Encounter,,,,0.279,0.075,0.189,0.277,0.131,-0.207,-0.110,-0.386,-0.178,-0.138,-0.394,-0.314,-0.382,-0.390,-0.375,-0.316,0.004,0.181,0.015,-0.077,-0.005,-0.015,0.069,0.148
COVIDhub-baseline,-0.235,-0.040,0.195,0.315,0.360,0.269,0.289,0.082,0.032,-0.038,-0.261,-0.233,-0.255,-0.414,-0.488,-0.525,-0.508,-0.506,-0.419,-0.245,-0.137,-0.204,-0.110,-0.021,0.039,-0.053,0.120
Columbia_UNC-SurvCon,0.248,0.016,0.040,0.026,-0.117,-0.184,-0.046,-0.301,-0.197,0.047,-0.256,-0.347,-0.062,-0.148,-0.437,-0.413,-0.339,0.454,0.377,1.347,0.741,-0.487,0.322,0.390,0.775,0.031,-0.127
IowaStateLW-STEM,0.006,0.224,0.351,0.289,0.302,,0.095,0.092,0.109,0.026,-0.179,-0.333,-0.333,-0.539,-0.611,-0.635,-0.537,-0.514,-0.505,-0.235,-0.048,-0.166,-0.129,0.021,0.042,-0.024,-0.044
CU-select,,,,,,0.274,0.585,0.068,0.308,0.393,0.145,0.093,0.052,-0.284,-0.369,-0.408,-0.407,-0.382,-0.092,-0.098,-0.132,-0.280,0.009,-0.002,-0.076,-0.231,0.989
UCLA-SuEIR,-0.154,0.141,0.359,0.392,0.223,-0.027,-0.006,-0.105,-0.007,-0.325,-0.540,-0.415,-0.464,-0.594,-0.624,-0.674,-0.563,-0.482,-0.239,-0.022,0.233,-0.290,-0.014,-0.118,-0.114,-0.239,-0.045
USACE-ERDC_SEIR,-0.321,-0.215,0.061,0.085,-0.087,-0.118,-0.067,-0.279,-0.157,-0.156,-0.301,-0.111,-0.282,,-0.438,,-0.466,,,-0.300,-0.415,-0.549,,,,,
Covid19Sim-Simulator,0.105,0.295,0.546,0.750,0.483,,-0.111,-0.324,-0.368,-0.299,-0.411,-0.573,-0.545,-0.384,-0.469,-0.651,-0.319,-0.366,-0.207,,-0.014,-0.184,0.082,0.151,0.081,-0.125,0.141
Karlen-pypm,,,,1.184,0.986,0.468,0.167,0.008,-0.116,-0.148,-0.288,-0.362,-0.353,-0.461,-0.405,-0.342,-0.192,-0.144,0.050,0.543,0.783,0.190,0.310,0.517,0.545,0.662,0.173
USC-SI_kJalpha,0.241,0.363,0.514,-0.090,-0.082,-0.198,-0.189,-0.323,-0.253,-0.245,-0.481,-0.312,-0.384,-0.439,-0.509,-0.557,-0.500,-0.488,-0.504,-0.469,-0.167,-0.408,-0.210,-0.080,-0.150,-0.198,-0.171
