,mean_abs_error_2020-07-27_2020-09-19,mean_abs_error_2020-08-03_2020-09-19,mean_abs_error_2020-08-10_2020-09-19,mean_abs_error_2020-08-17_2020-09-19,mean_abs_error_2020-08-24_2020-09-19,mean_abs_error_2020-08-31_2020-09-19,mean_abs_error_2020-09-07_2020-09-19,mean_abs_error_2020-09-14_2020-09-19,mean_sq_abs_error_2020-07-27_2020-09-19,mean_sq_abs_error_2020-08-03_2020-09-19,mean_sq_abs_error_2020-08-10_2020-09-19,mean_sq_abs_error_2020-08-17_2020-09-19,mean_sq_abs_error_2020-08-24_2020-09-19,mean_sq_abs_error_2020-08-31_2020-09-19,mean_sq_abs_error_2020-09-07_2020-09-19,mean_sq_abs_error_2020-09-14_2020-09-19
USC-SI_kJalpha,13478.7,12387.3,10184.1,7321.7,6033.0,3368.8,1845.7,1286.5,817505436.8,506361544.6,278326400.7,117241769.0,81414451.9,28204826.3,10690106.1,5617355.5
USACE-ERDC_SEIR,18500.6,12068.5,10335.5,7543.9,6225.4,4504.0,1695.5,1052.0,1159220467.0,541753287.0,262522244.5,312294951.1,101080983.4,57133572.2,9548028.7,2691208.1
COVIDhub-baseline,25970.9,20835.0,12465.8,10666.2,5466.4,3300.4,2087.1,939.6,4279222507.5,2374129630.8,752923441.3,876138568.4,176250559.0,47911003.7,15628037.8,2743113.1
COVIDhub-ensemble,,,,,4388.9,2657.8,1435.8,1032.4,,,,,46399419.1,18808734.9,7010635.2,2918726.1
LNQ-ens1,,,,,5072.4,2485.8,1318.0,968.4,,,,,48276579.9,14405062.9,4454793.8,2623824.1
UCLA-SuEIR,22216.0,15315.0,8775.3,9970.4,6713.4,3813.7,1956.8,1238.2,1584373412.6,1091657678.9,202867131.1,469108574.3,171308069.3,50611993.3,12572168.8,4247729.5
LANL-GrowthRate,,16206.8,11159.0,8837.2,6925.1,3979.9,1865.3,1132.0,,1004583749.3,394040568.6,167425804.3,92951979.8,37969482.5,10505860.6,2841239.4
Covid19Sim-Simulator,47403.0,24967.9,,,6396.4,2787.0,1826.9,948.9,14278364036.9,2889267709.9,,,92482853.7,19839141.0,16110395.4,2704745.7
CEID-Walk,,,,,5544.5,3334.8,1947.3,958.1,,,,,161142638.1,49932990.1,13787036.6,2793435.8
CU-select,,,13705.5,19878.7,4896.7,5814.6,3752.9,925.9,,,814818603.4,4525298131.0,69654470.0,167985481.8,55993438.5,2900063.6
JHU_IDD-CovidSP,,,,10319.8,5224.1,3493.4,2452.5,1677.0,,,,392178297.3,104981892.3,28857700.3,13635777.6,7241833.2
DDS-NBDS,,,,,4625.7,3847.0,2195.8,1390.4,,,,,46401908.5,33789131.4,16353920.4,5188246.1
Karlen-pypm,,,,8854.1,6652.6,3936.5,2582.6,1310.5,,,,236492211.4,131749309.2,35632233.1,18657703.6,4645414.3
UMich-RidgeTfReg,,,,,,3691.0,2461.8,874.8,,,,,,46109000.8,22962704.2,2049939.0
JCB-PRM,,,,,,,1751.5,927.3,,,,,,,7970340.6,3944056.7
JHUAPL-Bucky,,,,,,3985.0,2833.5,708.6,,,,,,35859825.4,22749189.8,1480598.6
RobertWalraven-ESG,,,,8659.2,6578.2,6248.3,3680.1,2308.8,,,,163180458.9,75579226.8,91791901.9,32896454.5,14630498.7
IowaStateLW-STEM,27395.7,20540.6,,10099.5,9257.4,4221.2,3330.7,1152.9,5600912561.2,2320069490.6,,651180009.8,551027133.4,95127058.5,104321455.6,3802881.0
IQVIA_ACOE-STAN,,,,,,,2700.9,761.0,,,,,,,24174361.6,1859129.7
OliverWyman-Navigator,,,,,,4127.7,,820.3,,,,,,46454760.9,,1740361.4
IHME-CurveFit,62179.2,62847.9,68124.9,,,,,,30257281237.3,32390391671.3,30940132773.2,,,,,
CovidAnalytics-DELPHI,,,22669.7,14766.8,9292.3,6637.4,3961.1,2243.3,,,2779725726.4,1002836531.3,209396607.9,112323778.6,32448447.0,9632819.7
Geneva-DetGrowth,,,,,,,,1426.5,,,,,,,,9395262.4
TTU-squider,,,,,,,,4098.4,,,,,,,,67145402.8
