,perc_error_2020-08-24_2020-10-17,perc_error_2020-08-31_2020-10-17,perc_error_2020-09-07_2020-10-17,perc_error_2020-09-14_2020-10-17,perc_error_2020-09-21_2020-10-17,perc_error_2020-09-28_2020-10-17,perc_error_2020-10-05_2020-10-17,perc_error_2020-10-12_2020-10-17
CU-select,,,0.350,0.143,0.106,0.038,-0.103,-0.138
Columbia_UNC-SurvCon,-0.473,-0.312,0.005,-0.258,-0.286,0.032,0.007,-0.155
JCB-PRM,,,-0.238,-0.275,-0.229,-0.135,-0.085,-0.063
COVIDhub-baseline,-0.001,-0.047,-0.089,-0.262,-0.167,-0.101,-0.173,-0.141
USACE-ERDC_SEIR,-0.448,-0.291,-0.225,-0.302,0.004,-0.109,,-0.066
QJHong-Encounter,,,,-0.387,-0.115,-0.002,-0.156,-0.066
UMich-RidgeTfReg,,,,,-0.128,-0.035,-0.104,-0.109
LNQ-ens1,,,,,-0.113,-0.087,-0.159,-0.049
USC-SI_kJalpha,-0.518,-0.418,-0.339,-0.482,-0.209,-0.157,-0.166,-0.112
IowaStateLW-STEM,-0.038,-0.004,-0.041,-0.181,-0.257,-0.158,-0.276,-0.243
JHUAPL-Bucky,,,,-0.197,-0.086,-0.139,-0.214,-0.164
CEID-Walk,,,,,-0.164,-0.079,-0.154,-0.141
IBF-TimeSeries,,,-0.203,-0.345,-0.168,-0.188,,-0.230
OliverWyman-Navigator,,,,,,0.129,-0.042,-0.029
Karlen-pypm,,,,-0.290,-0.302,-0.228,-0.255,-0.134
Covid19Sim-Simulator,-0.423,-0.496,-0.365,-0.412,-0.493,-0.366,-0.156,-0.162
COVIDhub-ensemble,,,,,-0.232,-0.126,-0.198,-0.160
JHU_IDD-CovidSP,,,-0.283,-0.382,-0.422,-0.282,-0.252,-0.394
DDS-NBDS,,,,,0.658,0.244,-0.152,-0.143
UCLA-SuEIR,-0.204,-0.129,-0.402,-0.541,-0.331,-0.274,-0.299,-0.200
IQVIA_ACOE-STAN,,,,,,,-0.179,-0.140
LANL-GrowthRate,,-0.556,-0.575,-0.508,-0.416,-0.412,-0.350,-0.233
TTU-squider,,,,,,-0.040,-0.547,-0.526
RobertWalraven-ESG,-0.449,-0.521,-0.584,-0.619,-0.522,,-0.308,-0.169
CovidAnalytics-DELPHI,,-0.445,-0.495,-0.557,-0.582,-0.594,-0.545,-0.498
Geneva-DetGrowth,,,,,,,,-0.144
